1,AARTIPHARM,INE0LRU01027,455.1,20
2,HEALTHIETF,INF109KC1Q72,123.11,20
3,JLHL,INE682M01012,1196.9,20
4,DPSCLTD,INE360C01024,18.5,24.49
5,PONNIERODE,INE838E01017,426,20
6,DEEPAKNTR,INE288B01029,2214.45,20
7,THANGAMAYL,INE085J01014,1319.85,20
8,NAVNETEDUL,INE060A01024,143.4,20
9,TVSSCS,INE395N01027,170.65,20
10,RELINFRA,INE036A01016,295,24.36
11,NFL,INE870D01012,103.65,21.37
12,PROZONER,INE195N01013,33.15,23.98
13,JAYAGROGN,INE785A01026,235.9,20
14,MARUTI,INE585B01010,12567.25,9
15,SWANENERGY,INE665A01038,657.15,23.94
16,ALBERTDAVD,INE155C01010,1167.9,20
17,ASAHISONG,INE228I01012,345.65,20
18,KMSUGAR,INE157H01023,31.7,20
19,ASHIMASYN,INE440A01010,20.1,23.96
20,SIGIND,INE529F01035,71.75,23.22
21,ESG,INF769K01GS9,37.72,20
22,YUKEN,INE384C01016,809.35,20
23,RAJESHEXPO,INE343B01030,308.05,20
24,IGPL,INE204A01010,501.05,20
25,BLUESTARCO,INE472A01039,1348.3,20
26,SGBJAN29IX,IN0020200377,6776.02,10
27,ITI,INE248A01017,270.75,25.62
28,RUSTOMJEE,INE263M01029,652.9,20
29,BECTORFOOD,INE495P01012,1151.05,20
30,SGBMAR25,IN0020160126,6950,10
31,MOVALUE,INF247L01BE5,94.12,20
32,INDIAGLYCO,INE560A01015,856.6,20
33,MIDQ50ADD,INF740KA1QL0,212.52,20
34,TRIGYN,INE948A01012,110,20.71
35,VSTTILLERS,INE764D01017,3293.9,20
36,SGBSEP27,IN0020190115,7050,10
37,SGBNOV25VI,IN0020170083,6850,10
38,RECLTD,INE020B01018,473.9,20
39,AXISCETF,INF846K016C7,103.54,20
40,IDFNIFTYET,INF194KA1U07,241.42,8.83
41,SGBAUG27,IN0020190107,6919,10
42,VERANDA,INE0IQ001011,205.65,22.73
43,JUBLINDS,INE645L01011,1288.65,23.06
44,PASUPTAC,INE818B01023,39.75,22.1
45,CENTRUM,INE660C01027,38.45,24.92
46,UCAL,INE139B01016,158.05,20
47,SGBMAY26,IN0020180033,6859.84,10
48,BLUEJET,INE0KBH01020,398.2,20
49,FLUOROCHEM,INE09N301011,3216.65,20
50,DHUNINV,INE320L01011,1233.05,22.69
51,STARPAPER,INE733A01018,249.65,20
52,GOLDCASE,INF0R8F01042,11.22,20
53,CHEMPLASTS,INE488A01050,471.15,20
54,PAGEIND,INE761H01022,34487.75,20
55,GOKULAGRO,INE314T01025,116.4,20
56,RUSHIL,INE573K01017,320.5,20
57,EICHERMOT,INE066A01021,4014.3,10.3
58,VISHNU,INE270I01022,331.15,20
59,GUJALKALI,INE186A01019,750.8,20
60,NMDC,INE584A01023,216.8,20
61,KIRLOSENG,INE146L01010,904.7,20
62,DHANI,INE274G01010,40.95,23.05
63,PNC,INE392B01011,60.6,25.21
64,MOIL,INE490G01020,314.45,20
65,NIFMID150,INF789F1AYX9,184.86,10.57
