Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,15042024,1522247217,0002413
Trade Date <15-APR-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1018GS2026,GS,102,102,100.00
20,2,182D031024,TB,3000,3000,100.00
20,3,182D040724,TB,100,100,100.00
20,4,182D050924,TB,3300,3300,100.00
20,5,182D060624,TB,1200,1200,100.00
20,6,182D080824,TB,100,100,100.00
20,7,182D090524,TB,100,100,100.00
20,8,182D110724,TB,200,200,100.00
20,9,182D160524,TB,1000,1000,100.00
20,10,182D180724,TB,2700,2700,100.00
20,11,182D190924,TB,400,400,100.00
20,12,182D200624,TB,19300,17300,89.64
20,13,182D220824,TB,900,900,100.00
20,14,182D230524,TB,1000,1000,100.00
20,15,182D250724,TB,100,100,100.00
20,16,182D260924,TB,100,100,100.00
20,17,182D270624,TB,1800,1800,100.00
20,18,182D290824,TB,200,200,100.00
20,19,182D300524,TB,200,200,100.00
20,20,20MICRONS,EQ,261664,110013,42.04
20,21,360ONE,EQ,257991,135593,52.56
20,22,364D020125,TB,100,100,100.00
20,23,364D110425,TB,6400,6400,100.00
20,24,364D121224,TB,200,100,50.00
20,25,364D180424,TB,9800,9800,100.00
20,26,364D200225,TB,100,100,100.00
20,27,364D281124,TB,100,100,100.00
20,28,3IINFOLTD,EQ,1263745,662556,52.43
20,29,3MINDIA,EQ,3467,2223,64.12
20,30,515GS2025,GS,10,5,50.00
20,31,563GS2026,GS,8,6,75.00
20,32,574GS2026,GS,1003,1003,100.00
20,33,5PAISA,EQ,98112,33120,33.76
20,34,610GS2031,GS,102,102,100.00
20,35,63MOONS,EQ,374633,168951,45.10
20,36,654GS2032,GS,108200,100000,92.42
20,37,667GS2050,GS,7687,7687,100.00
20,38,669GS2024,GS,15964,10382,65.03
20,39,676GS2061,GS,1000,1000,100.00
20,40,689GS2025,GS,1000,1000,100.00
20,41,68GS2060,GS,920,920,100.00
20,42,703TN30,SG,300,300,100.00
20,43,706GS2028,GS,153199,153199,100.00
20,44,710GS2029,GS,108,105,97.22
20,45,717GS2030,GS,28818,28818,100.00
20,46,718GS2033,GS,124310,78010,62.75
20,47,718GS2037,GS,51041,51041,100.00
20,48,71GS2034,GS,1750,1750,100.00
20,49,725GS2063,GS,157355,157355,100.00
20,50,726GS2032,GS,12000,12000,100.00
20,51,726GS2033,GS,6,3,50.00
20,52,732GS2030,GS,5800,5800,100.00
20,53,733GS2026,GS,28930,23030,79.61
20,54,736GS2052,GS,31289,31289,100.00
20,55,737GS2028,GS,10745,10740,99.95
20,56,738GS2027,GS,243540,239179,98.21
20,57,73GS2053,GS,73200,53200,72.68
20,58,741GS2036,GS,17900,11000,61.45
20,59,746GS2073,GS,18301,18300,99.99
20,60,747PN43,SG,300,300,100.00
20,61,74GS2062,GS,12751,12751,100.00
20,62,754GS2036,GS,394455,382515,96.97
20,63,758GJ26,SG,300,300,100.00
20,64,759GS2026,GS,98,98,100.00
20,65,767KA36,SG,100,100,100.00
20,66,771AP31,SG,100,100,100.00
20,67,77TS38,SG,100,100,100.00
20,68,824GS2027,GS,3767,3767,100.00
20,69,828GS2027,GS,11196,11196,100.00
20,70,83GS2040,GS,378,378,100.00
20,71,91D020524,TB,3500,3500,100.00
20,72,91D040724,TB,14200,14200,100.00
20,73,91D060624,TB,700,500,71.43
20,74,91D090524,TB,1800,1800,100.00
20,75,91D120724,TB,2100,1700,80.95
20,76,91D130624,TB,700,600,85.71
20,77,91D160524,TB,9200,9200,100.00
20,78,91D180424,TB,2800,2800,100.00
20,79,91D200624,TB,1100,1100,100.00
20,80,91D230524,TB,700,700,100.00
20,81,91D250424,TB,1100,1100,100.00
20,82,91D270624,TB,5000,5000,100.00
20,83,91D300524,TB,400,300,75.00
20,84,92GS2030,GS,2880,2780,96.53
20,85,AAATECH,EQ,71755,40918,57.02
20,86,AAKASH,EQ,508496,325896,64.09
20,87,AARON,EQ,9594,7214,75.19
20,88,AARTECH,EQ,120010,49536,41.28
20,89,AARTIDRUGS,EQ,146188,64436,44.08
20,90,AARTIIND,EQ,1362609,457796,33.60
20,91,AARTIPHARM,EQ,293692,167509,57.04
20,92,AARTISURF,EQ,84023,33282,39.61
20,93,AARTISURF,P1,28,8,28.57
20,94,AARVEEDEN,EQ,22404,15590,69.59
20,95,AARVI,EQ,1010662,300029,29.69
20,96,AATMAJ,SM,2000,2000,100.00
20,97,AAVAS,EQ,337101,170449,50.56
20,98,ABB,EQ,333967,166883,49.97
20,99,ABBOTINDIA,EQ,22533,12590,55.87
20,100,ABCAPITAL,EQ,11949451,3807928,31.87
20,101,ABFRL,EQ,2905882,966074,33.25
20,102,ABINFRA,SM,24000,16000,66.67
20,103,ABMINTLLTD,EQ,1586,989,62.36
20,104,ABSLAMC,EQ,452535,327651,72.40
20,105,ABSLBANETF,EQ,18483,10639,57.56
20,106,ABSLLIQUID,EQ,10381,9582,92.30
20,107,ABSLNN50ET,EQ,15276,8298,54.32
20,108,ACC,EQ,228287,77982,34.16
20,109,ACCELYA,EQ,28843,12276,42.56
20,110,ACCENTMIC,SM,32000,21000,65.63
20,111,ACE,EQ,305422,147450,48.28
20,112,ACEINTEG,EQ,183054,62004,33.87
20,113,ACI,EQ,1557173,444816,28.57
20,114,ACL,EQ,77329,37953,49.08
20,115,ACLGATI,EQ,348562,160855,46.15
20,116,ACSAL,SM,6000,3000,50.00
20,117,ADANIENSOL,EQ,1053977,338686,32.13
20,118,ADANIENT,EQ,1035378,390255,37.69
20,119,ADANIGREEN,EQ,978516,488013,49.87
20,120,ADANIPORTS,EQ,3372368,1464035,43.41
20,121,ADANIPOWER,EQ,4499953,1862303,41.38
20,122,ADFFOODS,EQ,75212,40042,53.24
20,123,ADL,EQ,2782,2006,72.11
20,124,ADORWELD,EQ,18583,11133,59.91
20,125,ADROITPP,X1,21611,21611,100.00
20,126,ADSL,EQ,367641,144800,39.39
20,127,ADVANIHOTR,EQ,221075,118262,53.49
20,128,ADVENZYMES,EQ,101431,46161,45.51
20,129,AEGISCHEM,EQ,3301979,1012228,30.66
20,130,AEROFLEX,EQ,390569,149351,38.24
20,131,AETHER,EQ,56372,27568,48.90
20,132,AFFLE,EQ,183002,95107,51.97
20,133,AGARIND,EQ,35196,18306,52.01
20,134,AGARWALFT,SM,18000,18000,100.00
20,135,AGI,EQ,155600,68983,44.33
20,136,AGNI,ST,85000,75000,88.24
20,137,AGRITECH,EQ,15555,7838,50.39
20,138,AGROPHOS,EQ,58219,38376,65.92
20,139,AGUL,ST,4000,4000,100.00
20,140,AHL,EQ,105968,54526,51.46
20,141,AHLADA,EQ,69883,42692,61.09
20,142,AHLEAST,EQ,20384,12052,59.12
20,143,AHLUCONT,EQ,66700,28565,42.83
20,144,AIAENG,EQ,23244,12317,52.99
20,145,AILIMITED,SM,18000,12000,66.67
20,146,AIROLAM,EQ,22143,14815,66.91
20,147,AIRTELPP,E1,280734,224188,79.86
20,148,AISL,SM,14400,13200,91.67
20,149,AJANTPHARM,EQ,81061,37485,46.24
20,150,AJMERA,EQ,166105,39549,23.81
20,151,AJOONI,EQ,681406,422424,61.99
20,152,AKANKSHA,SM,88000,54000,61.36
20,153,AKASH,EQ,59067,29772,50.40
20,154,AKG,EQ,39434,25851,65.56
20,155,AKZOINDIA,EQ,15211,9124,59.98
20,156,ALBERTDAVD,EQ,8143,6323,77.65
20,157,ALEMBICLTD,EQ,642741,265227,41.26
20,158,ALICON,EQ,8981,4165,46.38
20,159,ALKALI,EQ,16365,10364,63.33
20,160,ALKEM,EQ,164252,92004,56.01
20,161,ALKYLAMINE,EQ,57261,20873,36.45
20,162,ALLCARGO,EQ,2163075,669656,30.96
20,163,ALLETEC,SM,43200,28000,64.81
20,164,ALLSEC,EQ,84107,27840,33.10
20,165,ALPA,EQ,29609,14179,47.89
20,166,ALPEXSOLAR,SM,591600,328800,55.58
20,167,ALPHA,EQ,1067207,695785,65.20
20,168,ALPHAETF,EQ,244778,202621,82.78
20,169,ALPHAGEO,EQ,106375,37081,34.86
20,170,ALPL30IETF,EQ,406411,275950,67.90
20,171,ALUWIND,ST,237000,189000,79.75
20,172,AMBER,EQ,98217,30177,30.72
20,173,AMBICAAGAR,EQ,55687,23717,42.59
20,174,AMBIKCO,EQ,9111,4901,53.79
20,175,AMBUJACEM,EQ,2647237,934766,35.31
20,176,AMDIND,EQ,11985,6903,57.60
20,177,AMEYA,SM,6000,6000,100.00
20,178,AMIABLE,SM,1600,1600,100.00
20,179,AMIORG,EQ,284050,85914,30.25
20,180,AMJLAND,EQ,33216,19422,58.47
20,181,AMNPLST,EQ,9861,7335,74.38
20,182,AMRUTANJAN,EQ,75133,40627,54.07
20,183,ANANDRATHI,EQ,370704,89727,24.20
20,184,ANANTRAJ,EQ,1339530,738669,55.14
20,185,ANDHRAPAP,EQ,71459,39787,55.68
20,186,ANDHRSUGAR,EQ,161848,87824,54.26
20,187,ANGELONE,EQ,371901,153566,41.29
20,188,ANIKINDS,EQ,58503,31253,53.42
20,189,ANKITMETAL,EQ,82326,69879,84.88
20,190,ANLON,SM,16400,11200,68.29
20,191,ANMOL,EQ,237261,153801,64.82
20,192,ANNAPURNA,SM,32500,21000,64.62
20,193,ANUP,EQ,16465,8064,48.98
20,194,ANURAS,EQ,148963,67517,45.32
20,195,APARINDS,EQ,137154,35899,26.17
20,196,APCL,EQ,13811,7786,56.38
20,197,APCOTEXIND,EQ,22902,11695,51.07
20,198,APEX,EQ,75942,31702,41.75
20,199,APLAPOLLO,EQ,433059,285600,65.95
20,200,APLLTD,EQ,57393,29899,52.10
20,201,APOLLO,EQ,997387,608823,61.04
20,202,APOLLOHOSP,EQ,251305,120157,47.81
20,203,APOLLOPIPE,EQ,60614,25926,42.77
20,204,APOLLOTYRE,EQ,1607704,381904,23.75
20,205,APOLSINHOT,EQ,4910,2428,49.45
20,206,APS,SM,94000,60000,63.83
20,207,APTECHT,EQ,229288,110659,48.26
20,208,APTUS,EQ,360446,224847,62.38
20,209,ARABIAN,SM,20000,18000,90.00
20,210,ARCHIDPLY,EQ,165816,79377,47.87
20,211,ARE&M,EQ,1157710,341960,29.54
20,212,ARENTERP,EQ,20520,11716,57.10
20,213,ARHAM,SM,21000,13000,61.90
20,214,ARIES,EQ,102419,40675,39.71
20,215,ARIHANTACA,SM,1600,1600,100.00
20,216,ARIHANTCAP,EQ,348957,189041,54.17
20,217,ARIHANTSUP,EQ,22053,12897,58.48
20,218,ARISTO,SM,35200,24000,68.18
20,219,ARMANFIN,EQ,29907,12962,43.34
20,220,AROGRANITE,EQ,20574,11805,57.38
20,221,ARROWGREEN,EQ,51158,26966,52.71
20,222,ARTEMISMED,EQ,114234,48566,42.51
20,223,ARVIND,EQ,1035392,790670,76.36
20,224,ARVINDFASN,EQ,288098,139290,48.35
20,225,ARVSMART,EQ,99478,32864,33.04
20,226,ASAHIINDIA,EQ,136355,60650,44.48
20,227,ASAHISONG,EQ,8931,5552,62.17
20,228,ASAL,EQ,96466,44230,45.85
20,229,ASALCBR,EQ,117060,64662,55.24
20,230,ASHAPURMIN,EQ,98470,80706,81.96
20,231,ASHIANA,EQ,4071334,474342,11.65
20,232,ASHIMASYN,EQ,248224,143463,57.80
20,233,ASHOKA,EQ,2424096,804239,33.18
20,234,ASHOKLEY,EQ,11891660,4732221,39.79
20,235,ASIANENE,EQ,47220,26799,56.75
20,236,ASIANPAINT,EQ,884519,500029,56.53
20,237,ASIANTILES,EQ,553627,216431,39.09
20,238,ASKAUTOLTD,EQ,318924,184977,58.00
20,239,ASMS,EQ,363383,313684,86.32
20,240,ASPINWALL,EQ,5807,4191,72.17
20,241,ASPIRE,ST,598000,592000,99.00
20,242,ASTEC,EQ,40922,16046,39.21
20,243,ASTERDM,EQ,22716586,8687997,38.25
20,244,ASTRAL,EQ,570103,282656,49.58
20,245,ASTRAMICRO,EQ,492087,186129,37.82
20,246,ASTRAZEN,EQ,25650,22306,86.96
20,247,ATALREAL,EQ,2284962,781443,34.20
20,248,ATAM,EQ,240396,103011,42.85
20,249,ATFL,EQ,213790,168039,78.60
20,250,ATGL,EQ,1356648,434177,32.00
20,251,ATL,EQ,1022880,422985,41.35
20,252,ATLANTAA,EQ,1109587,544641,49.09
20,253,ATMASTCO,SM,233600,144000,61.64
20,254,ATUL,EQ,197367,143155,72.53
20,255,ATULAUTO,EQ,114358,48816,42.69
20,256,AUBANK,EQ,2868816,1183952,41.27
20,257,AURDIS,SM,2500,2000,80.00
20,258,AUROIMPEX,SM,25600,19200,75.00
20,259,AUROPHARMA,EQ,2423299,1024239,42.27
20,260,AUSOMENT,EQ,5127,3229,62.98
20,261,AUTOAXLES,EQ,16733,10752,64.26
20,262,AUTOBEES,EQ,154410,72997,47.27
20,263,AUTOIETF,EQ,552610,316791,57.33
20,264,AUTOIND,EQ,193745,107741,55.61
20,265,AVADHSUGAR,EQ,24032,11285,46.96
20,266,AVALON,EQ,118125,57782,48.92
20,267,AVANTIFEED,EQ,301362,99759,33.10
20,268,AVG,EQ,81235,36538,44.98
20,269,AVONMORE,EQ,32806,17286,52.69
20,270,AVPINFRA,SM,409600,251200,61.33
20,271,AVROIND,EQ,50463,28536,56.55
20,272,AVTNPL,EQ,164040,83511,50.91
20,273,AWHCL,EQ,144792,61050,42.16
20,274,AWL,EQ,1360743,618837,45.48
20,275,AXISBANK,EQ,8889435,5282099,59.42
20,276,AXISBNKETF,EQ,10623,10488,98.73
20,277,AXISBPSETF,EQ,55683,48954,87.92
20,278,AXISCADES,EQ,45089,18289,40.56
20,279,AXISCETF,EQ,800,359,44.88
20,280,AXISGOLD,EQ,238277,191051,80.18
20,281,AXISHCETF,EQ,7028,4606,65.54
20,282,AXISILVER,EQ,42446,38448,90.58
20,283,AXISNIFTY,EQ,6310,5464,86.59
20,284,AXISTECETF,EQ,9509,8827,92.83
20,285,AXITA,EQ,1666869,689688,41.38
20,286,AXSENSEX,EQ,936,567,60.58
20,287,AYMSYNTEX,EQ,56544,31683,56.03
20,288,AZAD,EQ,158915,83302,52.42
20,289,BABAFP,SM,14400,11200,77.78
20,290,BAHETI,SM,750,750,100.00
20,291,BAIDFIN,EQ,48628,31345,64.46
20,292,BAJAJ-AUTO,EQ,386707,145138,37.53
20,293,BAJAJCON,EQ,324583,188919,58.20
20,294,BAJAJELEC,EQ,296969,82254,27.70
20,295,BAJAJFINSV,EQ,828843,322548,38.92
20,296,BAJAJHCARE,EQ,199379,78065,39.15
20,297,BAJAJHIND,EQ,16409979,6637662,40.45
20,298,BAJAJHLDNG,EQ,40510,23740,58.60
20,299,BAJEL,EQ,628960,293383,46.65
20,300,BAJFINANCE,EQ,758448,385739,50.86
20,301,BALAJITELE,EQ,237281,186934,78.78
20,302,BALAMINES,EQ,69895,25040,35.83
20,303,BALAXI,EQ,10339,6327,61.20
20,304,BALKRISIND,EQ,117328,40984,34.93
20,305,BALMLAWRIE,EQ,534373,246980,46.22
20,306,BALPHARMA,EQ,5872,3935,67.01
20,307,BALRAMCHIN,EQ,1629914,426502,26.17
20,308,BANARBEADS,EQ,11378,3505,30.81
20,309,BANARISUG,EQ,1262,734,58.16
20,310,BANCOINDIA,EQ,103619,38641,37.29
20,311,BANDHANBNK,EQ,21581545,11735141,54.38
20,312,BANKBARODA,EQ,11835728,4956057,41.87
20,313,BANKBEES,EQ,893015,585474,65.56
20,314,BANKBETF,EQ,145768,144953,99.44
20,315,BANKETF,EQ,3528,2578,73.07
20,316,BANKETFADD,EQ,5689,3810,66.97
20,317,BANKIETF,EQ,2520827,2326522,92.29
20,318,BANKINDIA,EQ,8646073,3472816,40.17
20,319,BANKNIFTY1,EQ,35567,30556,85.91
20,320,BANSWRAS,EQ,41236,23149,56.14
20,321,BARBEQUE,EQ,908722,349536,38.46
20,322,BASF,EQ,20999,9870,47.00
20,323,BASILIC,SM,76800,48000,62.50
20,324,BASML,EQ,131447,74582,56.74
20,325,BATAINDIA,EQ,780335,388364,49.77
20,326,BAWEJA,SM,11200,8800,78.57
20,327,BAYERCROP,EQ,71674,20369,28.42
20,328,BBETF0432,EQ,4865,4722,97.06
20,329,BBL,EQ,31746,7883,24.83
20,330,BBNPPGOLD,EQ,526,363,69.01
20,331,BBOX,EQ,73838,52071,70.52
