1,AARTIPHARM,INE0LRU01027,501.15,20
2,HEALTHIETF,INF109KC1Q72,118.67,20
3,JLHL,INE682M01012,1252.15,20
4,DPSCLTD,INE360C01024,17.25,24.25
5,PONNIERODE,INE838E01017,416,20
6,DEEPAKNTR,INE288B01029,2305.25,20
7,THANGAMAYL,INE085J01014,1330.2,20
8,NAVNETEDUL,INE060A01024,146.05,20
9,TVSSCS,INE395N01027,161.8,20
10,RELINFRA,INE036A01016,194.7,27.35
11,NFL,INE870D01012,97.2,21.05
12,PROZONER,INE195N01013,30.75,23.71
13,JAYAGROGN,INE785A01026,240.6,20
14,MARUTI,INE585B01010,12405,9
15,SWANENERGY,INE665A01038,616.5,23.58
16,ALBERTDAVD,INE155C01010,1128.5,20
17,ASAHISONG,INE228I01012,325.25,20
18,KMSUGAR,INE157H01023,36.05,20.92
19,ASHIMASYN,INE440A01010,18.75,23.57
20,SIGIND,INE529F01035,69.4,22.86
21,ESG,INF769K01GS9,36.81,20
22,YUKEN,INE384C01016,997.1,20
23,RAJESHEXPO,INE343B01030,292.25,20
24,IGPL,INE204A01010,507.8,20
25,BLUESTARCO,INE472A01039,1404.9,20
26,SGBJAN29IX,IN0020200377,7258.74,10
27,ITI,INE248A01017,251.85,25.22
28,RUSTOMJEE,INE263M01029,687.4,20
29,BECTORFOOD,INE495P01012,1049.85,20
30,SGBMAR25,IN0020160126,7273.9,10
31,MOVALUE,INF247L01BE5,94.8,20
32,INDIAGLYCO,INE560A01015,831.35,20
33,MIDQ50ADD,INF740KA1QL0,210.19,20
34,TRIGYN,INE948A01012,115.85,21.16
35,VSTTILLERS,INE764D01017,3351.25,20
36,SGBSEP27,IN0020190115,7375,10
37,SGBNOV25VI,IN0020170083,7300,10
38,RECLTD,INE020B01018,428.65,20
39,AXISCETF,INF846K016C7,102.3,20
40,IDFNIFTYET,INF194KA1U07,236.76,8.69
41,SGBAUG27,IN0020190107,7464.87,10
42,VERANDA,INE0IQ001011,189.6,22.35
43,JUBLINDS,INE645L01011,1235.15,22.85
44,PASUPTAC,INE818B01023,37.65,21.7
45,CENTRUM,INE660C01027,35.85,24.69
46,UCAL,INE139B01016,156.3,20
47,SGBMAY26,IN0020180033,7324.91,10
48,BLUEJET,INE0KBH01020,392.7,20
49,FLUOROCHEM,INE09N301011,3598.6,20
50,DHUNINV,INE320L01011,1189.2,22.31
51,STARPAPER,INE733A01018,236.8,20
52,GOLDCASE,INF0R8F01042,11.74,20
53,CHEMPLASTS,INE488A01050,477.05,20
