Confirmed list of securities to be auctioned in A 2024074 to be held on Apr 22 2024.

Sr No,Symbol,Series,Total Qty
1,AAATECH,EQ,908
2,AARTECH,EQ,32
3,ABBOTINDIA,EQ,5
4,ACCELYA,EQ,8
5,ACE,EQ,15
6,ADANIENT,EQ,100
7,ALLCARGO,EQ,350
8,AMRUTANJAN,EQ,5
9,APOLLOTYRE,EQ,101
10,APS,SM,2000
11,ASTRAMICRO,EQ,2
12,AVTNPL,EQ,217
13,AXISBANK,EQ,50
14,BAJAJ-AUTO,EQ,5
15,BAJEL,EQ,130209
16,BBETF0432,EQ,1
17,BCG,EQ,21935
18,BHARTIARTL,EQ,1500
19,BHEL,EQ,16
20,BIOFILCHEM,EQ,177
21,BLUEJET,EQ,200
22,BSE500IETF,EQ,1466
23,BSLSENETFG,EQ,23
24,CENTURYTEX,EQ,258
25,CESC,EQ,10
26,CHEMCON,EQ,150
27,CONCOR,EQ,15
28,CRAYONS,SM,1000
29,DEEPAKNTR,EQ,50
30,DGCONTENT,EQ,25
31,DIVGIITTS,EQ,1
32,DRONE,SM,1000
33,EBBETF0430,EQ,8
34,EICHERMOT,EQ,175
35,EIDPARRY,EQ,3
36,EIHAHOTELS,EQ,2000
37,ELDEHSG,EQ,30
38,ELECON,EQ,367
39,ELIN,EQ,2
40,EMSLIMITED,EQ,1
41,EQUAL50ADD,EQ,8
42,ESILVER,EQ,16
43,EXICOM,EQ,1
44,EXIDEIND,EQ,1102
45,FCL,EQ,21
46,FLAIR,EQ,1
47,FORCEMOT,EQ,4
48,GALAXYSURF,EQ,225
49,GEPIL,EQ,500
50,GMRINFRA,EQ,688
51,GMRP&UI,EQ,45682
52,GODREJPROP,EQ,1
53,GRAPHITE,EQ,10
54,GTLINFRA,EQ,1
55,GULFPETRO,EQ,100
56,HAL,EQ,5
57,HBLPOWER,EQ,42
58,HCC,EQ,1000
59,HDFCAMC,EQ,300
60,HDFCBANK,EQ,19
61,HDFCQUAL,EQ,24
62,HEROMOTOCO,EQ,37
63,HINDALCO,EQ,165
64,HINDCOPPER,EQ,1000
65,HINDUNILVR,EQ,40
66,HIRECT,EQ,2066
67,HITECHGEAR,EQ,19
68,HSCL,EQ,5
69,HUHTAMAKI,EQ,100
70,IBREALEST,EQ,200
71,IDEA,EQ,68000
72,IDFC,EQ,3942
73,IEX,EQ,30
74,IMC1,N2,2
75,INDIANHUME,EQ,1000
76,INDIGRID,IV,870
77,INDOTECH,EQ,1382
78,INDUSINDBK,EQ,145
79,INDUSTOWER,EQ,66
80,INFY,EQ,6
81,INOXWIND,EQ,300
82,IRMENERGY,EQ,89053
83,ITC,EQ,1120
84,IVZINGOLD,EQ,2
85,JAYBARMARU,EQ,60
86,JINDALPOLY,EQ,25
87,JISLJALEQS,EQ,3
88,JKIL,EQ,1
89,KARURVYSYA,EQ,100
90,KOTAKBANK,EQ,134
91,KOTHARIPET,EQ,40
92,KPIGREEN,EQ,1
93,KSCL,EQ,32
94,LICNFNHGP,EQ,2
95,LIQUID,EQ,23
96,LIQUIDBEES,EQ,1
97,LIQUIDETF,EQ,25
98,LLOYDSME,EQ,7
99,LTIM,EQ,11
100,LYPSAGEMS,EQ,135
101,MANAKCOAT,EQ,527
102,MANAPPURAM,EQ,3549
103,MANORAMA,EQ,416
104,MANORG,EQ,1
105,MARICO,EQ,10
106,MARKSANS,EQ,150
107,MASKINVEST,EQ,2
108,MEGASOFT,EQ,42
109,METROPOLIS,EQ,7
110,MGL,EQ,34
111,MIDCAPIETF,EQ,132
112,MINDTECK,EQ,300
113,MNC,EQ,72
114,MOLOWVOL,EQ,5
115,MOREPENLAB,EQ,5000
116,MRPL,EQ,190
117,MUFTI,EQ,1
118,NAVNETEDUL,EQ,250
119,NCLIND,EQ,31
120,NIFTYBEES,EQ,63
