Symbol,Security,From Series,To Series,Change Date,Remarks
ATLANTAA,ATLANTAA LIMITED,EQ,BE,22-APR-2024,"-"
BHARATWIRE,BHARAT WIRE ROPES LIMITED,BE,EQ,22-APR-2024,"-"
GLOBE,GLOBE TEXTILES (INDIA) LIMITED,BE,EQ,22-APR-2024,"-"
HSCL,HIMADRI SPECIALITY CHEMICAL LIMITED,EQ,BE,22-APR-2024,"-"
MANOMAY,MANOMAY TEX INDIA LIMITED,BE,EQ,22-APR-2024,"-"
MBECL,MCNALLY BHARAT ENGINEERING COMPANY LIMITED,BE,EQ,22-APR-2024,"GSM STAGE - 0"
SABTNL,SRI ADHIKARI BROTHERS TELEVISION NETWORK LIMITED,EQ,BE,22-APR-2024,"-"
SILGO,SILGO RETAIL LIMITED,BE,EQ,22-APR-2024,"-"
SUZLON,SUZLON ENERGY LIMITED,BE,EQ,22-APR-2024,"-"
TALBROAUTO,TALBROS AUTOMOTIVE COMPONENTS LIMITED,BE,EQ,22-APR-2024,"-"
TARC,TARC LIMITED,BE,EQ,22-APR-2024,"-"
TCLCONS,TANTIA CONSTRUCTIONS LIMITED,BE,EQ,22-APR-2024,"-"
TRUST,TRUST FINTECH LIMITED,ST,SM,22-APR-2024,"-"
VINNY,VINNY OVERSEAS LIMITED,BE,EQ,22-APR-2024,"-"
WIPL,THE WESTERN INDIA PLYWOODS LIMITED,BE,EQ,22-APR-2024,"-"
