Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03052024,2370002803,0002449
Trade Date <03-MAY-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1018GS2026,GS,32,32,100.00
20,2,182D031024,TB,1100,1100,100.00
20,3,182D040724,TB,500,500,100.00
20,4,182D050924,TB,3200,2300,71.88
20,5,182D130624,TB,700,700,100.00
20,6,182D180724,TB,200,200,100.00
20,7,182D181024,TB,200,100,50.00
20,8,182D190924,TB,300,300,100.00
20,9,182D200624,TB,200,200,100.00
20,10,182D290824,TB,600,300,50.00
20,11,20MICRONS,EQ,70886,41521,58.57
20,12,360ONE,EQ,731424,384614,52.58
20,13,364D030425,TB,16000,16000,100.00
20,14,364D110425,TB,9700,9600,98.97
20,15,364D121224,TB,1100,1100,100.00
20,16,364D141124,TB,1000,1000,100.00
20,17,364D160524,TB,200,100,50.00
20,18,364D180724,TB,3000,3000,100.00
20,19,364D230125,TB,14000,14000,100.00
20,20,364D230524,TB,100,100,100.00
20,21,364D240425,TB,100,100,100.00
20,22,364D250724,TB,3000,3000,100.00
20,23,364D300524,TB,2000,2000,100.00
20,24,3IINFOLTD,EQ,712713,391448,54.92
20,25,3MINDIA,EQ,13550,10872,80.24
20,26,3PLAND,EQ,5969,4521,75.74
20,27,563GS2026,GS,40,40,100.00
20,28,574GS2026,GS,14052,14050,99.99
20,29,5PAISA,EQ,43209,19161,44.34
20,30,613GS2028,GS,9,9,100.00
20,31,63MOONS,EQ,88391,62253,70.43
20,32,654GS2032,GS,536584,500003,93.18
20,33,667GS2035,GS,4,2,50.00
20,34,667GS2050,GS,1207,1207,100.00
20,35,669GS2024,GS,122,121,99.18
20,36,689GS2025,GS,5,5,100.00
20,37,699GS2026,GS,8500,7502,88.26
20,38,699GS2051,GS,92,92,100.00
20,39,706GS2028,GS,67146,67144,100.00
20,40,710GS2029,GS,45877,45867,99.98
20,41,717GS2030,GS,4500,4500,100.00
20,42,718GS2033,GS,1,1,100.00
20,43,718GS2037,GS,52222,52222,100.00
20,44,71GS2034,GS,90,90,100.00
20,45,725GS2063,GS,11430,8578,75.05
20,46,726GS2032,GS,17101,17101,100.00
20,47,726GS2033,GS,3200,3200,100.00
20,48,732GS2030,GS,2000,2000,100.00
20,49,733GS2026,GS,32393,32393,100.00
20,50,734GS2064,GS,4341,4341,100.00
20,51,736GS2052,GS,9800,4900,50.00
20,52,737GS2028,GS,11310,11310,100.00
20,53,738GS2027,GS,40434,39841,98.53
20,54,73GS2053,GS,10000,10000,100.00
20,55,741GS2036,GS,117221,117021,99.83
20,56,746GS2073,GS,97091,89088,91.76
20,57,74GS2035,GS,1,1,100.00
20,58,74GS2062,GS,5170,5169,99.98
20,59,754GS2036,GS,344490,330655,95.98
20,60,758GJ32,SG,19000,19000,100.00
20,61,772GS2049,GS,35,35,100.00
20,62,773UP35,SG,100,100,100.00
20,63,817GS2044,GS,15,15,100.00
20,64,824GS2027,GS,1,1,100.00
20,65,826GS2027,GS,1000,1000,100.00
20,66,897GS2030,GS,38,38,100.00
20,67,91D040724,TB,1100,1100,100.00
20,68,91D060624,TB,200,200,100.00
20,69,91D090524,TB,1300,1300,100.00
20,70,91D120724,TB,4400,4400,100.00
20,71,91D130624,TB,1000,1000,100.00
20,72,91D160524,TB,500,500,100.00
20,73,91D190724,TB,100,100,100.00
20,74,91D200624,TB,200,200,100.00
20,75,91D230524,TB,100,100,100.00
20,76,91D250724,TB,15200,15200,100.00
20,77,92GS2030,GS,58766,58765,100.00
20,78,AAKASH,EQ,445015,298174,67.00
20,79,AARON,EQ,4698,3576,76.12
20,80,AARTIDRUGS,EQ,97780,40697,41.62
20,81,AARTIIND,EQ,863447,282397,32.71
20,82,AARTIPHARM,EQ,98925,42391,42.85
20,83,AARTISURF,EQ,41778,21673,51.88
20,84,AARTISURF,P1,16,0,0.00
20,85,AARVEEDEN,EQ,25444,14832,58.29
20,86,AARVI,EQ,29507,9880,33.48
20,87,AATMAJ,SM,58000,38000,65.52
20,88,AAVAS,EQ,137496,76672,55.76
20,89,ABB,EQ,337954,90429,26.76
20,90,ABBOTINDIA,EQ,15129,8869,58.62
20,91,ABCAPITAL,EQ,6767686,2857118,42.22
20,92,ABCOTS,SM,2000,1500,75.00
20,93,ABFL,N2,1,1,100.00
20,94,ABFL,N4,49,49,100.00
20,95,ABFRL,EQ,7606223,2897322,38.09
20,96,ABMINTLLTD,EQ,1229,1114,90.64
20,97,ABSLAMC,EQ,170293,99692,58.54
20,98,ABSLBANETF,EQ,85642,77224,90.17
20,99,ABSLLIQUID,EQ,32894,28193,85.71
20,100,ABSLNN50ET,EQ,31152,28849,92.61
20,101,ACC,EQ,521596,176265,33.79
20,102,ACCELYA,EQ,19590,10488,53.54
20,103,ACCENTMIC,SM,28000,18500,66.07
20,104,ACCORD,SM,2000,2000,100.00
20,105,ACE,EQ,256308,126092,49.20
20,106,ACEINTEG,EQ,6722,4235,63.00
20,107,ACI,EQ,542899,208377,38.38
20,108,ACL,EQ,126374,59119,46.78
20,109,ACLGATI,EQ,240236,133135,55.42
20,110,ACSAL,SM,27000,18000,66.67
20,111,ADANIENSOL,EQ,2666817,1577224,59.14
20,112,ADANIENT,EQ,1472168,516253,35.07
20,113,ADANIGREEN,EQ,906386,349449,38.55
20,114,ADANIPORTS,EQ,3528822,1534434,43.48
20,115,ADANIPOWER,EQ,3125576,1612820,51.60
20,116,ADFFOODS,EQ,272746,111677,40.95
20,117,ADL,EQ,3481,1993,57.25
20,118,ADORWELD,EQ,59982,23489,39.16
20,119,ADROITINFO,EQ,103584,35403,34.18
20,120,ADROITPP,E1,52378,52378,100.00
20,121,ADSL,EQ,594542,225150,37.87
20,122,ADVANIHOTR,EQ,284128,123784,43.57
20,123,ADVENZYMES,EQ,183790,105612,57.46
20,124,AEGISCHEM,EQ,978820,576050,58.85
20,125,AEROFLEX,EQ,679858,290258,42.69
20,126,AETHER,EQ,30038,16022,53.34
20,127,AFFLE,EQ,203698,79113,38.84
20,128,AGARIND,EQ,27894,13108,46.99
20,129,AGARWALFT,ST,3000,3000,100.00
20,130,AGI,EQ,573738,294266,51.29
20,131,AGNI,SM,70000,35000,50.00
20,132,AGRITECH,EQ,14017,5147,36.72
20,133,AGROPHOS,EQ,91482,64285,70.27
20,134,AGSTRA,EQ,98648,76175,77.22
20,135,AGUL,SM,10000,10000,100.00
20,136,AHL,EQ,24732,15597,63.06
20,137,AHLADA,EQ,52316,35287,67.45
20,138,AHLEAST,EQ,33429,18124,54.22
20,139,AHLUCONT,EQ,46314,28916,62.43
20,140,AIAENG,EQ,622763,577409,92.72
20,141,AIIL,EQ,3538,1658,46.86
20,142,AILIMITED,SM,15000,15000,100.00
20,143,AIRAN,EQ,76127,59630,78.33
20,144,AIROLAM,EQ,56330,27045,48.01
20,145,AIRTELPP,E1,230230,151589,65.84
20,146,AISL,ST,4800,4800,100.00
20,147,AJANTPHARM,EQ,2771320,454557,16.40
20,148,AJMERA,EQ,87617,38445,43.88
20,149,AJOONI,EQ,1015342,541249,53.31
20,150,AKANKSHA,SM,54000,42000,77.78
20,151,AKASH,EQ,9663,6533,67.61
20,152,AKG,EQ,30300,19497,64.35
20,153,AKI,EQ,69423,49259,70.95
20,154,AKSHARCHEM,EQ,7062,4426,62.67
20,155,AKZOINDIA,EQ,20907,11432,54.68
20,156,ALBERTDAVD,EQ,8753,5727,65.43
20,157,ALEMBICLTD,EQ,421061,249796,59.33
20,158,ALICON,EQ,7274,4899,67.35
20,159,ALKALI,EQ,45802,35790,78.14
20,160,ALKEM,EQ,91122,36384,39.93
20,161,ALKYLAMINE,EQ,26502,11258,42.48
20,162,ALLCARGO,EQ,2366847,958525,40.50
20,163,ALLETEC,SM,54400,33200,61.03
20,164,ALLSEC,EQ,87212,19177,21.99
20,165,ALOKINDS,EQ,3711970,2402568,64.72
20,166,ALPA,EQ,17767,13675,76.97
20,167,ALPEXSOLAR,SM,225600,143200,63.48
20,168,ALPHA,EQ,1411576,1186286,84.04
20,169,ALPHAETF,EQ,485458,343006,70.66
20,170,ALPHAGEO,EQ,27184,14467,53.22
20,171,ALPL30IETF,EQ,91957,79879,86.87
20,172,ALPSINDUS,EQ,46391,46391,100.00
20,173,ALUWIND,SM,843000,564000,66.90
20,174,AMBANIORG,SM,1000,1000,100.00
20,175,AMBER,EQ,202836,126870,62.55
20,176,AMBICAAGAR,EQ,10905,6248,57.29
20,177,AMBIKCO,EQ,9525,6001,63.00
20,178,AMBUJACEM,EQ,2566478,869102,33.86
20,179,AMDIND,EQ,14740,8321,56.45
20,180,AMEYA,SM,8000,6000,75.00
20,181,AMIORG,EQ,120614,68757,57.01
20,182,AMJLAND,EQ,253235,123028,48.58
20,183,AMNPLST,EQ,24643,13139,53.32
20,184,AMRUTANJAN,EQ,708957,129823,18.31
20,185,ANANDRATHI,EQ,15593,8651,55.48
20,186,ANANTRAJ,EQ,924590,504334,54.55
20,187,ANDHRAPAP,EQ,138573,72853,52.57
20,188,ANDHRSUGAR,EQ,94836,46657,49.20
20,189,ANGELONE,EQ,240090,161528,67.28
20,190,ANIKINDS,EQ,14441,11708,81.07
20,191,ANKITMETAL,EQ,89012,63134,70.93
20,192,ANLON,SM,15600,11600,74.36
20,193,ANMOL,EQ,1381994,523063,37.85
20,194,ANNAPURNA,SM,21500,15500,72.09
20,195,ANUP,EQ,23002,9794,42.58
20,196,ANURAS,EQ,131431,63541,48.35
20,197,APARINDS,EQ,142886,62636,43.84
20,198,APCL,EQ,10028,5549,55.34
20,199,APCOTEXIND,EQ,15196,9131,60.09
20,200,APEX,EQ,350439,152590,43.54
20,201,APLAPOLLO,EQ,361205,192694,53.35
20,202,APLLTD,EQ,630919,200587,31.79
20,203,APOLLO,EQ,393464,303275,77.08
20,204,APOLLOHOSP,EQ,563849,369802,65.59
20,205,APOLLOPIPE,EQ,40667,22312,54.87
20,206,APOLLOTYRE,EQ,2947783,724487,24.58
20,207,APOLSINHOT,EQ,1382,953,68.96
