MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AC,925IBHFL25,SEC RE NCD 9.25% SR.II,       975.00,       976.00,       976.00,       976.00,       976.00,                   203008.00,208, ,6,      1000.00,       915.00
N,AP,950NFL23A,SEC RE NCD 9.65% SR I,      1030.46,      1030.46,      1030.46,      1030.46,      1030.46,                    10304.60,10, ,1,      1148.00,       900.10
N,AT,IBHFZC25B,SEC RE NCD SR III,      1023.52,      1023.00,      1023.00,      1023.00,      1023.00,                    10230.00,10, ,1,      1030.55,       830.10
N,AX,948IHFL26I,SEC RE NCD 9.48% SR V,       975.20,       975.20,       975.20,       975.20,       975.20,                     6826.40,7, ,2,      1065.00,       900.31
N,BV,10IHFL30A,SEC RE NCD 9.71% SR VIII,       969.99,       930.20,       979.59,       930.20,       955.11,                   137010.81,143, ,10,       990.00,       810.85
N,N0,965IHFL25C,SEC RE NCD 9.39% SR.VIII,       880.00,       918.80,       918.80,       918.80,       918.80,                    11025.60,12, ,2,      1038.00,       815.00
N,N0,975NFL25,SEC RE NCD 9.75% SR. I,       995.00,       986.00,       986.01,       986.00,       986.00,                    18734.02,19, ,4,      1007.00,       960.49
N,N0,9ICCL23A,SEC RE NCD 8.25% SR.I,       978.00,       985.00,       985.00,       985.00,       985.00,                    98500.00,100, ,4,      1075.00,       978.00
N,N0,9PEL25,SEC RE NCD 9.00% SR I,      1030.00,      1029.25,      1032.00,      1029.25,      1032.00,                    51531.25,50, ,3,      1036.00,       985.00
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       304.00,       304.00,       304.00,       301.48,       302.01,                  1292488.34,4277, ,37,       316.90,       295.00
N,N1,905PEL26,SEC RE NCD 9.05% SR II,      1032.00,      1033.00,      1033.00,      1033.00,      1033.00,                   103300.00,100, ,2,      1039.00,       983.87
