Symbol,Security,From Series,To Series,Change Date,Remarks
ALMONDZ,ALMONDZ GLOBAL SECURITIES LIMITED,BE,EQ,27-May-24,-
AMBICAAGAR,AMBICA AGARBATHIES & AROMA INDUSTRIES LIMITED,EQ,BE,27-May-24,-
ANTGRAPHIC,ANTARCTICA LIMITED,BE,EQ,27-May-24,-
ARTNIRMAN,ART NIRMAN LIMITED,BE,EQ,27-May-24,-
ASHOKAMET,ASHOKA METCAST LIMITED,BE,EQ,27-May-24,-
AURIONPRO,AURIONPRO SOLUTIONS LIMITED,BE,EQ,27-May-24,-
CENTEXT,CENTURY EXTRUSIONS LIMITED,BE,EQ,27-May-24,-
CORALFINAC,CORAL INDIA FINANCE & HOUSING LIMITED,BE,EQ,27-May-24,-
DHANBANK,DHANLAXMI BANK LIMITED,BE,EQ,27-May-24,-
FMNL,FUTURE MARKET NETWORKS LIMITED,BE,EQ,27-May-24,-
GILLANDERS,GILLANDERS ARBUTHNOT & COMPANY LIMITED,BE,EQ,27-May-24,-
INVENTURE,INVENTURE GROWTH & SECURITIES LIMITED,BE,EQ,27-May-24,-
IVP,IVP LIMITED,BE,EQ,27-May-24,-
KANANIIND,KANANI INDUSTRIES LIMITED,BE,EQ,27-May-24,-
KSHITIJPOL,KSHITIJ POLYLINE LIMITED,BE,EQ,27-May-24,-
LFIC,LAKSHMI FINANCE & INDUSTRIAL CORPORATION LIMITED,BE,EQ,27-May-24,-
MANAKALUCO,MANAKSIA ALUMINIUM COMPANY LIMITED,BE,EQ,27-May-24,-
MCLEODRUSS,MCLEOD RUSSEL INDIA LIMITED,BE,EQ,27-May-24,-
NILAINFRA,NILA INFRASTRUCTURES LIMITED,BE,EQ,27-May-24,-
NOIDATOLL,NOIDA TOLL BRIDGE COMPANY LIMITED,BE,EQ,27-May-24,-
ORIENTALTL,ORIENTAL TRIMEX LIMITED,BE,EQ,27-May-24,-
PILITA,PIL ITALICA LIFESTYLE LIMITED,BE,EQ,27-May-24,-
PRITIKAUTO,PRITIKA AUTO INDUSTRIES LIMITED,BE,EQ,27-May-24,-
RADAAN,RADAAN MEDIAWORKS INDIA LIMITED,EQ,BE,27-May-24,GSM STAGE - II
RVHL,RAVINDER HEIGHTS LIMITED,BE,EQ,27-May-24,-
SARVESHWAR,SARVESHWAR FOODS LIMITED,BE,EQ,27-May-24,-
SLONE,SLONE INFOSYSTEMS LIMITED,ST,SM,27-May-24,-
SURANAT&P,SURANA TELECOM AND POWER LIMITED,BE,EQ,27-May-24,-
TERASOFT,TERA SOFTWARE LIMITED,BE,EQ,27-May-24,-
TREEHOUSE,TREE HOUSE EDUCATION & ACCESSORIES LIMITED,BE,EQ,27-May-24,-
USK,UDAYSHIVAKUMAR INFRA LIMITED,BE,EQ,27-May-24,-
VINEETLAB,VINEET LABORATORIES LIMITED,BE,EQ,27-May-24,-
SECURCRED,SECUR CREDENTIALS LIMITED,EQ,BE,27-May-24,-
