Confirmed list of securities to be auctioned in A 2024098 to be held on May 28 2024.

Sr No,Symbol,Series,Total Qty
1,3IINFOLTD,EQ,350
2,3PLAND,EQ,4
3,AAKASH,EQ,1
4,AARTIIND,EQ,1
5,ABCAPITAL,EQ,1
6,ACE,EQ,107
7,ADANIENT,EQ,50
8,ADANIPORTS,EQ,1
9,AEGISCHEM,EQ,480
10,AFFLE,EQ,50
11,AHLADA,EQ,7165
12,AKI,EQ,828
13,ALMONDZ,EQ,17
14,AMBER,EQ,24
15,APTECHT,EQ,500
16,ASAHISONG,EQ,15
17,ASHIMASYN,EQ,15813
18,ASHOKLEY,EQ,1950
19,ASIANPAINT,EQ,110
20,ASKAUTOLTD,EQ,28
21,AUROPHARMA,EQ,35
22,AURUMPP1,E1,100
23,AXISBANK,EQ,40
24,AXISBNKETF,EQ,100
25,BAJAJCON,EQ,36
26,BAJFINANCE,EQ,11
27,BALKRISHNA,EQ,40
28,BALKRISIND,EQ,6
29,BALRAMCHIN,EQ,50
30,BANKBARODA,EQ,1
31,BASILIC,SM,300
32,BDL,EQ,18
33,BEDMUTHA,EQ,10
34,BESTAGRO,EQ,5
35,BFUTILITIE,EQ,1
36,BHARTIHEXA,EQ,1
37,BHEL,EQ,409
38,BPL,EQ,10
39,CAREERP,EQ,507
40,CDSL,EQ,10
41,CGPOWER,EQ,30
42,CHAMBLFERT,EQ,250
43,CHEMPLASTS,EQ,25
44,COALINDIA,EQ,499
45,COCHINSHIP,EQ,34
46,CRAFTSMAN,EQ,8
47,DABUR,EQ,25
48,DBCORP,EQ,44
49,DELHIVERY,EQ,11
50,DISHTV,EQ,805
51,DIVISLAB,EQ,10
52,DNAMEDIA,EQ,4116
53,DOMS,EQ,1
54,DRCSYSTEMS,EQ,100
55,DRREDDY,EQ,234
56,EBBETF0433,EQ,1
57,EICHERMOT,EQ,2
58,ELECON,EQ,3
59,EPACK,EQ,1
60,EXIDEIND,EQ,12
61,EXXARO,EQ,10
62,FACT,EQ,10
63,FEDERALBNK,EQ,2
64,FINCABLES,EQ,5
65,FOODSIN,EQ,11
66,FORCEMOT,EQ,10
67,GANDHITUBE,EQ,2
68,GICRE,EQ,470
69,GILT5YBEES,EQ,446
70,GLS,EQ,50
71,GMRINFRA,EQ,100
72,GMRP&UI,EQ,195
73,GOACARBON,EQ,15
74,GODHA,EQ,4810886
75,GPIL,EQ,336
76,GRSE,EQ,517
77,GVPTECH,EQ,2297
78,HDFCBANK,EQ,43
79,HDFCPVTBAN,EQ,274
80,HDFCSENSEX,EQ,16
81,HINDALCO,EQ,100
82,HINDCOPPER,EQ,515
83,HINDMOTORS,EQ,12
84,HYBRIDFIN,EQ,56
85,IBREALEST,EQ,37500
86,IBULPP,E1,5000
87,ICICIBANK,EQ,9995
88,ICICIGI,EQ,122
89,ICICIPRULI,EQ,100
90,IDEA,EQ,33
91,IEX,EQ,500
92,IMFA,EQ,25
93,IMPAL,EQ,16
94,INDIANB,EQ,255
95,INDIANHUME,EQ,2
96,INDOCO,EQ,10
97,INDUSTOWER,EQ,5
98,INFY,EQ,205
99,INOXWIND,EQ,41925
100,INVENTURE,EQ,2912
101,IOB,EQ,1465
102,IRB,EQ,200
103,IREDA,EQ,75
104,IRFC,EQ,134
105,IRMENERGY,EQ,1
106,ITC,EQ,1750
107,J&KBANK,EQ,100
108,JAYAGROGN,EQ,1
109,JBCHEPHARM,EQ,40
110,JCHAC,EQ,20
111,JINDALPHOT,EQ,4
112,JIOFIN,EQ,850
113,JKTYRE,EQ,50
114,JSWINFRA,EQ,1
115,JSWSTEEL,EQ,204
116,JTLIND,EQ,20
117,JUBLFOOD,EQ,1
118,JUSTDIAL,EQ,100
119,JWL,EQ,100
120,JYOTICNC,EQ,429
121,KABRAEXTRU,EQ,1
122,KECL,EQ,192
123,KHAICHEM,EQ,55
124,KIRLOSBROS,EQ,11
125,LICI,EQ,481
126,LT,EQ,132
127,LTFOODS,EQ,45
128,LTIM,EQ,27
129,LUMAXIND,EQ,2
130,LUMAXTECH,EQ,10
131,MAHABANK,EQ,2000
132,MCDOWELL-N,EQ,2
133,MCX,EQ,5
134,METROPOLIS,EQ,9036
135,MGL,EQ,56
136,MOLDTKPAC,EQ,16
137,MPHASIS,EQ,5
138,MRPL,EQ,3000
139,NATIONALUM,EQ,500
140,NAVNETEDUL,EQ,50
141,NAZARA,EQ,2
142,NBCC,EQ,100
143,NCC,EQ,10000
144,NFL,EQ,10
145,NGIL,EQ,100
146,NHPC,EQ,445
147,NIITLTD,EQ,247
148,NMDC,EQ,100
149,NUVAMA,EQ,25
150,OBEROIRLTY,EQ,10
151,OCCL,EQ,1
152,OSWALGREEN,EQ,499
153,PATANJALI,EQ,1
154,PATINTLOG,EQ,30
155,PAYTM,EQ,1279
156,PEL,EQ,5
157,PERSISTENT,EQ,49
158,PETRONET,EQ,200
159,PFC,EQ,350
160,PNB,EQ,1
161,POLICYBZR,EQ,49
162,PPLPHARMA,EQ,299
163,RCF,EQ,398
164,RECLTD,EQ,57
165,REDTAPE,EQ,50
166,RELIGARE,EQ,1000
167,RPOWER,EQ,490
168,RUSHIL,EQ,1
169,SANDHAR,EQ,5
170,SANOFI,EQ,1
171,SAREGAMA,EQ,1
172,SARLAPOLY,EQ,30
173,SARVESHWAR,EQ,51
174,SBICARD,EQ,14
175,SBIN,EQ,6
176,SENSEXIETF,EQ,2
177,SHAH,EQ,15244
178,SHAILY,EQ,11
179,SHAKTIPUMP,EQ,5
180,SHARDACROP,EQ,3
181,SHILPAMED,EQ,2707
182,SHIVAMAUTO,EQ,900
183,SILVRETF,EQ,10
184,SINDHUTRAD,EQ,264
185,SKIPPER,EQ,19
186,SKIPPERPP,E1,873
187,SLONE,SM,1600
188,SMSPHARMA,EQ,6
189,SPMLINFRA,EQ,1
190,SRF,EQ,24
191,STERTOOLS,EQ,76
192,SULA,EQ,1000
193,SURYAROSNI,EQ,500
194,SVPGLOB,EQ,12
195,SWANENERGY,EQ,2
196,SWARAJENG,EQ,5
197,SYMPHONY,EQ,10
198,TARC,EQ,2
199,TARSONS,EQ,4
200,TATAMOTORS,EQ,100
201,TCI,EQ,21
202,TCS,EQ,29
203,TEJASNET,EQ,5
204,TERASOFT,EQ,916
205,THEJO,EQ,49
206,TIMKEN,EQ,5
207,UBL,EQ,5
208,UCOBANK,EQ,100
209,UNIONBANK,EQ,100
210,VIMTALABS,EQ,117
211,VINNY,EQ,2010
212,VISHNU,EQ,50
213,VLSFINANCE,EQ,47
214,VTL,EQ,7
215,WALCHANNAG,EQ,663
216,WANBURY,EQ,188
217,WENDT,EQ,1
218,WIPRO,EQ,501
219,WSTCSTPAPR,EQ,19
220,ZFCVINDIA,EQ,6941
