Confirmed list of securities to be auctioned in A 2024108 to be held on Jun 11 2024.

Sr No,Symbol,Series,Total Qty
1,20MICRONS,EQ,1
2,360ONE,EQ,259
3,5PAISA,EQ,19
4,AADHARHFC,EQ,1927
5,ABFRL,EQ,9
6,ABMINTLLTD,EQ,323
7,ACL,EQ,1998
8,ADANIPOWER,EQ,5
9,AGI,EQ,10
10,AJMERA,EQ,3
11,ALBERTDAVD,EQ,8
12,ALICON,EQ,2
13,ALMONDZ,EQ,408
14,ALPHAGEO,EQ,65
15,APS,SM,500
16,ARE&M,EQ,1
17,ARROWGREEN,EQ,1
18,ARVIND,EQ,1
19,ASHIMASYN,EQ,1077
20,ASHOKAMET,EQ,1
21,ASIANENE,EQ,10
22,ASTRAL,EQ,1
23,ASTRAMICRO,EQ,1
24,ATGL,EQ,7
25,AUBANK,EQ,19300
26,AURIONPRO,EQ,1
27,AURUMPP1,E1,900
28,AVG,EQ,10
29,AWFIS,EQ,7
30,AWHCL,EQ,950
31,AXITA,EQ,1300
32,AZAD,EQ,464
33,BAJFINANCE,EQ,19
34,BBNPPGOLD,EQ,2
35,BEML,EQ,4
36,BERGEPAINT,EQ,49
37,BIOCON,EQ,100
38,BLAL,EQ,50
39,BLUEJET,EQ,2
40,BURNPUR,EQ,800
41,CAPACITE,EQ,5
42,CAPLIPOINT,EQ,1
43,CCHHL,EQ,1468
44,CIPLA,EQ,34
45,COALINDIA,EQ,243
46,COMSYN,EQ,1
47,COSMOFIRST,EQ,30
48,CUB,EQ,1872
49,CYIENT,EQ,5
50,DALBHARAT,EQ,3
51,DATAMATICS,EQ,2
52,DCW,EQ,300
53,DEVYANI,EQ,100
54,DIAMONDYD,EQ,25
55,DONEAR,EQ,400
56,DREDGECORP,EQ,6664
57,EDELWEISS,EQ,1500
58,EGOLD,EQ,67
59,EIHAHOTELS,EQ,25
60,ELDEHSG,EQ,7
61,EMBASSY,RR,19
62,EPACK,EQ,1
63,EQUAL50ADD,EQ,16
64,ESSARSHPNG,EQ,77435
65,ETHOSLTD,EQ,1
66,FACT,EQ,100
67,FIEMIND,EQ,1128
68,FLUOROCHEM,EQ,15
69,FUSION,EQ,1
70,GANESHBE,EQ,1
71,GENSOL,EQ,2
72,GHCL,EQ,113
73,GLOBE,EQ,22751
74,GMRINFRA,EQ,500
75,GODFRYPHLP,EQ,1
76,GODREJAGRO,EQ,80
77,GOPAL,EQ,1
78,GRASIM,EQ,25
79,GRSE,EQ,2
80,GTLINFRA,EQ,817467
81,GUFICBIO,EQ,36760
82,GULFOILLUB,EQ,2
83,HAL,EQ,2
84,HARSHA,EQ,550
85,HCLTECH,EQ,1
86,HDFCNIFTY,EQ,1
87,HEG,EQ,3
88,HFCL,EQ,10
89,HGINFRA,EQ,2
90,HINDMOTORS,EQ,17823
91,HINDWAREAP,EQ,25
92,HMAAGRO,EQ,116
93,HSCL,EQ,3035
94,HUDCO,EQ,25
95,HYBRIDFIN,EQ,2
96,IBULPP,E1,25
97,ICEMAKE,EQ,6
98,ICICIBANK,EQ,1400
99,ICICIGI,EQ,40
100,IDEA,EQ,80002
101,IDFC,EQ,2212
102,IDFNIFTYET,EQ,7
103,IEL,EQ,2
104,IFBIND,EQ,6
105,IFCI,EQ,500
106,IGPL,EQ,500
107,IIFL,EQ,730
108,INDIASHLTR,EQ,179
109,INDIGO,EQ,22
110,INDNIPPON,EQ,7
111,INFIBEAM,EQ,2645
112,INFRABEES,EQ,88
113,INTELLECT,EQ,1
114,INTENTECH,EQ,7470
115,INVENTURE,EQ,16617
116,IOB,EQ,25
117,IRCON,EQ,9
118,IREDA,EQ,2025
119,IRFC,EQ,1050
120,ISEC,EQ,2
121,ITC,EQ,99
122,JAGRAN,EQ,12
123,JISLJALEQS,EQ,100
124,JKIL,EQ,8
125,JPPOWER,EQ,6300
126,JUBLINDS,EQ,17
127,JWL,EQ,50
128,JYOTHYLAB,EQ,5
129,JYOTICNC,EQ,3
130,KANORICHEM,EQ,10
131,KAPSTON,EQ,30
132,KECL,EQ,1000
133,KERNEX,EQ,2
134,KHAITANLTD,EQ,113
135,KOLTEPATIL,EQ,7
136,KOTAKBANK,EQ,200
137,KPRMILL,EQ,1
138,LIKHITHA,EQ,76108
139,LIQUIDBEES,EQ,1
140,LIQUIDBETF,EQ,10
141,LIQUIDETF,EQ,10
142,LOWVOL1,EQ,65
143,LTF,EQ,983
144,LTTS,EQ,2
145,MAFANG,EQ,16
146,MAGNUM,EQ,234
147,MAHKTECH,EQ,408
148,MAITHANALL,EQ,4
149,MANALIPETC,EQ,10
150,MANGCHEFER,EQ,1000
151,MARUTI,EQ,1
152,MASPTOP50,EQ,92
153,MASTEK,EQ,2
154,MAWANASUG,EQ,100
155,MAXIND,EQ,12
156,MEDPLUS,EQ,10
157,MINDTECK,EQ,50
158,MOGSEC,EQ,18
159,MOHEALTH,EQ,14
160,MOIL,EQ,184
161,MOMENTUM,EQ,7
162,MOTHERSON,EQ,300
163,MOTILALOFS,EQ,1
164,MRF,EQ,1
165,MSTCLTD,EQ,1
166,MUFIN,EQ,4020
167,MUKANDLTD,EQ,10
168,NAGAFERT,EQ,1500
169,NATIONALUM,EQ,4055
170,NCC,EQ,50
171,NCLIND,EQ,10
172,NDTV,EQ,1200
173,NESTLEIND,EQ,901
174,NFL,EQ,4
175,NHPC,EQ,250
176,NIF100BEES,EQ,18
177,NIFTYQLITY,EQ,319
178,NILAINFRA,EQ,1769
179,NOIDATOLL,EQ,3878
180,NORBTEAEXP,EQ,1
181,NOVAAGRI,EQ,200
182,NRBBEARING,EQ,3
183,ONEPOINT,EQ,9
184,OPTIEMUS,EQ,1528
185,ORIENTELEC,EQ,20
186,ORISSAMINE,EQ,6
187,PANACHE,EQ,50
188,PAYTM,EQ,14
189,PDSL,EQ,1
190,PEL,EQ,55
191,PGHL,EQ,4
192,PNB,EQ,1
193,PNCINFRA,EQ,117
194,POLYMED,EQ,29
195,POWERGRID,EQ,25
196,PRAJIND,EQ,40
197,PRECWIRE,EQ,713
198,PRUDENT,EQ,9
199,RAILTEL,EQ,4
200,RAMCOCEM,EQ,300
201,RCF,EQ,2000
202,REDINGTON,EQ,250
203,REFRACTORY,SM,4000
204,RELAXO,EQ,80
205,RMDRIP,SM,3000
206,ROLEXRINGS,EQ,3
207,ROUTE,EQ,25
208,RPGLIFE,EQ,85
209,RUCHIRA,EQ,25
210,RVHL,EQ,10
211,SAGCEM,EQ,25
212,SAKUMA,EQ,235848
213,SAMPANN,EQ,56
214,SANDUMA,EQ,3
215,SARVESHWAR,EQ,9
216,SASTASUNDR,EQ,2000
217,SATIN,EQ,77
218,SCHAEFFLER,EQ,1
219,SCHAND,EQ,1
220,SCHNEIDER,EQ,178
221,SECURCRED,EQ,217
222,SETF10GILT,EQ,43
223,SFL,EQ,1
224,SHAHALLOYS,EQ,125
225,SHK,EQ,1
226,SHRIRAMPPS,EQ,1000
227,SILVER,EQ,905
228,SPMLINFRA,EQ,147
229,SRM,EQ,428
230,STARHEALTH,EQ,150
231,STOVEKRAFT,EQ,2
232,SUBROS,EQ,1
233,SUMICHEM,EQ,102
234,SUNPHARMA,EQ,100
235,SUNTECK,EQ,1
236,SUPERHOUSE,EQ,4
237,SURAJEST,EQ,50
238,SURYAROSNI,EQ,1
239,SUULD,EQ,86173
240,SWSOLAR,EQ,2635
241,TAJGVK,EQ,450
242,TARC,EQ,25
243,TATASTEEL,EQ,99
244,TATATECH,EQ,50
245,TBOTEK,EQ,2
246,TECHLABS,SM,500
247,TECILCHEM,EQ,10
248,TI,EQ,300
249,TIPSINDLTD,EQ,450
250,TITAGARH,EQ,25521
251,ULTRACEMCO,EQ,10
252,UNIINFO,EQ,700
253,VARDMNPOLY,EQ,657
254,VARROC,EQ,10
255,VINATIORGA,EQ,1
256,VINDHYATEL,EQ,5
257,VINYAS,SM,1400
258,VMART,EQ,10
259,WALCHANNAG,EQ,11
260,WHEELS,EQ,101
261,WHIRLPOOL,EQ,5
262,YUKEN,EQ,1
263,ZEEL,EQ,7552
264,ZENITHEXPO,EQ,2182
