Confirmed list of securities to be auctioned in A 2024110 to be held on Jun 13 2024.,,,
,,,
Sr No,Symbol,Series,Total Qty
1,10NIDO26,N6,70
2,AARVI,EQ,5
3,ABCAPITAL,EQ,200
4,ABINFRA,SM,32000
5,ABSLAMC,EQ,4272
6,ACCURACY,EQ,2132
7,ACEINTEG,EQ,2
8,ACL,EQ,32
9,ADANIPORTS,EQ,40
10,AHLUCONT,EQ,2
11,AIROLAM,EQ,21
12,AIRTELPP,E1,19
13,ALOKINDS,EQ,67
14,AMBER,EQ,20
15,AMBUJACEM,EQ,60
16,AMEYA,SM,2000
17,APOLLOTYRE,EQ,200
18,ARTNIRMAN,EQ,3
19,ARVSMART,EQ,50
20,ASHOKAMET,EQ,100
21,ASMS,EQ,10
22,ATUL,EQ,1
23,AURIONPRO,EQ,2181
24,AVG,EQ,50
25,AXISBPSETF,EQ,7
26,BAJAJHIND,EQ,24
27,BALAXI,EQ,131
28,BALKRISIND,EQ,10
29,BANKBARODA,EQ,6766
30,BANKBEES,EQ,214
31,BANSWRAS,EQ,7
32,BARBEQUE,EQ,10
33,BEL,EQ,820
34,BERGEPAINT,EQ,5
35,BFINVEST,EQ,8
36,BHARTIARTL,EQ,100
37,BLS,EQ,10
38,CANFINHOME,EQ,350
39,CDSL,EQ,500
40,CELEBRITY,EQ,10
41,CENTEXT,EQ,154
42,CESC,EQ,70
43,CHEMBOND,EQ,8070
44,COALINDIA,EQ,25
45,DBSTOCKBRO,EQ,2502
46,DCXINDIA,EQ,100
47,DIGISPICE,EQ,14406
48,DIXON,EQ,10
49,DREDGECORP,EQ,715
50,EMIL,EQ,250
51,ENERGYDEV,EQ,272
52,ENGINERSIN,EQ,510
53,EPACK,EQ,157
54,ESSARSHPNG,EQ,3450
55,EXIDEIND,EQ,2
56,EXXARO,EQ,7
57,FEDERALBNK,EQ,246
58,FOSECOIND,EQ,17
59,GENSOL,EQ,304
60,GENUSPOWER,EQ,8798
61,GESHIP,EQ,1
62,GMRINFRA,EQ,65
63,GMRP&UI,EQ,29986
64,GOLDETFADD,EQ,16
65,GRASIMPP,E1,1
66,GREENPOWER,EQ,296
67,GSLSU,EQ,1
68,GTLINFRA,EQ,4878
69,HAVELLS,EQ,50
70,HCC,EQ,322
71,HECPROJECT,EQ,590
72,HEIDELBERG,EQ,132
73,HERANBA,EQ,28
74,HEROMOTOCO,EQ,1
75,HGS,EQ,8
76,HINDMOTORS,EQ,2075
77,HINDPETRO,EQ,300
78,HUDCO,EQ,1
79,IBULHSGFIN,EQ,8010
80,IBULPP,E1,100
81,ICEMAKE,EQ,2224
82,ICICIBANK,EQ,66
83,IDBI,EQ,90
84,IDEA,EQ,5000
85,IDFC,EQ,50
86,IDFCFIRSTB,EQ,30
87,IEL,EQ,221
88,IEX,EQ,450
89,IMAGICAA,EQ,32
90,INCREDIBLE,EQ,122
91,INDHOTEL,EQ,57
92,INDIASHLTR,EQ,40
93,INDIGO,EQ,1
94,INDOWIND,EQ,422
95,INDUSTOWER,EQ,5
96,IREDA,EQ,1000
97,JAICORPLTD,EQ,150
98,JIOFIN,EQ,1098
99,JISLJALEQS E,Q,1
100,JITFINFRA,EQ,135
101,JKPAPER,EQ,943
102,JPPOWER,EQ,148046
103,JUBLFOOD,EQ,151
104,JUBLINDS,EQ,371
105,JWL,EQ,10
106,KAJARIACER,EQ,1
107,KANSAINER,EQ,4618
108,KAYA,EQ,27959
109,KERNEX,EQ,85
110,KESORAMIND,EQ,90
111,KIRLPNU,EQ,1000
112,KOTARISUG,EQ,2
113,KRISHANA,EQ,65
114,KRITI,EQ,5667
115,LANDMARK,EQ,32
116,LEMONTREE,EQ,50
117,LIBERTSHOE,EQ,15
118,LICNFNHGP,EQ,40
119,LIQUID,EQ,500
120,LIQUID1,EQ,1
121,LIQUIDADD,EQ,9
122,LIQUIDIETF,EQ,2
123,LLOYDS,SM,1000
124,LTF,EQ,3
125,LUMAXIND,EQ,6
126,LUPIN,EQ,1
127,MAGNUM,EQ,1
128,MANAKALUCO,EQ,303
129,MANGLMCEM,EQ,1
130,MARINE,EQ,2656
131,MAXHEALTH,EQ,100
132,MAZDOCK,EQ,154
133,MBLINFRA,EQ,3240
134,METROPOLIS,EQ,189
135,MINDSPACE,RR,290
136,MIRCELECTR,EQ,3250
137,MOGSEC,EQ,20
138,MOTHERSON,EQ,200
139,MOTOGENFIN,EQ,10
140,MSPL,EQ,788
141,MUTHOOTCAP,EQ,100
142,NAHARCAP,EQ,159
143,NCLIND,EQ,5000
144,NELCO,EQ,64
145,NESTLEIND,EQ,60
146,NEXT50IETF,EQ,552
147,NIACL,EQ,30
148,NMDC,EQ,505
149,NOCIL,EQ,11
150,NOIDATOLL,EQ,3096
151,OMINFRAL,EQ,3315
152,PAGEIND,EQ,3
153,PANACHE,EQ,40
154,PANAMAPET,EQ,8
155,PARADEEP,EQ,250
156,PATELENG,EQ,10822
157,PDMJEPAPER,EQ,100
158,PEL,EQ,11745
159,PETRONET,EQ,50
160,PHOENIXLTD,EQ,2
161,PIIND,EQ,8
162,PNBHOUSING,EQ,151
163,POONAWALLA,EQ,1
164,POWERGRID,EQ,865
165,PREMEXPLN,EQ,4
166,PVP,EQ,30780
167,PVSL,EQ,50
168,RAMCOCEM,EQ,173
169,RBLBANK,EQ,106
170,REDINGTON,EQ,1
171,REMSONSIND,EQ,9
172,RHL,EQ,9
173,RKFORGE,EQ,226
174,RML,EQ,1
175,ROHLTD,EQ,1
176,ROTO,EQ,1000
177,RPOWER,EQ,301199
178,RVNL,EQ,194
179,SAIL,EQ,1
180,SAKSOFT,EQ,250
181,SANGINITA,EQ,1194
182,SANSERA,EQ,90
183,SARLAPOLY,EQ,62
184,SAURASHCEM,EQ,27
185,SBIN,EQ,202
186,SCILAL,EQ,350
187,SENSEXADD,EQ,11
188,SHALPAINTS,EQ,9
189,SHARDACROP,EQ,10
190,SHARDAMOTR,EQ,10
191,SHK,EQ,20
192,SIEMENS,EQ,480
193,SKFINDIA,EQ,10
194,SOFTTECH,EQ,355
195,SONAMAC,SM,2000
196,SOUTHBANK,EQ,964
197,SPMLINFRA,EQ,234
198,SRF,EQ,70
199,STEELCITY,EQ,1
200,STYRENIX,EQ,2
201,SUNPHARMA,EQ,1
202,SUNTECK,EQ,50
203,SUPERSPIN,EQ,845
204,SURYAROSNI,EQ,28
205,SUULD,EQ,22827
206,SUZLON,EQ,500
207,SWANENERGY,EQ,1
208,SWELECTES,EQ,2000
209,TATACHEM,EQ,15
210,TATAGOLD,EQ,1000
211,TATAMOTORS,EQ,250
212,TATASTEEL,EQ,49
213,TCL,SM,2400
214,TCLCONS,EQ,593
215,TECILCHEM,EQ,548
216,TEJASNET,EQ,300
217,TI,EQ,160
218,TIDEWATER,EQ,20
219,TIMETECHNO,EQ,100
220,TIRUPATIFL,EQ,941
221,TITAGARH,EQ,1255
222,TITAN,EQ,5
223,TREEHOUSE,EQ,250
224,TRENT,EQ,3
225,TVTODAY,EQ,2
226,UJJIVANSFB,EQ,250
227,ULTRACEMCO,EQ,7
228,UMANGDAIRY,EQ,93
229,UNITEDPOLY,EQ,1
230,UNOMINDA,EQ,20
231,USK,EQ,63686
232,VARDMNPOLY,EQ,60
233,VBL,EQ,50
234,VENUSREM,EQ,5
235,VERTOZ,EQ,504
236,VIPCLOTHNG,EQ,2210
237,VPRPL,EQ,200
238,WEIZMANIND,EQ,15
239,WHIRLPOOL,EQ,50
240,WINDLAS,EQ,15
241,ZAGGLE,EQ,2200
242,ZENITHEXPO,EQ,2055
243,ZENTEC,EQ,2
244,ZOMATO,EQ,2
245,ZUARI,EQ,20
