Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,21062024,3005447836,0002490
Trade Date <21-JUN-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1015ECL29,NR,658,658,100.00
20,2,1018GS2026,GS,2632,2632,100.00
20,3,1025ICCL26,NT,30,30,100.00
20,4,1025IHF34,Z8,120,120,100.00
20,5,1035UCL26,NA,125,125,100.00
20,6,1040NFL26,NA,154,154,100.00
20,7,1050ISFL28,N5,25,25,100.00
20,8,1050NFL26,N7,676,676,100.00
20,9,1050UCL25,N7,70,70,100.00
20,10,1075IHF33A,N2,50,50,100.00
20,11,10CAGL27,N5,10,10,100.00
20,12,10IIFL28,N4,1441,1441,100.00
20,13,10IIFL28A,NE,562,561,99.82
20,14,10NIDO26,N6,319,319,100.00
20,15,1102NFL26,N8,30,30,100.00
20,16,182D010824,TB,100,100,100.00
20,17,182D110724,TB,15200,15200,100.00
20,18,182D120924,TB,100,100,100.00
20,19,182D180724,TB,200,200,100.00
20,20,182D181024,TB,100,100,100.00
20,21,182D190924,TB,10300,10300,100.00
20,22,182D191224,TB,100,100,100.00
20,23,182D221124,TB,100,100,100.00
20,24,182D250724,TB,100,100,100.00
20,25,20MICRONS,EQ,2900104,955403,32.94
20,26,360ONE,EQ,520838,219449,42.13
20,27,364D050625,TB,100,100,100.00
20,28,364D051224,TB,1000,1000,100.00
20,29,364D191224,TB,300,300,100.00
20,30,364D261224,TB,200,200,100.00
20,31,364D270225,TB,100,100,100.00
20,32,3IINFOLTD,EQ,1559809,656080,42.06
20,33,3MINDIA,EQ,19263,10696,55.53
20,34,3PLAND,EQ,31197,14483,46.42
20,35,563GS2026,GS,1,1,100.00
20,36,574GS2026,GS,512,501,97.85
20,37,5PAISA,EQ,68599,25984,37.88
20,38,619GS2034,GS,2,1,50.00
20,39,622GS2035,GS,3,3,100.00
20,40,63MOONS,EQ,122575,74017,60.39
20,41,654GS2032,GS,47764,46399,97.14
20,42,667GS2035,GS,263,263,100.00
20,43,667GS2050,GS,31,31,100.00
20,44,669GS2024,GS,3602,3602,100.00
20,45,676GS2061,GS,32,32,100.00
20,46,68GS2060,GS,539,539,100.00
20,47,699GS2051,GS,11383,11106,97.57
20,48,702GS2027,GS,300,300,100.00
20,49,702GS2031,GS,1325,1225,92.45
20,50,706GS2028,GS,3968,3968,100.00
20,51,706GS2046,GS,100,100,100.00
20,52,710GS2029,GS,549393,488700,88.95
20,53,717GS2030,GS,3110,3110,100.00
20,54,718GS2033,GS,5400,5400,100.00
20,55,718GS2037,GS,20000,20000,100.00
20,56,719HUDCO28,N7,50,50,100.00
20,57,71GS2034,GS,400,400,100.00
20,58,723GS2039,GS,2001,1201,60.02
20,59,725GS2063,GS,69275,67238,97.06
20,60,726GS2032,GS,19171,14171,73.92
20,61,726GS2033,GS,43,43,100.00
20,62,727GS2026,GS,30,30,100.00
20,63,729NHAI26,NC,351,351,100.00
20,64,732GS2030,GS,825,825,100.00
20,65,732IRFC25,NI,43,43,100.00
20,66,733GS2026,GS,800,700,87.50
20,67,734GS2064,GS,1012,1012,100.00
20,68,734IRFC28,N4,20,20,100.00
20,69,736GS2052,GS,13204,12804,96.97
20,70,736NTPC25D,NB,32,31,96.88
20,71,737GS2028,GS,14900,14900,100.00
20,72,737NTPC35C,NA,55,55,100.00
20,73,738GS2027,GS,186715,183574,98.32
20,74,739NHAI26,N8,22,22,100.00
20,75,739NHAI31A,ND,40,40,100.00
20,76,73GS2053,GS,12557,12135,96.64
20,77,741GS2036,GS,26000,26000,100.00
20,78,743REC35,NH,72,52,72.22
20,79,746GS2073,GS,1000,1000,100.00
20,80,74GJ27,SG,100,100,100.00
20,81,74GS2035,GS,1,1,100.00
20,82,74GS2062,GS,5221,5221,100.00
20,83,751HUDCO28,N5,1584,1079,68.12
20,84,753IRFC30,NJ,180,180,100.00
20,85,754GS2036,GS,400403,396903,99.13
20,86,760PFCL35,N3,25,25,100.00
20,87,764HUDCO31,N8,560,560,100.00
20,88,764IRFC31,NO,655,653,99.69
20,89,764NABAR31,N2,226,189,83.63
20,90,769HUDCO31,N9,389,214,55.01
20,91,769NHAI31,NE,624,400,64.10
20,92,76NHAI31,NA,220,220,100.00
20,93,774IREDA31,N7,771,511,66.28
20,94,78ABFL33,N4,51,26,50.98
20,95,79IGT28,NF,38,38,100.00
20,96,79NHIT35,N1,1321,821,62.15
20,97,79NHIT40,N2,320,320,100.00
20,98,79NHIT47,N3,314,314,100.00
20,99,810IRFC27,N2,2288,2089,91.30
20,100,812REC27,NI,165,165,100.00
20,101,81ABFL33,N5,55,55,100.00
20,102,824GS2027,GS,204,102,50.00
20,103,826GS2027,GS,750,750,100.00
20,104,828GS2027,GS,100,100,100.00
20,105,829LTF24,NL,113,113,100.00
20,106,82HUDCO27,N2,47,30,63.83
20,107,82IGT31,NJ,2225,2225,100.00
20,108,82IHFL24,NO,50,50,100.00
20,109,830CIFC26,N2,25,25,100.00
20,110,830NHAI27,N2,1599,1582,98.94
20,111,830PFCL27,N5,18,18,100.00
20,112,835IFL25,NV,50,50,100.00
20,113,83TCHF25,N6,200,200,100.00
20,114,840CIFCL28,N4,45,45,100.00
20,115,842IIFL26,NL,1077,1077,100.00
20,116,843IHFL29,NC,110,110,100.00
20,117,849NTPC25,N7,29889,29859,99.90
20,118,84GS2024,GS,2,1,50.00
20,119,850NHAI29,N5,18,6,33.33
20,120,855IREDA29,N2,60,60,100.00
20,121,85IFL26,NX,26,26,100.00
20,122,85IIFL24,NJ,50,50,100.00
20,123,85PCHFL24,N6,50,50,100.00
20,124,865IBHFL26,N8,50,50,100.00
20,125,865IFL28,NZ,60,60,100.00
20,126,865IIFL28,NS,232,232,100.00
20,127,865IRFC29,NA,144,144,100.00
20,128,865LTF26,NN,855,755,88.30
20,129,865TCAPS27,N8,50,50,100.00
20,130,866IHFL25,Y8,5,5,100.00
20,131,86GS2028,GS,300,300,100.00
20,132,871REC28,N9,348,348,100.00
20,133,875IIFL26,NM,40,40,100.00
20,134,875IIFL26A,NQ,290,190,65.52
20,135,875NHAI29,N6,1201,1023,85.18
20,136,875PCHFL26,N8,50,50,100.00
20,137,875SFL27,ZF,22,22,100.00
20,138,876HUDCO28,ND,120,120,100.00
20,139,879NHPC28,N5,80,80,100.00
20,140,87LTF27,NH,37,37,100.00
20,141,880IREDA29,N5,67,67,100.00
20,142,880IREDA34,N6,100,100,100.00
20,143,885MOFSL26,N0,110,110,100.00
20,144,888ERFL28,N5,185,185,100.00
20,145,888IHFL25C,NR,10,10,100.00
20,146,888IHFL25F,NC,20,10,50.00
20,147,888IRFC29,NE,2,2,100.00
20,148,889IBHL27,YT,122,100,81.97
20,149,889IHFL27,YC,107,77,71.96
20,150,88IHFL25,YZ,1,1,100.00
20,151,891NTPC33,N6,696,696,100.00
20,152,893NHB29,N6,100,100,100.00
20,153,897GS2030,GS,1999,1000,50.03
20,154,897MOFSL29,N4,150,150,100.00
20,155,898LTF29,N7,1100,1000,90.91
20,156,8ABFL26,N0,27,27,100.00
20,157,901HUDCO34,NE,355,355,100.00
20,158,901NHB34,N6,4,4,100.00
20,159,903SFL28,YI,2,2,100.00
20,160,910CAGL25,N7,10,10,100.00
20,161,91D020824,TB,100,100,100.00
20,162,91D040724,TB,1000,1000,100.00
20,163,91D050924,TB,100,100,100.00
20,164,91D080824,TB,200,200,100.00
20,165,91D120724,TB,400,400,100.00
20,166,91D150824,TB,300,300,100.00
20,167,91D230824,TB,100,100,100.00
20,168,91D250724,TB,200,200,100.00
20,169,91D270624,TB,700,700,100.00
20,170,91D290824,TB,100,100,100.00
20,171,91MOFSL27,N2,269,200,74.35
20,172,925ERFL28,N6,2,1,50.00
20,173,925IHFL25,N5,1,1,100.00
20,174,925IHFL25D,N6,10,10,100.00
20,175,92GS2030,GS,10383,10383,100.00
20,176,930SFL28,YP,45,45,100.00
20,177,931SFL26,Z5,5,5,100.00
20,178,935LTF29,N5,163,163,100.00
20,179,93MOFSL34,N6,402,402,100.00
20,180,948IHFL26,N9,23,23,100.00
20,181,94SFL28,YL,250,200,80.00
20,182,950NFL23A,AP,10,10,100.00
20,183,955ICCL25A,NH,20,20,100.00
20,184,955IHFL27A,ZJ,10,10,100.00
20,185,957ICCL28,NW,100,100,100.00
20,186,965IHFL25C,N0,2,2,100.00
20,187,965IHFL25E,BF,10,10,100.00
20,188,965IHFL25F,NZ,214,203,94.86
20,189,966ICCL25A,NI,44,44,100.00
20,190,96IIFL28,N5,3775,3775,100.00
20,191,96IIFL28A,NF,798,698,87.47
20,192,96SFL24A,NB,34,34,100.00
20,193,970CAGL28,ND,30,30,100.00
20,194,971IHFL28,AN,170,115,67.65
20,195,975NFL25,N0,15,15,100.00
20,196,97SFL28,YS,10,10,100.00
20,197,97SFL29,YZ,1706,1033,60.55
20,198,985ECL28,NK,969,863,89.06
20,199,985IIFL22,NC,248,248,100.00
