Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03072024,1890026004,0002527
Trade Date <03-JUL-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003IIFL29,NC,37,37,100.00
20,2,1003ISFL28,N4,45,45,100.00
20,3,1004DLSL24,NO,1,1,100.00
20,4,1015ECL29,NR,3900,3900,100.00
20,5,1015IHF28B,AZ,10,10,100.00
20,6,1018GS2026,GS,2882,2881,99.97
20,7,1025IHF34,Z8,168,168,100.00
20,8,1025NFL25,N5,1,1,100.00
20,9,1030ICCL28,NM,50,50,100.00
20,10,1040UCL25,N4,25,25,100.00
20,11,1049DLS25A,Y5,3,3,100.00
20,12,1049DLSL25,NX,33,33,100.00
20,13,1050IIFL29,ND,50,50,100.00
20,14,1050ISFL28,N5,318,310,97.48
20,15,1050NFL26,N7,86,86,100.00
20,16,1050UCL25,N7,821,821,100.00
20,17,1060ECL29,NS,200,200,100.00
20,18,1065NFL27,NC,262,262,100.00
20,19,1075IHF33A,N2,10,10,100.00
20,20,1075IHFL33,YK,5,5,100.00
20,21,1075IHFL34,Z6,31,31,100.00
20,22,10CAGL27,N5,30,20,66.67
20,23,10IIFL28,N4,535,535,100.00
20,24,10IIFL28A,NE,2288,2253,98.47
20,25,10IIFL29,N6,38,38,100.00
20,26,10NFL25,N9,1,1,100.00
20,27,1102NFL26,N8,10,10,100.00
20,28,182D011124,TB,700,700,100.00
20,29,182D111024,TB,100,100,100.00
20,30,182D120924,TB,1100,1100,100.00
20,31,182D121224,TB,100,100,100.00
20,32,182D141124,TB,6800,6800,100.00
20,33,182D181024,TB,100,100,100.00
20,34,182D191224,TB,100,100,100.00
20,35,182D220824,TB,600,600,100.00
20,36,182D261224,TB,200,200,100.00
20,37,20MICRONS,EQ,596866,251083,42.07
20,38,360ONE,EQ,351385,136575,38.87
20,39,364D020125,TB,100,100,100.00
20,40,364D050625,TB,200,200,100.00
20,41,364D120625,TB,1600,1600,100.00
20,42,364D141124,TB,900,900,100.00
20,43,364D150525,TB,500,500,100.00
20,44,364D180724,TB,8000,8000,100.00
20,45,364D190625,TB,200,100,50.00
20,46,364D200325,TB,100,100,100.00
20,47,364D211124,TB,400,400,100.00
20,48,364D240425,TB,600,600,100.00
20,49,3IINFOLTD,EQ,3779531,1619273,42.84
