Symbol,Series,Name,Band,Remarks
CMMIPL,ST,CMM Infraprojects Limited,2,"-"
ABCOTS,SM,A B Cotspin India Limited,5,"-"
ACCORD,SM,Accord Synergy Limited,5,"-"
AGARWALFT,ST,Agarwal Float Glass India Limited,5,"-"
AGNI,SM,Agni Green Power Limited,5,"-"
AGUL,SM,A G Universal Limited,5,"-"
AHIMSA,ST,Ahimsa Industries Limited,5,"-"
AILIMITED,ST,Abhishek Integrations Limited,5,"-"
AIMTRON,SM,Aimtron Electronics Limited,5,"-"
AISL,ST,ANI Integrated Services Limited,5,"-"
AKIKO,ST,Akiko Global Services Limited,5,"-"
ALPEXSOLAR,SM,Alpex Solar Limited,5,"-"
ALUWIND,SM,Aluwind Architectural Limited,5,"-"
AMBANIORG,SM,Ambani Organics Limited,5,"-"
AMBEY,ST,Ambey Laboratories Limited,5,"-"
AMEYA,SM,Ameya Precision Engineers Limited,5,"-"
APS,SM,Australian Premium Solar (India) Limited,5,"-"
ARHAM,ST,Arham Technologies Limited,5,"-"
ASCOM,ST,Ascom Leasing & Investments Limited,5,"-"
ASLIND,ST,ASL Industries Limited,5,"-"
ATMASTCO,SM,Atmastco Limited,5,"-"
AVSL,ST,AVSL Industries Limited,5,"-"
BAHETI,SM,Baheti Recycling Industries Limited,5,"-"
BLUEPEBBLE,SM,Blue Pebble Limited,5,"-"
BMETRICS,SM,Bombay Metrics Supply Chain Limited,5,"-"
BRIGHT,SZ,Bright Solar Limited,5,"-"
CADSYS,ST,Cadsys (India) Limited,5,"-"
CELLECOR,SM,Cellecor Gadgets Limited,5,"-"
CGRAPHICS,SM,Creative Graphics Solutions India Limited,5,"-"
CLOUD,SM,Varanium Cloud Limited,5,"-"
CMRSL,SM,Cyber Media Research & Services Limited,5,"-"
CONTI,SM,Continental Seeds and Chemicals Limited,5,"-"
CPS,ST,C P S Shapers Limited,5,"-"
DESTINY,ST,Destiny Logistics & Infra Limited,5,"-"
DHTL,SM,Docmode Health Technologies Limited,5,"-"
DPEL,ST,Divine Power Energy Limited,5,"-"
DRONE,SM,Drone Destination Limited,5,"-"
DRSCARGO,ST,DRS Cargo Movers Limited,5,"-"
DTL,ST,Diensten Tech Limited,5,"-"
DYNAMIC,SM,Dynamic Services & Security Limited,5,"-"
EFFWA,ST,EFFWA INFRA & RESEARCH LIMITED,5,"-"
ENSER,SM,Enser Communications Limited,5,"-"
ESCONET,SM,Esconet Technologies Limited,5,"-"
FELIX,SM,Felix Industries Limited,5,"-"
FROG,SM,Frog Cellsat Limited,5,"-"
GGBL,ST,GANESH GREEN BHARAT LIMITED,5,"-"
GICL,SM,Globe International Carriers Limited,5,"-"
GIRIRAJ,ST,Giriraj Civil Developers Limited,5,"-"
GOLDKART,ST,Goldkart Jewels Limited,5,"-"
GRAPHISAD,SM,Graphisads Limited,5,"-"
GRCL,SM,Gayatri Rubbers And Chemicals Limited,5,"-"
GRETEX,ST,Gretex Industries Limited,5,"-"
GSMFOILS,ST,GSM Foils Limited,5,"-"
HOMESFY,ST,Homesfy Realty Limited,5,"-"
INSPIRE,SM,Inspire Films Limited,5,"-"
ISHAN,SM,Ishan International Limited,5,"-"
JAINAM,SM,Jainam Ferro Alloys (I) Limited,5,"-"
JAKHARIA,ST,JAKHARIA FABRIC LIMITED,5,"-"
JSLL,ST,Jeena Sikho Lifecare Limited,5,"-"
K2INFRA,SM,K2 Infragen Limited,5,"-"
KCEIL,SM,Kay Cee Energy & Infra Limited,5,"-"
KCK,ST,Kck Industries Limited,5,"-"
KDL,SM,Kore Digital Limited,5,"-"
KKVAPOW,SM,KKV Agro Powers Limited,5,"-"
KNAGRI,SM,Kn Agri Resources Limited,5,"-"
KODYTECH,SM,Kody Technolab Limited,5,"-"
KONSTELEC,SM,Konstelec Engineers Limited,5,"-"
KONTOR,SM,Kontor Space Limited,5,"-"
KRISHCA,SM,Krishca Strapping Solutions Limited,5,"-"
KRISHIVAL,SM,Krishival Foods Limited,5,"-"
KRISHNADEF,SM,Krishna Defence And Allied Industries Limited,5,"-"
LLOYDS,SM,Lloyds Luxuries Limited,5,"-"
LRRPL,SM,Lead Reclaim And Rubber Products Limited,5,"-"
MAITREYA,SM,Maitreya Medicare Limited,5,"-"
MAKS,SM,Maks Energy Solutions India Limited,5,"-"
MANAV,SM,Manav Infra Projects Limited,5,"-"
MASTER,SM,Master Components Limited,5,"-"
MCON,SM,Mcon Rasayan India Limited,5,"-"
MEGAFLEX,SM,Mega Flex Plastics Limited,5,"-"
MILTON,SM,Milton Industries Limited,5,"-"
MINDPOOL,ST,Mindpool Technologies Limited,5,"-"
MONOPHARMA,SM,Mono Pharmacare Limited,5,"-"
MPTODAY,SM,Madhya Pradesh Today Media Limited,5,"-"
NEPHROCARE,ST,Nephro Care India Limited,5,"-"
NIRMAN,SM,Nirman Agri Genetics Limited,5,"-"
ONDOOR,SM,On Door Concepts Limited,5,"-"
ORIANA,SM,Oriana Power Limited,5,"-"
OWAIS,SM,Owais Metal And Mineral Processing Limited,5,"-"
PARIN,SM,Parin Furniture Limited,5,"-"
PASHUPATI,SM,Pashupati Cotspin Limited,5,"-"
PATTECH,ST,Pattech Fitwell Tube Components Limited,5,"-"
PCCL,ST,Petro Carbon and Chemicals Limited,5,"-"
PERFECT,SM,Perfect Infraengineers Limited,5,"-"
PRAMARA,SM,Pramara Promotions Limited,5,"-"
PRATHAM,SM,Pratham EPC Projects Limited,5,"-"
PRITIKA,SM,Pritika Engineering Components Limited,5,"-"
PROLIFE,SM,Prolife Industries Limited,5,"-"
PULZ,SM,Pulz Electronics Limited,5,"-"
QFIL,SM,Quality Foils (India) Limited,5,"-"
QUADPRO,SM,Quadpro Ites Limited,5,"-"
REFRACTORY,SM,Refractory Shapes Limited,5,"-"
REXPIPES,SM,Rex Pipes And Cables Industries Limited,5,"-"
RICHA,SM,Richa Info Systems Limited,5,"-"
RILINFRA,SM,Rachana Infrastructure Limited,5,"-"
SABAR,SM,Sabar Flex India Limited,5,"-"
SAHANA,SM,Sahana System Limited,5,"-"
SARTELE,SM,Sar Televenture Limited,5,"-"
SECL,SM,Salasar Exteriors And Contour Limited,5,"-"
SHAIVAL,ST,Shaival Reality Limited,5,"-"
SHEETAL,ST,Sheetal Universal Limited,5,"-"
SHIGAN,SM,Shigan Quantum Technologies Limited,5,"-"
SHIVAUM,ST,Shiv Aum Steels Limited,5,"-"
SHREEKARNI,SM,Shree Karni Fabcom Limited,5,"-"
SHUBHLAXMI,SM,Shubhlaxmi Jewel Art Limited,5,"-"
SIDDHIKA,SM,Siddhika Coatings Limited,5,"-"
SJLOGISTIC,SM,S J Logistics (India) Limited,5,"-"
SMVD,ST,SMVD Poly Pack Limited,5,"-"
SOLEX,SM,Solex Energy Limited,5,"-"
SONUINFRA,SM,Sonu Infratech Limited,5,"-"
SPECTRUM,SM,Spectrum Electrical Industries Limited,5,"-"
SPRL,ST,Sp Refractories Limited,5,"-"
SSFL,SM,Srivari Spices And Foods Limited,5,"-"
SWARAJ,SM,Swaraj Suiting Limited,5,"-"
TAC,SM,TAC Infosec Limited,5,"-"
TAPIFRUIT,SM,Tapi Fruit Processing Limited,5,"-"
TBI,SM,TBI Corn Limited,5,"-"
TECHLABS,SM,Trident Techlabs Limited,5,"-"
TGL,SM,Teerth Gopicon Limited,5,"-"
TIMESCAN,SM,Timescan Logistics (India) Limited,5,"-"
TIRUPATI,SM,Shree Tirupati Balajee FIBC Limited,5,"-"
