Confirmed list of securities to be auctioned in A 2024135 to be held on Jul 22 2024.

Sr No,Symbol,Series,Total Qty
1,20MICRONS,EQ,13
2,AARON,EQ,96
3,AARVEEDEN,EQ,32
4,ABFRL,EQ,193
5,ADANIENSOL,EQ,5
6,AGSTRA,EQ,2239
7,AIROLAM,EQ,101
8,AJANTPHARM,EQ,1
9,ALMONDZ,EQ,20
10,ALPA,EQ,20
11,AMBUJACEM,EQ,584
12,ANIKINDS,EQ,77
13,ANURAS,EQ,1
14,APOLLOTYRE,EQ,10200
15,ARTNIRMAN,EQ,1108
16,ARVIND,EQ,10
17,ARVINDFASN,EQ,2
18,ARVSMART,EQ,1
19,ASIANENE,EQ,50
20,AURIONPRO,EQ,50
21,AVANTIFEED,EQ,20
22,AWFIS,EQ,5
23,BAJAJHIND,EQ,13
24,BALMLAWRIE,EQ,1500
25,BALRAMCHIN,EQ,41
26,BALUFORGE,EQ,4
27,BANKINDIA,EQ,17
28,BBTCL,EQ,24
29,BHAGCHEM,EQ,10
30,BHARATGEAR,EQ,14
31,BHEL,EQ,29
32,BLKASHYAP,EQ,4
33,BPCL,EQ,60
34,BRITANNIA,EQ,1837
35,BSOFT,EQ,597
36,CAPLIPOINT,EQ,1
37,CARERATING,EQ,4
38,CCL,EQ,1
39,CEATLTD,EQ,24
40,CENTURYTEX,EQ,1
41,CHEMCON,EQ,1
42,CHEMFAB,EQ,1
43,COCHINSHIP,EQ,1
44,COUNCODOS,EQ,21
45,DABUR,EQ,139
46,DATAPATTNS,EQ,47
47,DBL,EQ,1
48,DEEPAKFERT,EQ,1
49,DEEPENR,EQ,1
50,DELTACORP,EQ,17
51,DEN,EQ,1000
52,DHANBANK,EQ,1
53,DLF,EQ,208
54,DLINKINDIA,EQ,1
55,DOLATALGO,EQ,25
56,EASEMYTRIP,EQ,35
57,EICHERMOT,EQ,6
58,EIDPARRY,EQ,1
59,EMBASSY,RR,755
60,EMSLIMITED,EQ,2
61,EQUAL50ADD,EQ,124
62,ESCORTS,EQ,1
63,EVERESTIND,EQ,9
64,FDC,EQ,250
65,FEDFINA,EQ,250
66,FMGOETZE,EQ,10
67,FOODSIN,EQ,2196
68,FORTIS,EQ,2
69,GAIL,EQ,9
70,GANDHAR,EQ,1
71,GANESHBE,EQ,1
72,GESHIP,EQ,35
73,GICHSGFIN,EQ,2
74,GICRE,EQ,1
75,GINNIFILA,EQ,22
76,GLS,EQ,20
77,GMMPFAUDLR,EQ,2
78,GMRINFRA,EQ,3543
79,GMRP&UI,EQ,30811
80,GOCLCORP,EQ,1600
81,GREAVESCOT,EQ,5
82,GREENPLY,EQ,1
83,GREENPOWER,EQ,100
84,GRSE,EQ,1
85,GSPL,EQ,304
86,GUFICBIO,EQ,1
87,GUJRAFFIA,EQ,1010
88,GVKPIL,EQ,18699
89,HATSUN,EQ,50
90,HDFCBSE500,EQ,2536
91,HDFCMID150,EQ,2340
92,HDFCNIFTY,EQ,1211
93,HFCL,EQ,10
94,HGINFRA,EQ,1
95,HIKAL,EQ,3
96,HINDOILEXP,EQ,10
97,HMVL,EQ,21
98,HSCL,EQ,2
99,IBULPP,E1,336
100,ICEMAKE,EQ,3
101,ICICIBANK,EQ,38
102,IDBI,EQ,15593
103,IFCI,EQ,8
104,IKIO,EQ,1
105,INDHOTEL,EQ,45
106,INDIACEM,EQ,390
107,INDIAGLYCO,EQ,1
108,INDORAMA,EQ,9
109,INDUSTOWER,EQ,3
110,INFRABEES,EQ,40
111,INFY,EQ,11
112,INGERRAND,EQ,1
113,INNOVACAP,EQ,11
114,INOXINDIA,EQ,6
115,INOXWIND,EQ,454
116,INTENTECH,EQ,2
117,INVENTURE,EQ,3608
118,IPL,EQ,200
119,IRCON,EQ,41
120,IREDA,EQ,168
121,IRFC,EQ,889
122,ITC,EQ,10
123,ITDC,EQ,7
124,J&KBANK,EQ,11
125,JAICORPLTD,EQ,10
126,JGCHEM,EQ,2
127,JINDALSTEL,EQ,118
128,JINDWORLD,EQ,1
129,JIOFIN,EQ,275
130,JKPAPER,EQ,2
131,JKTYRE,EQ,4
132,JSWSTEEL,EQ,519
133,JTEKTINDIA,EQ,200
134,JUBLPHARMA,EQ,1
135,JUSTDIAL,EQ,3977
136,JWL,EQ,90
137,KAJARIACER,EQ,23
138,KALYANKJIL,EQ,466
139,KARMAENG,EQ,5
140,KELLTONTEC,EQ,22
141,KERNEX,EQ,73
142,KFINTECH,EQ,1
143,KHAICHEM,EQ,235
144,KIRLOSENG,EQ,2
145,KIRLOSIND,EQ,150
146,KOTAKBANK,EQ,334
147,KPIGREEN,EQ,190
148,KPRMILL,EQ,1
149,KREBSBIO,EQ,243
150,KRYSTAL,EQ,3
151,KTKBANK,EQ,4
152,LAL,EQ,6
153,LALPATHLAB,EQ,304
154,LAXMIMACH,EQ,1
155,LICHSGFIN,EQ,25
156,LICI,EQ,183
157,LIQUIDBEES,EQ,49
158,LIQUIDBETF,EQ,5
159,LOWVOL,EQ,15
160,LT,EQ,2
161,LTF,EQ,369
162,LTGILTBEES,EQ,1247
163,M&M,EQ,86
164,MANOMAY,EQ,133
165,MARATHON,EQ,135
166,MARICO,EQ,3
167,MARUTI,EQ,7
168,MAXHEALTH,EQ,559
169,MAZDOCK,EQ,13
170,MEDPLUS,EQ,1
171,METROPOLIS,EQ,15
172,MIDHANI,EQ,3
173,MINDSPACE,RR,142
174,MINDTECK,EQ,8
175,MMFL,EQ,955
176,MODISONLTD,EQ,100
177,MON100,EQ,3
178,MOTHERSON,EQ,4400
179,MOTILALOFS,EQ,3
180,MPHASIS,EQ,1377
181,MTNL,EQ,67580
182,MUKTAARTS,EQ,18
183,NAVKARCORP,EQ,21
184,NAZARA,EQ,4000
185,NDRAUTO,EQ,7
186,NESCO,EQ,50
187,NFL,EQ,10
188,NIFTY1,EQ,1
189,NLCINDIA,EQ,206
190,NMDC,EQ,3214
191,NUVAMA,EQ,11
192,OFSS,EQ,100
193,OIL,EQ,5
194,ONEPOINT,EQ,180
195,ONMOBILE,EQ,1000
196,ORCHPHARMA,EQ,100
197,ORIENTCEM,EQ,501
198,PANAMAPET,EQ,6
199,PARADEEP,EQ,13
200,PAYTM,EQ,504
201,PFS,EQ,23
202,PILITA,EQ,444
203,POCL,EQ,4
204,POLICYBZR,EQ,1
205,PONNIERODE,EQ,2
206,QGOLDHALF,EQ,159
207,QUICKHEAL,EQ,4
208,RAILTEL,EQ,13
209,RAJESHEXPO,EQ,10
210,RAJSREESUG,EQ,2
211,RALLIS,EQ,10
212,REDTAPE,EQ,25
213,RELIABLE,EQ,2
214,RELIANCE,EQ,250
215,RELINFRA,EQ,39
216,RETAIL,EQ,436
217,RHIM,EQ,1
218,RHL,EQ,2
219,ROTO,EQ,23
220,RRKABEL,EQ,1
221,RTNPOWER,EQ,5002
222,RUBYMILLS,EQ,100
223,RUPA,EQ,1
224,RUSHIL,EQ,10
225,RVNL,EQ,134
226,SADHNANIQ,EQ,200
227,SAGARDEEP,EQ,300
228,SAIL,EQ,300
229,SANDUMA,EQ,25
230,SARDAEN,EQ,5
231,SELAN,EQ,1
232,SENSEXADD,EQ,1
233,SHAH,EQ,156
234,SHANTIGEAR,EQ,100
235,SHYAMMETL,EQ,6
236,SILVER,EQ,500
237,SKMEGGPROD,EQ,10
238,SOLARINDS,EQ,1
239,SONATSOFTW,EQ,17
