Sr. No,Symbol,Series,Security Name,From,To
1,SEL,SM,SUNGARNER ENERGIES LIMITED,10,5
2,SILLYMONKS,EQ,SILLY MONKS ENTERTAINMENT LIMITED,10,5
3,ASAHISONG,EQ,ASAHI SONGWON COLORS LIMITED,20,10
4,IVC,BE,IL&FS INVESTMENT MANAGERS LIMITED,20,5
5,SIL,BE,STANDARD INDUSTRIES LIMITED,20,5
6,SPORTKING,EQ,SPORTKING INDIA LIMITED,20,10
7,UNIINFO,EQ,UNIINFO TELECOM SERVICES LIMITED,20,10
8,CCHHL,BE,COUNTRY CLUB HOSPITALITY & HOLIDAYS LIMITED,5,2
9,CREATIVEYE,BE,CREATIVE EYE LIMITED,5,2
10,ELECTHERM,BE,ELECTROTHERM (INDIA) LIMITED,5,2
11,GLOBALVECT,BE,GLOBAL VECTRA HELICORP LIMITED,5,2
12,KEEPLEARN,BE,DSJ KEEP LEARNING LIMITED,5,2
13,PALREDTEC,BE,PALRED TECHNOLOGIES LIMITED,5,2
14,PARASPETRO,BE,PARAS PETROFILS LIMITED,5,2
15,PIGL,BE,POWER & INSTRUMENTATION (GUJARAT) LIMITED,5,2
16,PRAXIS,BE,PRAXIS HOME RETAIL LIMITED,5,2
17,S&SPOWER,BE,S&S POWER SWITCHGEARS LIMITED,5,2
18,TECHIN,BE,TECHINDIA NIRMAN LIMITED,5,2
19,TIJARIA,BE,TIJARIA POLYPIPES LIMITED,5,2
