Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,07082024,1582027969,0002528
Trade Date <07-AUG-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL27,N3,50,50,100.00
20,2,1003ICCL28,NX,50,50,100.00
20,3,1003IIFL29,NC,45,45,100.00
20,4,1003ISFL28,N4,209,208,99.52
20,5,1015ECL29,NR,199,199,100.00
20,6,1018GS2026,GS,233,231,99.14
20,7,1025SCL34,Z8,33,33,100.00
20,8,1025SCL34A,ZT,10,10,100.00
20,9,1030ICCL28,NM,120,120,100.00
20,10,1040UCL25,N4,45,45,100.00
20,11,1049DLS25A,Y5,219,79,36.07
20,12,1049DLSL25,NX,81,81,100.00
20,13,1050ISFL28,N5,16,16,100.00
20,14,1050UCL25,N7,55,55,100.00
20,15,105IIFL29,N7,25,25,100.00
20,16,1060ECL29,NS,60,60,100.00
20,17,1065NFL27,NC,760,760,100.00
20,18,1075UCL25,N9,40,40,100.00
20,19,10IIFL28,N4,902,792,87.80
20,20,10IIFL28A,NE,171,171,100.00
20,21,1102NFL26,N8,50,50,100.00
20,22,11DLSL25,NV,90,90,100.00
20,23,182D031024,TB,1000,1000,100.00
20,24,182D050924,TB,100,100,100.00
20,25,182D071124,TB,100,100,100.00
20,26,182D141124,TB,200,200,100.00
20,27,182D181024,TB,200,200,100.00
20,28,182D190924,TB,100,100,100.00
20,29,182D281124,TB,200,200,100.00
20,30,20MICRONS,EQ,971048,361072,37.18
20,31,360ONE,EQ,607371,444655,73.21
20,32,364D030425,TB,1000,1000,100.00
20,33,364D051224,TB,17200,17200,100.00
20,34,364D090125,TB,3000,3000,100.00
20,35,364D100725,TB,300,300,100.00
20,36,364D110425,TB,100,100,100.00
20,37,364D141124,TB,100,100,100.00
20,38,364D150525,TB,2000,2000,100.00
20,39,364D270924,TB,25000,25000,100.00
20,40,364D310725,TB,1000,1000,100.00
20,41,3IINFOLTD,EQ,941798,427987,45.44
20,42,3MINDIA,EQ,5447,2669,49.00
20,43,3PLAND,EQ,156475,48668,31.10
20,44,515GS2025,GS,8,4,50.00
20,45,522GS2025,GS,169,169,100.00
20,46,574GS2026,GS,5935,5915,99.66
20,47,5PAISA,EQ,51212,23224,45.35
20,48,610GS2031,GS,1,1,100.00
20,49,618GS2024,GS,2,2,100.00
20,50,63MOONS,EQ,121644,60718,49.91
20,51,654GS2032,GS,1004,1003,99.90
20,52,667GS2050,GS,13001,13001,100.00
20,53,68GS2060,GS,4733,4733,100.00
20,54,695GS2061,GS,4321,4321,100.00
20,55,699GS2026,GS,10100,9000,89.11
20,56,702GS2027,GS,302,302,100.00
20,57,702GS2031,GS,200,200,100.00
20,58,703GS2054,GS,1000,1000,100.00
20,59,704GS2029,GS,401,401,100.00
20,60,704IRFC28,N6,5,5,100.00
20,61,706GS2028,GS,4077,4061,99.61
20,62,710GS2029,GS,3167,3165,99.94
20,63,714NHAI26,N7,800,778,97.25
20,64,717GS2030,GS,20485,20000,97.63
20,65,718GS2033,GS,10100,10100,100.00
20,66,718GS2037,GS,9580,9080,94.78
20,67,723GS2039,GS,200,200,100.00
20,68,725GS2063,GS,38526,38526,100.00
20,69,726GS2032,GS,1241,1240,99.92
20,70,726GS2033,GS,113082,87982,77.80
20,71,729NHAI26,NC,72,72,100.00
20,72,732GS2030,GS,1500,1500,100.00
20,73,733GS2026,GS,795,795,100.00
20,74,734GS2064,GS,6906,6623,95.90
20,75,734IRFC28,N4,1000,1000,100.00
20,76,736GS2052,GS,11200,11100,99.11
20,77,736PFCL28,N2,10,10,100.00
20,78,737GS2028,GS,2012,1462,72.66
20,79,737NTPC35C,NA,55,55,100.00
20,80,738GS2027,GS,594495,545700,91.79
20,81,739NHAI26,N8,17,17,100.00
20,82,73GS2053,GS,3875,3700,95.48
20,83,741GS2036,GS,15508,15508,100.00
20,84,743REC35,NH,828,721,87.08
20,85,746GS2073,GS,270,270,100.00
20,86,74GS2062,GS,6165,6165,100.00
20,87,750IRFC35,NK,180,180,100.00
20,88,751HUDCO28,N5,1000,1000,100.00
20,89,753IRFC30,NJ,2896,2896,100.00
20,90,753NTPC30E,NC,100,100,100.00
20,91,754GS2036,GS,289098,267738,92.61
20,92,759GS2026,GS,1,1,100.00
20,93,760PFCL35,N3,2,2,100.00
20,94,762NTPC35F,ND,128,128,100.00
20,95,762UP34,SG,9600,9600,100.00
20,96,764HUDCO31,N8,1,1,100.00
20,97,764IRFC31,NO,2050,1500,73.17
20,98,764NABAR31,N2,320,200,62.50
20,99,765TN30,SG,100,100,100.00
20,100,769NHAI31,NE,1085,1085,100.00
20,101,76NHAI31,NA,1993,1298,65.13
20,102,772GS2055,GS,65,65,100.00
20,103,774IREDA31,N7,10,10,100.00
20,104,78ABFL33,N4,110,110,100.00
20,105,795GS2032,GS,1,1,100.00
20,106,79NHIT35,N1,2280,2215,97.15
20,107,79NHIT40,N2,500,500,100.00
20,108,79NHIT47,N3,3329,3329,100.00
20,109,801TCH25,N4,20,20,100.00
20,110,812REC27,NI,100,100,100.00
20,111,81TCHF28,N8,227,227,100.00
20,112,824GS2027,GS,700,400,57.14
20,113,825IIFL25,N7,200,200,100.00
20,114,829LTF24,NL,41,41,100.00
20,115,82HUDCO27,N2,3662,3662,100.00
20,116,82IGT31,NJ,33,33,100.00
20,117,82SCL24,NO,1038,1038,100.00
20,118,830NHAI27,N2,7542,6000,79.55
20,119,830PFCL27,N5,485,385,79.38
20,120,833SCFL24,YX,20,20,100.00
20,121,83GS2042,GS,2000,2000,100.00
20,122,83TCHF25,N6,500,500,100.00
20,123,840CIFCL28,N4,30,30,100.00
20,124,842IIFL26,NL,385,285,74.03
20,125,843IHFL29,NC,30,30,100.00
20,126,847SCL25,Z2,30,15,50.00
20,127,849NTPC25,N7,164848,156748,95.09
20,128,84TCHF28,NA,615,615,100.00
20,129,85IIFL24,NJ,20,20,100.00
20,130,860CIFCL28,NG,5,5,100.00
20,131,863REC29,NC,484,484,100.00
20,132,865IFL28,NZ,677,677,100.00
20,133,865IIFL28,NS,282,272,96.45
20,134,865IRFC29,NA,3121,3121,100.00
20,135,865LTF26,NN,276,276,100.00
20,136,865TCAPS27,N8,1060,740,69.81
20,137,86LTF24,NJ,2,2,100.00
20,138,871REC28,N9,107,105,98.13
20,139,873NTPC28,N5,5,5,100.00
20,140,875IIFL26,NM,155,155,100.00
20,141,875IIFL26A,NQ,120,120,100.00
20,142,875NHAI29,N6,2392,1931,80.73
20,143,876HUDCO28,ND,1213,1213,100.00
20,144,885SCL26,N9,1,1,100.00
20,145,888IRFC29,NE,380,330,86.84
20,146,888REC29,NF,350,350,100.00
20,147,888SCL25E,N4,40,30,75.00
20,148,889SCL26,NS,45,45,100.00
20,149,88SCFL25,YZ,2,2,100.00
20,150,890ICCL23A,NZ,10,10,100.00
20,151,891IIFCL34,N4,312,310,99.36
20,152,892PFCL33,N8,210,210,100.00
20,153,893NHB29,N6,287,287,100.00
20,154,8ABFL26,N0,22,22,100.00
20,155,901HUDCO34,NE,20,20,100.00
20,156,901NHB34,N6,72,72,100.00
20,157,903SFL28,YI,2150,2000,93.02
20,158,905LTF27,NF,6,6,100.00
20,159,905SC24B,Z9,100,100,100.00
20,160,910TCAP28,NA,210,160,76.19
20,161,915SCL26,NE,34,34,100.00
20,162,91D031024,TB,300,300,100.00
20,163,91D050924,TB,5300,5300,100.00
20,164,91D101024,TB,200,200,100.00
20,165,91D120924,TB,5600,5600,100.00
20,166,91D150824,TB,100,100,100.00
20,167,91D190924,TB,1900,1900,100.00
20,168,91D260924,TB,400,400,100.00
20,169,91D311024,TB,100,100,100.00
20,170,91MOFSL27,N2,65,65,100.00
20,171,920IIFLS26,N8,60,60,100.00
20,172,925CAGL26,N9,300,300,100.00
20,173,925ERFL28,N6,20,20,100.00
20,174,925SCL25B,Y3,1,1,100.00
20,175,92GS2030,GS,1610,1610,100.00
