Sector: Agriculture,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Tata Consumer Products Ltd.,TATACONSUM,Tea/Coffee,116645.12,2,2024-03,2953.85,117144.48,2024-06,15816.71,1256.57,2024-06,103.77,3.8,6.03,2,2024-03,0.18,8.06,10.02,"TATACONSUM,"
Bombay Burmah Trading Corporation Ltd.,BBTC,Agriculture,15637.28,2,2024-03,2133.99,16896.74,2024-06,17355.79,1980.75,2024-06,14.71,2.98,3.04,2,2024-03,0.46,39.95,33.32,"BBTC,"
E.I.D. - Parry (India) Ltd.,EIDPARRY,Sugar,13792.23,2,2024-03,1264.48,12139.97,2024-03,29413.11,1645.5,2024-03,15.33,0.4,1.96,2,2024-03,0.18,24.67,31.68,"EIDPARRY,"
Balrampur Chini Mills Ltd.,BALRAMCHIN,Sugar,10308.38,2,2024-03,2008.25,12313.67,2024-06,5625.72,503.27,2024-06,19.41,,3,2,2024-03,0.59,17.04,16.22,"BALRAMCHIN,"
Shree Renuka Sugars Ltd.,RENUKA,Sugar,10074.14,2,2024-03,5772.5,15793.04,2024-06,12068.9,-654.5,2024-06,0,0,-3.64,2,2023-03,-2.81,0,11.74,"RENUKA,"
Triveni Engineering & Industries Ltd.,TRIVENI,Sugar,9040.49,2,2024-03,1410.96,10373.6,2024-06,6253.17,358.32,2024-06,25.2,0.94,3.08,2,2023-03,0.34,78.33,57.35,"TRIVENI,"
CCL Products (India) Ltd.,CCL,Tea/Coffee,8816.85,2,2024-03,1620.84,10267.88,2024-06,2772.06,260.84,2024-06,33.8,2.67,5.05,2,2023-03,0.62,19.8,15.79,"CCL,"
Piccadily Agro Industries Ltd.,530305,Sugar,7868.37,2,2024-03,171.8,8021.63,2024-06,807.56,113.22,2024-06,70.33,1.88,22.25,2,2023-03,0.66,10.65,12.8,"530305,"
Gujarat Ambuja Exports Ltd.,GAEL,Solvent  Extraction,5914.56,2,2024-03,194.93,6090.42,2024-06,4854.15,351.68,2024-06,16.82,0.62,2.08,2,2024-03,0.07,13.3,16.59,"GAEL,"
Kaveri Seed Company Ltd.,KSCL,Agriculture,5730.57,2,2024-03,0.13,5706.49,2024-06,1215.53,315.82,2024-06,18.21,3.53,3.76,2,2023-03,0,20.61,21.61,"KSCL,"
Bajaj Hindusthan Sugar Ltd.,BAJAJHIND,Sugar,5161.81,2,2024-03,3839.8,8949.4,2024-06,6129.87,-68.4,2024-06,0,0,1.17,2,2024-03,0.86,-1.95,0.78,"BAJAJHIND,"
Manorama Industries Ltd.,MANORAMA,Solvent  Extraction,4634.72,1,2024-03,346.38,4893.56,2024-06,478.93,42.1,2024-06,110.1,6.86,13.22,1,2024-03,1.03,12.66,13.39,"MANORAMA,"
Bannari Amman Sugars Ltd.,BANARISUG,Sugar,3867.75,1,2024-03,485.58,4346.36,2024-06,2193.42,145.14,2024-06,26.65,2.55,2.28,1,2023-03,0.37,9.64,11.94,"BANARISUG,"
Dalmia Bharat Sugar And Industries Ltd.,DALMIASUG,Sugar,3218.96,2,2024-03,1430.17,4118.94,2024-03,2899.37,272.47,2024-03,11.81,1.28,1.08,2,2024-03,0.49,9.67,11,"DALMIASUG,"
Venky'S (India) Ltd.,VENKEYS,Agriculture,3190.5,1,2024-03,167.51,3259.09,2024-06,3569.73,134.84,2024-06,23.66,,2.21,1,2023-03,0.14,5.53,7.78,"VENKEYS,"
Andrew Yule & Company Ltd.,526173,Tea/Coffee,2498.05,2,2024-03,113.89,2573,2024-03,309.85,-63.62,2024-03,0,,7.36,2,2023-03,0.26,0.31,4.11,"526173,"
Apcotex Industries Ltd.,APCOTEXIND,Rubber  Products,2175.93,1,2024-03,182.77,2334.46,2024-06,1183.46,56.55,2024-06,38.48,13.07,4.06,1,2024-03,0.35,10.8,13.53,"APCOTEXIND,"
GRP Ltd.,GRPLTD,Rubber  Products,2110.32,2,2024-03,112.56,2222.61,2024-06,488.24,25.04,2024-06,84.28,2.32,12.05,2,2024-03,0.68,14.41,14.55,"GRPLTD,"
Pix Transmissions Ltd.,PIXTRANS,Rubber  Products,2075.32,2,2024-03,44.03,2063.53,2024-06,510.2,94.6,2024-06,21.94,0.92,3.99,2,2024-03,0.09,18.23,22.63,"PIXTRANS,"
