Sector: Alcohol,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
United Spirits Ltd.,UNITDSPR,Breweries & Distilleries,102000.05,2,2024-03,25,100756.05,2024-06,26447.5,1417,2024-06,72.06,4.69,13.41,2,2024-03,0,21.46,29.4,"UNITDSPR,"
United Breweries Ltd.,UBL,Breweries & Distilleries,50305.72,2,2024-03,77.41,50168.93,2024-06,18947.8,448.32,2024-06,112.45,,11.56,2,2024-03,0.02,10.09,13.58,"UBL,"
Radico Khaitan Ltd.,RADICO,Breweries & Distilleries,22187.92,2,2024-03,737.09,22824.39,2024-06,16121.27,268.82,2024-06,81.79,13.21,8.84,2,2024-03,0.3,11.31,13.42,"RADICO,"
Allied Blenders And Distillers Ltd.,ABDL,Breweries & Distilleries,8468.22,2,2024-03,824.12,9217.08,2024-03,7668.57,1.83,2024-03,0,,6.02,2,2023-03,1.91,0.4,11.65,"ABDL,"
Tilaknagar Industries Ltd.,TI,Breweries & Distilleries,4717.94,2,2024-03,119.25,4795.39,2024-06,2983.14,152.35,2024-03,34.19,1.72,7.21,2,2023-03,0.54,51.28,26.14,"TI,"
Sula Vineyards Ltd.,SULA,Breweries & Distilleries,4060.89,2,2024-03,299.63,4255.6,2024-06,620.51,94.25,2024-06,43.09,0.64,7.21,2,2024-03,0.55,17.28,19.31,"SULA,"
Globus Spirits Ltd.,GLOBUSSPR,Breweries & Distilleries,2560.07,2,2024-03,317.82,2799.91,2024-03,3147.22,96.04,2024-03,26.54,0.35,2.6,2,2024-03,0.33,10.36,9.56,"GLOBUSSPR,"
Som Distilleries Breweries & Wineries Ltd.,SDBL,Breweries & Distilleries,2144.87,2,2024-03,166.47,2298.01,2024-06,2718.37,93.38,2024-06,22.97,1.21,3.56,2,2023-03,0.65,18.14,15.65,"SDBL,"
GM Breweries Ltd.,GMBREW,Breweries & Distilleries,1769.04,1,2024-03,0,1755.84,2024-06,2436.5,156.55,2024-06,11.3,0.87,2.08,1,2024-03,0,20.15,24.15,"GMBREW,"
Associated Alcohols & Breweries Ltd.,ASALCBR,Breweries & Distilleries,1432.6,2,2024-03,103.66,1495.4,2015-06,292.87,10.71,2015-06,133.74,12.34,,1,2024-03,0.25,13.06,14.61,"ASALCBR,"
Jagatjit Industries Ltd.,507155,Breweries & Distilleries,846.06,2,2024-03,270.97,1085.12,2024-06,687.7,0.82,2024-06,0,0,11.76,2,2023-03,3.6,11.91,13.39,"507155,"
Tahmar Enterprises Ltd.,516032,Breweries & Distilleries,249.39,1,2024-03,15.52,264.7,2024-06,9.58,0.01,2024-06,0,0,3.77,1,2023-03,-143.76,0,0.36,"516032,"
Aurangabad Distillery Ltd.,AURDIS,Breweries & Distilleries,236.16,1,2024-03,62.45,298.62,2024-03,130.7,20.93,2024-03,11.29,0.28,3.55,1,2023-03,0.63,28.94,29.58,"AURDIS,"
Winsome Breweries Ltd.,526471,Breweries & Distilleries,148.91,1,2024-03,9.11,151.99,2024-03,1.38,0.57,2024-03,261.71,,4.37,1,2023-03,0.27,-2.39,-2.34,"526471,"
Ravi Kumar Distilleries Ltd.,RKDL,Breweries & Distilleries,79.2,1,2024-03,39.69,118.89,2024-03,61.77,-1.95,2024-03,0,0,1.9,1,2023-03,0.89,-5.1,-2.75,"RKDL,"
Silver Oak (India) Ltd.,531635,Breweries & Distilleries,19.39,2,2024-03,8.2,24.03,2024-03,0.01,-0.88,2024-03,0,0,2.6,2,2023-03,0.99,-15.12,-3.72,"531635,"
