Sector: Automobile & Ancillaries,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Maruti Suzuki India Ltd.,MARUTI,Automobiles - Passenger Cars,382491.17,2,2024-03,33.1,379696.87,2024-06,144836.2,14433.6,2024-06,26.05,2.17,4.28,2,2024-03,0,16.84,21.82,"MARUTI,"
Tata Motors Ltd.,TATAMOTORS,Automobiles-Trucks/Lcv,350269.4,2,2024-03,98500.09,402962.8,2024-06,443739.69,33580.25,2024-06,10.37,0.1,3.88,2,2024-03,1.16,48.9,21.41,"TATAMOTORS,"
Mahindra & Mahindra Ltd.,M&M,Automobiles - Passenger Cars,338003.57,2,2024-03,105224.96,431215.78,2024-06,142323.29,10947.15,2024-06,30.61,1.78,4.89,2,2024-03,1.6,20.11,14.88,"M&M,"
Bajaj Auto Ltd.,BAJAJ-AUTO,Automobile Two & Three Wheelers,270015.68,2,2024-03,1911.74,270972.1,2024-06,46490.59,7732.8,2024-06,33.73,3.08,8.77,2,2024-03,0.07,26.51,33.47,"BAJAJ-AUTO,"
Eicher Motors Ltd.,EICHERMOT,Automobile Two & Three Wheelers,131638.21,2,2024-03,275.58,131767.48,2024-06,16942.46,3662.29,2024-06,31.46,2.48,6.97,2,2024-03,0.02,24.32,31.35,"EICHERMOT,"
TVS Motor Company Ltd.,TVSMOTOR,Automobile Two & Three Wheelers,125147.45,2,2024-03,25286.62,148008.34,2024-06,40496.09,1872.7,2024-06,73.06,3.83,17.18,2,2024-03,3.73,28.95,15.64,"TVSMOTOR,"
Samvardhana Motherson International Ltd.,MOTHERSON,Auto Ancillary,122483.82,2,2024-03,17351.3,132849.42,2024-06,105097.53,3146.11,2024-03,45.09,3.48,4.68,2,2024-03,0.66,12.42,14.47,"MOTHERSON,"
Hero MotoCorp Ltd.,HEROMOTOCO,Automobile Two & Three Wheelers,104798.58,2,2024-03,363.43,104465.54,2024-03,37788.62,3862.41,2024-03,27.98,11.01,5.94,2,2024-03,0.02,21.84,29.5,"HEROMOTOCO,"
Cummins India Ltd.,CUMMINSIND,Diesel Engines,102649.93,2,2024-03,100,101237.15,2024-06,9097.51,1582.53,2024-06,56.11,3.06,14.65,2,2024-03,0.02,27.82,34.82,"CUMMINSIND,"
Bosch Ltd.,BOSCHLTD,Auto Ancillary,93270.83,2,2024-03,0,90677.93,2024-06,16885.5,2546.7,2024-06,36.6,60.18,7.45,2,2024-03,0,21.6,28.02,"BOSCHLTD,"
