Sector: Banking,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,TTM Ending (Results),Interest Earned (Rs Cr.),Profit After Tax(Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Return On Equity(%),Net NPA Statement,Net NPA Year Ending,Net NPA (%),Net Interest Margin (%),Yield On Advances (%),Current A/c Savings A/c (%),Symbol with Comma for External Upload
HDFC Bank Ltd.,HDFCBANK,Bank - Private,1221541.23,2,2024-06,314027.08,70231.3,2024-06,17.92,0.76,2.58,2,2024-03,17.64,1,2024-03,0.33,3.19,10.4,38.19,"HDFCBANK,"
ICICI Bank Ltd.,ICICIBANK,Bank - Private,822736.78,2,2024-06,166991.68,46649.27,2024-06,18.16,0.3,3.07,2,2024-03,19.47,1,2024-03,0.45,4.16,12.06,42.18,"ICICIBANK,"
State Bank Of India,SBIN,Bank - Public,711559.35,2,2024-06,455970.95,69083.11,2024-06,10.48,0.11,1.73,2,2024-03,18.97,1,2024-03,0.57,2.81,11.21,39.9,"SBIN,"
Axis Bank Ltd.,AXISBANK,Bank - Private,358625.42,2,2024-06,117671.83,26774.62,2024-06,13.42,0.34,2.19,2,2024-03,18.51,1,2024-03,0.34,3.54,11.33,42.99,"AXISBANK,"
Kotak Mahindra Bank Ltd.,KOTAKBANK,Bank - Private,348408.09,2,2024-06,59204.49,21266.89,2024-06,16.2,0.79,2.54,2,2024-03,14.88,1,2024-03,0.34,4.45,12.18,45.51,"KOTAKBANK,"
Punjab National Bank,PNB,Bank - Public,125800.85,2,2024-06,112536.27,10834.26,2024-06,10.71,0.44,1.16,2,2024-03,8.48,1,2024-03,0.73,2.7,11.44,40.34,"PNB,"
Bank Of Baroda,BANKBARODA,Bank - Public,125017.68,2,2024-06,121519.69,18687.87,2024-06,6.56,0.09,0.97,2,2024-03,16.38,1,2024-03,0.68,2.92,10.57,38.76,"BANKBARODA,"
Indian Overseas Bank,IOB,Bank - Public,114000.45,2,2024-06,25177.24,2810.39,2024-06,40.56,0.64,4.68,2,2024-03,11.35,1,2024-03,0.57,2.97,11.27,43.9,"IOB,"
IndusInd Bank Ltd.,INDUSINDBK,Bank - Private,105152.78,2,2024-06,47565.33,9023.27,2024-06,11.65,0.53,1.62,2,2024-03,15.28,1,2024-03,0.57,4.24,13.33,37.91,"INDUSINDBK,"
IDBI Bank Ltd.,IDBI,Bank - Private,100696.25,2,2024-06,26251.87,6268.29,2024-06,16,0.84,2.17,2,2024-03,14.19,1,2024-03,0.34,4.31,14.01,50.43,"IDBI,"
Canara Bank,CANBK,Bank - Public,96829.2,2,2024-06,114240.94,15186.08,2024-06,6.2,0.07,1.09,2,2024-03,19.25,1,2024-03,1.27,2.54,11.67,29.9,"CANBK,"
