Sector: Capital Goods,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Siemens Ltd.,SIEMENS,Electric Equipment,248125.01,2,2024-03,,240472.51,2024-06,21586.3,2458.3,2024-06,100.99,6,17.12,2,2023-09,0,15.89,21.88,"SIEMENS,"
Bharat Electronics Ltd.,BEL,Engineering - Industrial Equipments,216442.55,2,2024-03,0,205385.96,2024-06,20978.87,4195.5,2024-06,51.08,3.17,12.65,2,2024-03,0,26.12,34.97,"BEL,"
ABB India Ltd.,ABB,Electric Equipment,159897.58,1,2024-06,,154888.29,2024-06,11437.9,1609.43,2024-06,99.35,2.65,25.21,1,2023-12,0,22.94,30.79,"ABB,"
Havells India Ltd.,HAVELLS,Electric Equipment,114450.35,2,2024-03,0,111412.18,2024-06,19562.42,1391.2,2024-06,82.24,8.19,14.51,2,2024-03,0,18.07,25.46,"HAVELLS,"
Suzlon Energy Ltd.,SUZLON,Electric Equipment,110223.92,2,2024-03,109.95,109907.03,2024-06,7199.7,861.74,2024-06,127.91,7.7,26,2,2023-03,1.73,0,112.88,"SUZLON,"
CG Power and Industrial Solutions Ltd.,CGPOWER,Electric Equipment,105943.2,2,2024-03,0,105088.79,2024-06,8399.5,915.31,2024-06,72.34,1.65,32.64,2,2024-03,0,36.44,48.88,"CGPOWER,"
Bharat Heavy Electricals Ltd.,BHEL,Engineering - Industrial Equipments,101014.66,2,2024-03,8808,103665.19,2024-06,24374.27,-170.75,2024-06,0,,4.17,2,2024-03,0.36,1.16,3.4,"BHEL,"
Thermax Ltd.,THERMAX,Engineering - Industrial Equipments,51379,2,2024-03,1255.95,51659.63,2024-06,9574.91,693.51,2024-06,73.17,11.18,11.3,2,2024-03,0.28,15.5,18.44,"THERMAX,"
Hitachi Energy India Ltd.,POWERINDIA,Electric Equipment,48114.43,1,2024-03,150,48136.23,2024-06,5524.67,171.79,2024-06,280.08,,35.11,1,2024-03,0.11,12.72,18.55,"POWERINDIA,"
GE T&D India Ltd.,GET&D,Electric Equipment,43342.28,1,2024-03,0.43,43208.61,2024-06,3408.68,287.35,2024-06,150.83,,31.46,1,2024-03,0,15.64,23.97,"GET&D,"
