Sector: Chemicals,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Asian Paints Ltd.,ASIANPAINT,Paints,289898.35,2,2024-03,1107.14,289921.48,2024-06,35282.15,5030.59,2024-06,57.07,2.79,14.62,2,2024-03,0.06,32.08,41.05,"ASIANPAINT,"
Pidilite Industries Ltd.,PIDILITIND,Chemicals,154996.15,2,2024-03,131.15,154594.01,2024-06,12503.23,1848.91,2024-06,84.78,6.14,17.28,2,2024-03,0.02,22.45,30.55,"PIDILITIND,"
Solar Industries India Ltd.,SOLARINDS,Chemicals,91086.84,2,2024-03,1104.97,91904.55,2024-06,6082.09,971.66,2024-06,98.47,3.85,25.27,2,2024-03,0.33,29.59,31.03,"SOLARINDS,"
SRF Ltd.,SRF,Chemicals,74706.47,2,2024-03,4920.24,79219.17,2024-06,13264.26,1228.64,2024-06,60.8,3.85,6.38,2,2024-03,0.43,12.27,12.83,"SRF,"
PI Industries Ltd.,PIIND,Pesticides & Agrochemicals,66343.3,2,2024-03,127.9,63767.3,2024-06,7824.3,1739.5,2024-06,37.97,1.16,7.23,2,2024-03,0.01,21.11,24.14,"PIIND,"
Berger Paints India Ltd.,BERGEPAINT,Paints,62358.43,2,2024-03,205.44,62113.22,2024-06,11260.42,1122.07,2024-06,53.44,2.85,10.91,2,2024-03,0.04,23.72,30.15,"BERGEPAINT,"
The Fertilisers And Chemicals Travancore Ltd.,FACT,Fertilizers,62109.2,2,2024-03,1775.59,61205.47,2024-06,4421.94,25.69,2024-06,0,0,45.15,2,2023-03,1.04,63.33,37.61,"FACT,"
Coromandel International Ltd.,COROMANDEL,Fertilizers,50556.91,2,2024-03,51.79,47750.12,2024-06,21093.83,1494.2,2024-06,34.65,2.02,5.19,2,2024-03,0.01,18.96,27.32,"COROMANDEL,"
UPL Ltd.,UPL,Pesticides & Agrochemicals,41422.28,2,2024-03,31424,66810.28,2024-06,43202,-2290,2024-06,0,,1.71,2,2024-03,1.27,-7.28,3.24,"UPL,"
Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals,38823.6,2,2024-03,216.95,38575.09,2024-06,8080.33,863.48,2024-06,44.96,1.33,7.77,2,2024-03,0.05,18.25,24.39,"DEEPAKNTR,"
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,Chemicals,36575.66,2,2024-03,1995.78,38372.99,2024-06,4247.56,341.8,2024-06,107.01,,6.16,2,2023-03,0.27,27.07,29.71,"FLUOROCHEM,"
BASF India Ltd.,BASF,Pesticides & Agrochemicals,30326.35,2,2024-03,0,29702.06,2024-03,13767.48,563.27,2024-03,53.84,,9.42,2,2024-03,0,27.73,38.09,"BASF,"
Godrej Industries Ltd.,GODREJIND,Chemicals,29881.55,2,2024-03,28807.48,55179.37,2024-06,16342.89,1081.92,2024-06,146.2,,3.74,2,2024-03,3.61,7.46,7.21,"GODREJIND,"
Bayer CropScience Ltd.,BAYERCROP,Pesticides & Agrochemicals,27924.99,1,2024-03,0,26760.99,2024-06,4994.8,666.2,2024-06,41.92,2.46,9,1,2024-03,0,26.63,34.56,"BAYERCROP,"
Sumitomo Chemical India Ltd.,SUMICHEM,Pesticides & Agrochemicals,26287.51,2,2024-03,0.51,26104.69,2024-06,2958.59,434.76,2024-06,60.5,3.68,10.24,2,2024-03,0,15.33,21.09,"SUMICHEM,"
