Sector: Construction Materials,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Ultratech Cement Ltd.,ULTRACEMCO,Cement & Construction Materials,325311.36,2,2024-03,10298.39,334826.54,2024-06,71240.6,6987.76,2024-06,46.39,2.02,5.26,2,2024-03,0.17,12.25,15.42,"ULTRACEMCO,"
Grasim Industries Ltd.,GRASIM,Cement & Construction Materials,171148.15,2,2024-03,135102.21,301601.6,2024-06,133774.04,9496.55,2024-06,32.56,4.54,1.89,2,2024-03,1.53,11.93,11.38,"GRASIM,"
Ambuja Cements Ltd.,AMBUJACEM,Cement & Construction Materials,153674.27,2,2024-03,36.78,142642.18,2024-06,32758.22,4371.17,2024-06,46.32,6.07,3.04,2,2024-03,0,14.5,16.87,"AMBUJACEM,"
Shree Cement Ltd.,SHREECEM,Cement & Construction Materials,87278.61,2,2024-03,1474.92,88331.72,2024-06,20580.11,2102.67,2024-06,41.52,2.74,4.16,2,2024-03,0.07,12.18,14.84,"SHREECEM,"
ACC Ltd.,ACC,Cement & Construction Materials,43270.88,2,2024-03,0,41408.01,2024-06,19912.7,2220.84,2024-06,19.39,2.88,2.59,2,2024-03,0,15.34,19.13,"ACC,"
Dalmia Bharat Ltd.,DALBHARAT,Cement & Construction Materials,32568.58,2,2024-03,4630,36616.58,2024-06,14677,855,2024-06,38.91,1.78,1.97,2,2024-03,0.28,5.34,7.21,"DALBHARAT,"
JK Cement Ltd.,JKCEMENT,Cement & Construction Materials,32140.5,2,2024-03,5238.54,36512.51,2024-06,11600.95,866.79,2024-06,37.07,1.54,5.79,2,2024-03,0.98,15.72,16.04,"JKCEMENT,"
Kajaria Ceramics Ltd.,KAJARIACER,Ceramics/Marble/Granite/Sanitaryware,22474.53,2,2024-03,170.59,22131.01,2024-06,4627.88,418.89,2024-06,55.57,4.35,8.29,2,2024-03,0.07,17.57,22.42,"KAJARIACER,"
The Ramco Cements Ltd.,RAMCOCEM,Cement & Construction Materials,18650.56,2,2024-03,4916.82,23430.47,2024-06,9223.24,349.63,2024-06,57.8,,2.56,2,2024-03,0.68,5.58,8.15,"RAMCOCEM,"
Century Plyboards (India) Ltd.,CENTURYPLY,Wood & Wood Products,16218.63,2,2024-03,718.36,16869.85,2024-06,4000.34,272.31,2024-06,59.21,3.18,7.22,2,2023-03,0.16,22.13,26.38,"CENTURYPLY,"
Asahi India Glass Ltd.,ASAHIINDIA,Glass,14992.57,2,2024-03,1878.54,16871.11,2024-06,4400.76,294.04,2024-06,49.62,3.33,6.17,2,2023-03,0.65,18.85,20.89,"ASAHIINDIA,"
Cera Sanitaryware Ltd.,CERA,Ceramics/Marble/Granite/Sanitaryware,12858.26,2,2024-03,20.46,12841.52,2024-06,1852.14,232.07,2024-06,55.96,3.52,9.23,2,2024-03,0.02,19.16,25.32,"CERA,"
Nuvoco Vistas Corporation Ltd.,NUVOCO,Cement & Construction Materials,11954.02,2,2024-03,4137.03,15984.07,2024-06,10563.87,135.75,2024-06,88.06,1.68,1.33,2,2024-03,0.46,1.65,5.56,"NUVOCO,"
The India Cements Ltd.,INDIACEM,Cement & Construction Materials,11306.6,2,2024-03,2611.91,13918.51,2024-06,4702.26,-70.85,2024-06,0,,2,2,2023-03,0.55,-3.13,-1.61,"INDIACEM,"
JK Lakshmi Cement Ltd.,JKLAKSHMI,Cement & Construction Materials,9630.12,2,2024-03,2024.89,11387.76,2024-06,6622.1,473.36,2024-06,20.77,0.36,2.96,2,2024-03,0.64,16.29,17.91,"JKLAKSHMI,"
Birla Corporation Ltd.,BIRLACORPN,Cement & Construction Materials,9480.9,2,2024-03,3769.73,13091.42,2024-06,9444.63,393.47,2024-06,24.1,2.38,1.64,2,2024-03,0.66,7.79,10.06,"BIRLACORPN,"
Star Cement Ltd.,STARCEMENT,Cement & Construction Materials,8445.35,2,2024-03,129.83,8477.84,2024-06,2901.2,232.84,2024-06,36.26,,3.08,2,2023-03,0.01,10.8,16.87,"STARCEMENT,"
Prism Johnson Ltd.,PRSMJOHNSN,Cement & Construction Materials,7963.1,2,2024-03,1828.02,9285.1,2024-06,7408.51,107.07,2024-06,51.2,,5.83,2,2024-03,1.32,12.48,11.68,"PRSMJOHNSN,"
Greenlam Industries Ltd.,GREENLAM,Laminates/Decoratives,7260.87,2,2024-03,998.79,8226.73,2024-06,2395.82,125.31,2024-06,56.71,4.57,6.62,2,2024-03,0.93,13.56,12.72,"GREENLAM,"
Orient Cement Ltd.,ORIENTCEM,Cement & Construction Materials,7037.24,1,2024-03,129.53,7089.72,2024-06,3056.18,174.53,2024-06,40.32,1.36,3.96,1,2024-03,0.07,10.48,16.32,"ORIENTCEM,"
Borosil Renewables Ltd.,BORORENEW,Glass,6481.85,2,2024-03,571.01,6887.28,2024-06,1385.58,-53.41,2024-06,0,,7.56,2,2024-03,0.66,-5.62,-1.69,"BORORENEW,"
Kesoram Industries Ltd.,KESORAMIND,Cement & Construction Materials,6408.99,2,2024-03,2267.3,8492.29,2024-06,3866.92,-413.67,2024-06,0,0,195.38,2,2024-03,23.91,-135.24,8.99,"KESORAMIND,"
Heidelberg Cement India Ltd.,HEIDELBERG,Cement & Construction Materials,4993.42,1,2024-03,125.08,4563.74,2024-06,2302.33,155.33,2024-06,32.15,,3.31,1,2023-03,0.12,6.55,10.73,"HEIDELBERG,"
Greenply Industries Ltd.,GREENPLY,Wood & Wood Products,4561.31,2,2024-03,524.58,5063.52,2024-06,2412.23,112.01,2024-06,44.57,,6.1,2,2023-03,1.08,16.02,12.81,"GREENPLY,"
Greenpanel Industries Ltd.,GREENPANEL,Wood & Wood Products,4255.17,2,2024-03,267.96,4382.78,2024-03,1567.25,142.69,2024-03,29.82,0.91,3.23,2,2024-03,0.2,11.36,13.16,"GREENPANEL,"
La Opala RG Ltd.,LAOPALA,Glass,3381.06,1,2024-03,8.74,3389.21,2024-06,351.76,122.67,2024-06,27.56,2.54,3.97,1,2023-03,0.02,16.23,22.34,"LAOPALA,"
Stylam Industries Ltd.,STYLAMIND,Laminates/Decoratives,3216.57,2,2024-03,,3144.59,2024-06,930.99,129.02,2024-06,24.93,,5.7,2,2023-03,0.11,26.36,31.89,"STYLAMIND,"
Sagar Cements Ltd.,SAGCEM,Cement & Construction Materials,2993.86,2,2024-03,1439.04,4170.78,2024-06,2525.54,-41.33,2024-06,0,,1.57,2,2024-03,0.74,-2.64,2.94,"SAGCEM,"
Somany Ceramics Ltd.,SOMANYCERA,Ceramics/Marble/Granite/Sanitaryware,2889.94,2,2024-03,335.11,3154.15,2024-06,2583.4,99.07,2024-06,30.55,2.76,3.98,2,2024-03,0.47,13.27,16.24,"SOMANYCERA,"
KCP Ltd.,KCP,Cement & Construction Materials,2786.63,2,2024-03,477.69,2348.66,2024-06,2793.63,277.36,2024-06,14.64,0.81,1.91,2,2024-03,0.34,20.97,18.33,"KCP,"
Mangalam Cement Ltd.,MANGLMCEM,Cement & Construction Materials,2486.44,1,2024-03,599.41,2930.78,2024-06,1685.52,62.08,2024-06,40.05,0.77,3,1,2024-03,0.74,7.62,12,"MANGLMCEM,"
