Sector: Consumer Durables,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Dixon Technologies (India) Ltd.,DIXON,Consumer Durables - Electronics,71717.15,2,2024-03,155.03,71663.53,2024-06,20999.2,432.78,2024-06,165.78,4.99,39.25,2,2023-03,0.14,22.63,27.98,"DIXON,"
Voltas Ltd.,VOLTAS,Air Conditioners,52038.24,2,2024-03,713.31,51899.23,2024-06,14042.37,590.61,2024-06,113.88,,8.41,2,2024-03,0.12,4.4,8.6,"VOLTAS,"
Honeywell Automation India Ltd.,HONAUT,Consumer Durables - Electronics,45321.34,1,2024-03,11.1,42509.44,2024-06,4086.3,534.5,2024-06,84.79,12.25,12.16,1,2024-03,0,14.82,20.04,"HONAUT,"
Blue Star Ltd.,BLUESTARCO,Air Conditioners,35253.68,2,2024-03,166.62,35042.93,2024-06,10324.73,499.13,2024-06,70.45,4.09,12.69,2,2024-03,0.06,21.03,26.26,"BLUESTARCO,"
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,Consumer Durables - Domestic Appliances,28051.95,2,2024-03,598.97,28390.15,2024-06,7573.65,472.1,2024-06,59.27,32.04,9.12,2,2024-03,0.2,16.23,18.17,"CROMPTON,"
Whirlpool Of India Ltd.,WHIRLPOOL,Consumer Durables - Domestic Appliances,25860.29,2,2024-03,0,23625.32,2024-06,7288.06,292.83,2024-06,90.43,,6.89,2,2024-03,0,6.36,9.36,"WHIRLPOOL,"
TTK Prestige Ltd.,TTKPRESTIG,Consumer Durables - Domestic Appliances,14036.06,2,2024-03,46.86,13418.27,2024-06,2678.36,218.81,2024-06,63.17,18.03,6.6,2,2024-03,0.02,11.21,15.36,"TTKPRESTIG,"
Amber Enterprises India Ltd.,AMBER,Air Conditioners,13724.49,2,2024-03,1433.22,14466.42,2024-06,7428.57,175.51,2024-06,85.99,11.87,6.58,2,2024-03,0.72,7.21,10.62,"AMBER,"
Netweb Technologies India Ltd.,NETWEB,IT - Hardware,12936.75,1,2024-03,1.63,12716.76,2024-06,813.59,86.26,2024-06,149.98,,30.04,1,2024-03,0,29.97,39.44,"NETWEB,"
Symphony Ltd.,SYMPHONY,Consumer Durables - Domestic Appliances,11491.68,2,2024-03,147.5,11595.53,2024-06,1385,212,2024-06,54.21,10.23,13.73,2,2024-03,0.2,18.18,19.54,"SYMPHONY,"
PG Electroplast Ltd.,PGEL,Consumer Durables - Domestic Appliances,11305.22,2,2024-03,360.56,11483.37,2024-06,3389.56,188.13,2024-06,61.18,1.8,10.07,2,2023-03,1.39,22.1,17.8,"PGEL,"
Bajaj Electricals Ltd.,BAJAJELEC,Consumer Durables - Domestic Appliances,11278.79,2,2024-03,0,11004.1,2024-06,4684.05,126.46,2024-06,92.4,,7.82,2,2024-03,0,8.23,14.13,"BAJAJELEC,"
Eureka Forbes Ltd.,543482,Consumer Durables - Domestic Appliances,8901.98,2,2024-03,24.92,8829.35,2024-06,2237.82,102.35,2024-06,86.99,,2.09,2,2023-03,0.03,0.65,1.38,"543482,"
IFB Industries Ltd.,IFBIND,Consumer Durables - Domestic Appliances,8022.72,2,2024-03,69.42,7981.56,2024-06,4621.09,111.11,2024-06,90.63,,10.6,2,2024-03,0.1,7.28,12.5,"IFBIND,"
Orient Electric Ltd.,ORIENTELEC,Consumer Durables - Domestic Appliances,5647.8,1,2024-03,20.87,5602.34,2024-06,2861.35,69.92,2024-06,80.78,,8.68,1,2024-03,0.03,12.38,19.05,"ORIENTELEC,"
Johnson Controls - Hitachi Air Conditioning India Ltd.,JCHAC,Air Conditioners,5214.12,1,2024-03,,5142.19,2024-06,2347.48,1.45,2024-06,0,,8.42,1,2023-03,0.22,-11.74,-12.32,"JCHAC,"
Borosil Ltd.,BOROLTD,Consumer Durables - Domestic Appliances,4603.43,2,2024-03,153.88,4750.44,2024-03,1093.94,72.31,2024-03,69.89,,6.3,2,2023-03,0.11,11.13,14.03,"BOROLTD,"
