Sector: Diamond & Jewellery,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Titan Company Ltd.,TITAN,Diamond  &  Jewellery,300453.47,2,2024-03,13179,312106.47,2024-06,52453,3454,2024-06,86.99,4.35,29.87,2,2024-03,1.41,33,25.01,"TITAN,"
Kalyan Jewellers India Ltd.,KALYANKJIL,Diamond  &  Jewellery,57436.08,2,2024-03,3317.31,59778.29,2024-06,19708.02,630.29,2024-06,90.99,0.56,13.19,2,2024-03,0.79,15.26,15.94,"KALYANKJIL,"
Rajesh Exports Ltd.,RAJESHEXPO,Diamond  &  Jewellery,8704.26,2,2024-03,654.97,7086.04,2024-03,280676.35,335.53,2024-03,25.94,10.35,0.57,2,2023-03,0.05,10.54,10.86,"RAJESHEXPO,"
Senco Gold Ltd.,SENCO,Diamond  &  Jewellery,8423.17,2,2024-03,1498.34,9370.15,2024-06,5339.93,204.71,2024-06,41.15,,5.95,2,2023-03,1.25,19.28,16.94,"SENCO,"
Thangamayil Jewellery Ltd.,THANGAMAYL,Diamond  &  Jewellery,4824.35,1,2024-03,467.54,5210.1,2024-06,4094.16,121.19,2024-06,39.81,1.23,8.78,1,2024-03,0.95,27.95,21.42,"THANGAMAYL,"
PC Jeweller Ltd.,PCJEWELLER,Diamond  &  Jewellery,4409.24,2,2024-03,4087.24,8491.59,2024-03,605.4,-629.37,2024-03,0,,1.5,2,2023-03,0.99,-5.39,5.4,"PCJEWELLER,"
Sky Gold Ltd.,SKYGOLD,Diamond  &  Jewellery,3279.85,2,2024-03,298.75,3501.84,2024-06,2092.81,51.04,2024-06,64.26,,12.36,2,2023-03,1.49,21.28,17.54,"SKYGOLD,"
D.P. Abhushan Ltd.,DPABHUSHAN,Diamond  &  Jewellery,2728.57,1,2024-03,160.41,2888.98,2024-06,2373.18,71.32,2024-06,38.26,0.93,8.92,1,2023-03,0.64,28.4,24.85,"DPABHUSHAN,"
Goldiam International Ltd.,GOLDIAM,Diamond  &  Jewellery,2568.42,2,2024-03,,2423.63,2024-06,648.9,95.65,2024-06,26.85,1.03,3.94,2,2023-03,0,15.41,21.27,"GOLDIAM,"
Motisons Jewellers Ltd.,MOTISONS,Diamond  &  Jewellery,1668.66,1,2024-03,108.85,1744.79,2024-03,416.76,32.23,2024-03,51.77,1.05,4.99,1,2023-03,1.2,17.56,16.68,"MOTISONS,"
Asian Star Company Ltd.,531847,Diamond  &  Jewellery,1302.15,2,2024-03,741.41,1728.04,2024-03,3523.3,77.58,2024-03,16.86,,0.86,2,2023-03,0.44,6.03,6.27,"531847,"
Tribhovandas Bhimji Zaveri Ltd.,TBZ,Diamond  &  Jewellery,1114.07,2,2024-03,533.03,1597.34,2024-06,2324.37,60.11,2024-06,18.53,0.65,1.8,2,2024-03,0.89,9.37,11.75,"TBZ,"
