Sector: Diversified,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
3M India Ltd.,3MINDIA,Diversified,41662.85,2,2024-03,0,40305,2024-06,4186.28,611.35,2024-06,68.15,6.98,18.08,2,2024-03,0,30.51,41.02,"3MINDIA,"
DCM Shriram Ltd.,DCMSHRIRAM,Diversified,17397.7,2,2024-03,2082.63,18807.89,2024-06,11567.14,490.82,2024-06,35.45,,2.63,2,2024-03,0.32,7.03,9.57,"DCMSHRIRAM,"
Surya Roshni Ltd.,SURYAROSNI,Diversified,6945.31,2,2024-03,3.73,6903.47,2024-06,7827.19,362.48,2024-06,19.16,0.86,3.1,2,2024-03,0,16.48,21.14,"SURYAROSNI,"
Balmer Lawrie & Company Ltd.,BALMLAWRIE,Diversified,4543.57,2,2024-03,76.95,4095.73,2024-06,2385.1,202.17,2024-06,16.95,112.32,2.44,2,2023-03,0.05,6.54,10.56,"BALMLAWRIE,"
Gillanders Arbuthnot & Company Ltd.,GILLANDERS,Diversified,185.68,2,2024-03,129.2,312.03,2024-06,360.46,-53.18,2024-06,0,,0.89,2,2024-03,0.59,-19.68,-8.27,"GILLANDERS,"
TCI Industries Ltd.,532262,Diversified,133.62,1,2024-03,0.74,133.77,2024-06,1.44,-1.07,2024-06,0,,68.65,1,2024-03,0.07,-55.35,-9.02,"532262,"
Binani Industries Ltd.,BINANIIND,Diversified,49.28,2,2024-03,172.03,221.31,2024-06,0,1.59,2024-06,30.99,,-0.25,2,2023-03,-0.93,0,0,"BINANIIND,"
BNR Udyog Ltd.,530809,Diversified,24.41,1,2024-03,0,21.4,2024-06,3.23,1.19,2024-06,20.57,0.31,2.39,1,2024-03,0,53.79,63.48,"530809,"
Vishvprabha Ventures Ltd.,512064,Diversified,18.73,2,2024-03,17.1,35.75,2024-03,5.95,-0.27,2024-03,0,,2.24,2,2023-03,1.64,-1.71,-0.63,"512064,"
Finelistings Technologies Ltd.,544173,Diversified,18.18,1,2024-03,1.1,19.29,2024-03,13.59,1.74,2024-03,10.48,,0.85,1,2023-03,0.36,89.51,79.96,"544173,"
Niraj Ispat Industries Ltd.,NIRAJISPAT,Diversified,11.48,1,2024-03,1.44,12.93,2024-06,3.19,0.88,2023-12,11.98,1.02,0.9,1,2023-03,0.11,14.73,17.63,"NIRAJISPAT,"
