Sector: Electricals,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Polycab India Ltd.,POLYCAB,Cable,96466.7,2,2024-03,89.77,96154.11,2024-06,18848.09,1801.37,2024-06,54.18,1.87,11.32,2,2024-03,0.01,24.49,32.93,"POLYCAB,"
KEI Industries Ltd.,KEI,Cable,39117.41,2,2024-03,134.23,38551.27,2024-06,8388.07,609.72,2024-06,64.17,2.38,11.86,2,2023-03,0.05,20.27,26.07,"KEI,"
Kaynes Technology India Ltd.,KAYNES,Electronics - Components,30029.99,2,2024-03,306.07,28810.5,2024-06,2011.42,209.54,2024-06,143.31,3.3,11.83,2,2023-03,0.14,16.4,22.16,"KAYNES,"
Finolex Cables Ltd.,FINCABLES,Cable,21967.44,2,2024-03,0.88,21870.33,2024-06,5040.62,468.84,2024-06,29.88,3.38,4.36,2,2023-03,0,12.16,15.69,"FINCABLES,"
RR Kabel Ltd.,RRKABEL,Cable,17991.26,2,2024-03,287.91,18180.38,2024-06,6805.36,287.23,2024-06,62.44,2.44,9.52,2,2024-03,0.16,21.07,22.72,"RRKABEL,"
Diamond Power Infrastructure Ltd.,522163,Cable,7772.82,2,2023-03,367.46,8134.03,2017-12,701.4,-422.14,2017-12,0,0,,1,2023-03,-0.38,0,-11.42,"522163,"
Syrma SGS Technology Ltd.,SYRMA,Electronics - Components,7146.91,2,2024-03,576.31,7637.65,2024-06,3712.42,116.36,2024-06,72.85,,4.38,2,2023-03,0.23,11.71,15.41,"SYRMA,"
Sterlite Technologies Ltd.,STLTECH,Cable,6661.4,2,2024-03,3225,9483.4,2024-06,5174,-158,2024-06,0,,2.25,2,2024-03,1.61,-3.14,5.38,"STLTECH,"
Insolation Energy Ltd.,543620,Electronics - Components,6474.48,1,2024-03,34.31,6508.79,2024-03,229.29,2.87,2024-03,0,,136.21,2,2023-03,1.31,29.2,19.86,"543620,"
DCX Systems Ltd.,DCXINDIA,Electronics - Components,3862.32,2,2024-03,290.6,3312.1,2024-06,1391.56,69.13,2024-06,55.87,,3.43,2,2023-03,0.9,20.95,13.13,"DCXINDIA,"
