Sector: Ferro Manganese,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Indian Metals & Ferro Alloys Ltd.,IMFA,Ferro & Silica Manganese,3652.96,2,2024-03,168.23,3724.4,2024-06,2740.72,375.2,2024-06,9.2,0.24,1.64,2,2024-03,0.08,18.65,24.59,"IMFA,"
Maithan Alloys Ltd.,MAITHANALL,Ferro & Silica Manganese,2919.45,2,2024-03,26.9,2868.77,2024-03,1728.64,348.96,2024-03,8.37,0.54,0.93,2,2023-03,0.01,19.46,24.94,"MAITHANALL,"
Owais Metal & Mineral Processing Ltd.,OWAIS,Ferro & Silica Manganese,2375.89,1,2023-03,3.21,2379.01,2024-03,80.05,15.46,2024-03,153.63,,34.54,1,2023-03,5.61,-22.21,0,"OWAIS,"
Shyam Century Ferrous Ltd.,SHYAMCENT,Ferro & Silica Manganese,360.69,1,2024-03,1.52,279.83,2024-06,125.68,-4.08,2024-06,0,0,2.28,1,2023-03,0.01,15.88,21.9,"SHYAMCENT,"
Nagpur Power & Industries Ltd.,532362,Ferro & Silica Manganese,189.49,2,2024-03,15.79,202.65,2024-03,46.6,-0.63,2024-03,0,,2.32,2,2023-03,0.16,-4.75,-2.37,"532362,"
Indsil Hydro Power and Manganese Ltd.,522165,Ferro & Silica Manganese,162.74,2,2024-03,94.74,256.41,2024-03,116.61,-8.97,2024-03,0,,1.47,2,2023-03,0.83,-7.55,4.67,"522165,"
Jainam Ferro Alloys (I) Ltd.,JAINAM,Ferro & Silica Manganese,153.19,1,2024-03,9.52,132.68,2024-03,189.69,6.07,2024-03,25.25,,1.76,1,2023-03,0,31.06,43.23,"JAINAM,"
Facor Alloys Ltd.,532656,Ferro & Silica Manganese,135.51,2,2024-03,9.18,140.35,2024-03,153.8,-19.24,2024-03,0,0,0.84,2,2023-03,0.04,3.87,0.47,"532656,"
Chrome Silicon Ltd.,513005,Ferro & Silica Manganese,68.86,1,2024-03,21.67,87.49,2024-03,89.81,0.42,2024-03,165.92,3.28,-3.73,1,2023-03,-3.85,0,3.18,"513005,"
Impex Ferro Tech Ltd.,IMPEXFERRO,Ferro & Silica Manganese,28.05,1,2023-09,267.67,294.96,2023-12,6.37,-0.26,2023-12,0,0,-0.1,1,2023-03,-0.96,0,-191.82,"IMPEXFERRO,"
