Sector: Hospitality,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
The Indian Hotels Company Ltd.,INDHOTEL,"Hotel, Resort & Restaurants",86929.01,2,2024-03,260.49,85704,2024-06,6852.61,1225.2,2024-06,67.65,1.93,8.97,2,2024-03,0.03,13.78,20.37,"INDHOTEL,"
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,Travel Services,73464,2,2024-03,0,71186.35,2024-03,4270.18,1111.08,2024-03,66.12,,22.75,2,2024-03,0,38.93,53.07,"IRCTC,"
EIH Ltd.,EIHOTEL,"Hotel, Resort & Restaurants",23479.3,2,2024-03,0,22838.72,2024-06,2539.71,632.36,2024-06,37.42,1.45,5.82,2,2024-03,0,18.53,25.41,"EIHOTEL,"
TBO Tek Ltd.,TBOTEK,Travel Services,17766.05,2,2024-03,135.08,17047.05,2024-03,1392.82,200.57,2024-03,87.89,1.94,8.53,2,2024-03,0.25,46.24,47.93,"TBOTEK,"
Chalet Hotels Ltd.,CHALET,"Hotel, Resort & Restaurants",16848.57,2,2024-03,2950.33,19666.62,2024-06,1467.48,250.17,2024-06,67.35,0.48,5.81,2,2024-03,1.61,16.51,10.2,"CHALET,"
BLS International Services Ltd.,BLS,Travel Services,15246.77,2,2024-03,,14284.64,2024-06,1786,375.42,2024-06,42.56,2.65,11.48,2,2023-03,0,29.77,32.43,"BLS,"
Westlife Foodworld Ltd,WESTLIFE,Restaurants,12386.79,2,2024-03,239.03,12611.7,2024-06,2393.6,43.63,2024-06,283.88,5.25,20.94,2,2023-03,0.37,21.76,33.73,"WESTLIFE,"
Lemon Tree Hotels Ltd.,LEMONTREE,"Hotel, Resort & Restaurants",9530.72,2,2024-03,1889.12,11366.1,2024-06,1111.22,173.79,2024-06,65.8,1.27,6.08,2,2023-03,2.04,16.68,14.06,"LEMONTREE,"
Thomas Cook (India) Ltd.,THOMASCOOK,Travel Services,9527.56,2,2024-03,220.03,8559.69,2024-06,7506.31,271.58,2024-06,36.44,1.46,6.29,2,2024-03,0.15,20.93,27.42,"THOMASCOOK,"
Juniper Hotels Ltd.,JUNIPER,"Hotel, Resort & Restaurants",8843.36,2,2024-03,838.11,9255.88,2024-03,817.66,23.8,2024-03,371.63,25.3,3.32,2,2023-03,5.77,-0.42,9.87,"JUNIPER,"
Mahindra Holidays & Resorts India Ltd.,MHRIL,"Hotel, Resort & Restaurants",8616.51,2,2024-03,884.08,9208.66,2024-06,2743.14,122.54,2024-06,71.07,5.13,-20.32,2,2024-03,-2.05,0,84.96,"MHRIL,"
Easy Trip Planners Ltd.,EASEMYTRIP,Travel Services,7033.23,2,2024-03,12.82,6944.5,2024-06,619.12,111.49,2024-06,64.19,,11.63,2,2023-03,0.22,44.27,51.62,"EASEMYTRIP,"
India Tourism Development Corporation Ltd.,ITDC,"Hotel, Resort & Restaurants",6258.59,2,2024-03,0.64,6081.48,2024-03,532.02,70.66,2024-03,88.98,2.32,16.09,2,2023-03,0,18.76,27.27,"ITDC,"
Le Travenues Technology Ltd.,IXIGO,Travel Services,6121.29,2,2024-03,40.08,6081.48,2024-03,655.87,78.97,2024-03,80.76,,13.18,2,2023-03,0,6.53,6.01,"IXIGO,"
Restaurant Brands Asia Ltd.,RBA,Restaurants,5304.24,2,2024-03,170.2,5440.92,2024-06,2472.96,-234.88,2024-06,0,,9.21,2,2023-03,0.2,-26.32,-12.58,"RBA,"
Imagicaaworld Entertainment Ltd.,IMAGICAA,Amusement Parks/Recreation/Club,4983.37,2,2024-03,252.12,5129.75,2024-06,340.32,17.91,2024-06,278.18,8.18,4.6,2,2023-03,3.45,0,33.99,"IMAGICAA,"
Wonderla Holidays Ltd.,WONDERLA,Amusement Parks/Recreation/Club,4449.21,1,2024-03,0.31,4325.65,2024-06,471.3,136.73,2024-06,32.54,1.4,3.85,1,2024-03,0,15.47,20.91,"WONDERLA,"
Samhi Hotels Ltd.,SAMHI,"Hotel, Resort & Restaurants",4084.18,2,2024-03,2076.35,6013.1,2024-06,1016.85,-146.89,2024-06,0,,3.92,2,2023-03,-3.32,0,9.57,"SAMHI,"
