Sector: Infrastructure,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Larsen & Toubro Ltd.,LT,Engineering - Construction,488295.06,2,2024-03,114039.77,586976.44,2024-06,228350.36,15893.71,2024-06,36.57,4.29,5.47,2,2024-03,1.33,17.83,14.86,"LT,"
Rail Vikas Nigam Ltd.,RVNL,Engineering - Construction,118731.47,2,2024-03,5987.76,121606.59,2024-06,20391.46,1356.66,2024-06,81.58,4.01,13.24,2,2023-03,0.88,20.81,17.83,"RVNL,"
IRB Infrastructure Developers Ltd.,IRB,Engineering - Construction,38027.58,2,2024-03,18649,54913.98,2024-06,7627.71,926.77,2024-06,62.13,,2.73,2,2023-03,1.18,5.55,9.02,"IRB,"
Ircon International Ltd.,IRCON,Engineering - Construction,25234.04,2,2024-03,2567.16,22816.87,2024-06,11900.89,906.79,2024-06,26.12,1.95,4.15,2,2023-03,0.29,15.5,18.77,"IRCON,"
KEC International Ltd.,KEC,Engineering - Construction,21280.49,2,2024-03,3812.32,24819.53,2024-06,20182.47,392.03,2024-06,54.28,,5.09,2,2024-03,0.93,8.82,16.45,"KEC,"
Kalpataru Projects International Ltd.,KPIL,Engineering - Construction,20369.12,2,2024-03,3909.2,23246.33,2024-06,19972,487,2024-06,41.74,23.55,3.9,2,2024-03,0.76,10.47,16.1,"KPIL,"
NCC Ltd.,NCC,Engineering - Construction,19990.64,2,2024-03,980.02,19821.11,2024-06,21992.55,775.06,2024-06,26.76,1.64,2.91,2,2023-03,0.16,11.01,19.94,"NCC,"
Techno Electric & Engineering Company Ltd.,TECHNOE,Engineering - Construction,18883.56,2,2024-03,,18746.37,2024-03,1502.38,271.02,2024-03,70.34,,5.53,2,2023-03,0,5.13,8.2,"TECHNOE,"
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,Engineering - Construction,15602.41,2,2024-03,476.66,15739.88,2024-06,3435.47,-110.67,2024-06,0,,15.98,2,2023-03,-8.68,-345.11,-65.41,"SWSOLAR,"
GR Infraprojects Ltd.,GRINFRA,Engineering - Construction,15214.98,2,2024-03,3802.76,18277.43,2024-06,8532.22,1114.37,2024-06,13.01,0.45,1.98,2,2023-03,0.91,26.26,21.81,"GRINFRA,"
PNC Infratech Ltd.,PNCINFRA,Engineering - Construction,12419.06,2,2024-03,8016.46,19056.82,2024-06,8725.68,1303.97,2024-06,9.52,0.43,2.16,2,2023-03,1.46,16.64,15.05,"PNCINFRA,"
ISGEC Heavy Engineering Ltd.,ISGEC,Engineering - Construction,10254.79,2,2024-03,787.24,10850.17,2024-03,6219.34,254.75,2024-03,42.08,3.73,4.07,2,2024-03,0.31,10.56,12.87,"ISGEC,"
H.G. Infra Engineering Ltd.,HGINFRA,Engineering - Construction,10243.6,2,2024-03,1504.42,11540.81,2024-06,5555.36,550.38,2024-06,18.6,0.57,3.91,2,2024-03,0.61,24.61,24.57,"HGINFRA,"
KNR Constructions Ltd.,KNRCON,Engineering - Construction,9781.34,2,2024-03,1258.22,10628.67,2024-03,4429.49,733.78,2024-03,12.58,1.23,2.76,2,2023-03,0.23,17.27,23.15,"KNRCON,"
ITD Cementation India Ltd.,ITDCEM,Engineering - Construction,9193.21,2,2024-03,862.03,9159.52,2024-06,8266.79,310.48,2024-06,28.58,1.05,5.77,2,2024-03,0.58,20.08,27.84,"ITDCEM,"
Power Mech Projects Ltd.,POWERMECH,Engineering - Construction,8548.41,2,2024-03,391.75,8460.33,2024-06,4348.91,263.97,2024-06,33.21,1.55,4.5,2,2023-03,0.37,17.88,22.25,"POWERMECH,"
Hindustan Construction Company Ltd.,HCC,Engineering - Construction,7947.52,2,2024-03,2108.47,9542.87,2024-06,6896.14,432.41,2024-06,18.79,1.81,-36.76,2,2023-03,-7.41,0,32.32,"HCC,"
Dilip Buildcon Ltd.,DBL,Engineering - Construction,7884.64,2,2024-03,7240.35,14388.51,2024-06,12225.28,328.5,2024-03,40.64,,1.8,2,2023-03,1.66,-0.04,8.74,"DBL,"
Man InfraConstruction Ltd.,MANINFRA,Engineering - Construction,6905.26,2,2024-03,130.85,6487.58,2024-06,1095.41,275.06,2024-06,23.37,0.48,4.92,2,2024-03,0.1,25.1,29.93,"MANINFRA,"
Ceigall India Ltd.,CEIGALL,Engineering - Construction,6644.17,1,2024-03,1061.12,7337.23,,,,-0,,,,2,2024-03,1.2,41.1,30.81,"CEIGALL,"
