Sector: Logistics,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Port,320489.01,2,2024-03,46279.23,359136.36,2024-06,28022.6,9255.44,2024-06,35.18,2.21,5.71,2,2024-03,0.87,16.45,13.3,"ADANIPORTS,"
JSW Infrastructure Ltd.,JSWINFRA,Port,66013.55,2,2024-03,4380.68,66304.01,2024-06,3894.57,1135.07,2024-06,58.55,1.72,8.18,2,2024-03,0.56,20.16,17.41,"JSWINFRA,"
Container Corporation Of India Ltd.,CONCOR,Logistics,58321.65,2,2024-03,26.23,55051.79,2024-06,8833.7,1250.09,2024-06,45.81,24.23,4.83,2,2023-03,0,10.68,14.73,"CONCOR,"
Delhivery Ltd.,DELHIVERY,Courier  Services,30172.13,2,2024-03,125.6,29894.51,2024-06,8384.06,-106.43,2024-06,0,0,3.49,2,2024-03,0.01,-2.89,-1.67,"DELHIVERY,"
Aegis Logistics Ltd.,AEGISLOG,Logistics,26347.81,2,2024-03,1663.23,26236.41,2024-06,6546.73,697.58,2024-06,45.05,2.17,6.5,2,2024-03,0.43,18.1,19.38,"AEGISLOG,"
The Great Eastern Shipping Company Ltd.,GESHIP,Shipping,19532.69,2,2024-03,3031.03,17672.93,2024-06,5479.71,2849.85,2024-06,6.85,0.04,1.48,2,2024-03,0.24,23.06,20.18,"GESHIP,"
Blue Dart Express Ltd.,BLUEDART,Courier  Services,18924.93,2,2024-03,254.69,19013.38,2024-06,5372.99,293.15,2024-06,64.56,2.36,13.35,2,2024-03,0.19,23.67,30.85,"BLUEDART,"
Shipping Corporation Of India Ltd.,SCI,Shipping,12343.67,2,2024-03,2893.37,13922.72,2024-06,5360.69,750.89,2024-06,15.45,0.67,1.58,2,2023-03,0.37,13.52,10.6,"SCI,"
Gujarat Pipavav Port Ltd.,GPPL,Port,11496.2,2,2024-03,0,10451.63,2024-06,1019.49,372.88,2024-06,29.95,2.78,4.75,2,2024-03,0,14.79,21.14,"GPPL,"
TVS Supply Chain Solutions Ltd.,TVSSCS,Logistics,8200.22,2,2024-03,793.94,8397.33,2024-06,9450.45,-3.58,2024-06,0,,4.59,2,2024-03,0.45,-4.72,6.54,"TVSSCS,"
Transport Corporation Of India Ltd.,TCI,Logistics,8016.19,2,2024-03,150.34,8070.93,2024-06,4119.5,283.3,2024-06,22.3,1.14,3.89,2,2024-03,0.08,19.24,20.49,"TCI,"
Allcargo Logistics Ltd.,ALLCARGO,Logistics,5950.75,2,2024-03,966.87,6358.83,2024-03,13187.84,147.37,2024-03,39.75,1.46,2.36,2,2023-03,0.25,21.92,23,"ALLCARGO,"
Gateway Distriparks Ltd.,GATEWAY,Logistics,4864.03,2,2024-03,327.84,5169.64,2024-06,1519.55,238.54,2024-06,20.27,0.86,2.46,2,2023-03,0.24,14.17,13.45,"GATEWAY,"
VRL Logistics Ltd.,VRLLOG,Logistics,4663.82,1,2024-03,279.28,4924.15,2024-06,2941.6,68.55,2024-06,68.03,,4.86,1,2024-03,0.3,9.27,16.8,"VRLLOG,"
TCI Express Ltd.,TCIEXP,Logistics,4335.99,2,2024-03,2.96,4318.56,2024-03,1253.82,131.69,2024-03,32.93,,6.21,2,2024-03,0,20.4,26.9,"TCIEXP,"
Shipping Corporation of India Land and Assets Ltd.,SCILAL,Shipping,4315.63,1,2024-03,,4315.63,2024-03,17.22,47.49,2024-03,90.87,,1.34,1,2023-03,0,2.24,1.11,"SCILAL,"
Seamec Ltd.,SEAMECLTD,Shipping,3670.35,2,2024-03,306.86,3841.09,2024-06,749.11,144.66,2024-06,25.51,3.23,3.82,2,2024-03,0.34,14.18,12.77,"SEAMECLTD,"
Mahindra Logistics Ltd.,MAHLOG,Logistics,3450.13,2,2024-03,338.55,3717.61,2024-06,5632.77,-51.61,2024-06,0,,7.22,2,2024-03,0.7,-10.01,4.66,"MAHLOG,"
JITF Infralogistics Ltd.,JITFINFRA,Logistics,2713.67,2,2024-03,3771.52,6147.98,2024-03,3283.56,90.32,2024-03,76.64,4.63,-4.89,2,2024-03,-6.79,0,16.6,"JITFINFRA,"
Dredging Corporation Of India Ltd.,DREDGECORP,Shipping,2598.96,1,2024-03,426.36,2975.04,2024-06,891.88,-10.87,2024-06,0,,2.11,1,2023-03,0.2,0.89,2.51,"DREDGECORP,"
Navkar Corporation Ltd.,NAVKARCORP,Logistics,2023.73,1,2024-03,213.56,2237.29,2024-06,446.97,-11.2,2024-06,0,,1.03,1,2023-03,0.02,3.78,3.79,"NAVKARCORP,"
Allcargo Gati Ltd.,ACLGATI,Logistics,1380.06,2,2024-03,144.25,1348.92,2024-06,1680.04,6.7,2024-06,89.38,,1.72,2,2023-03,0.27,-1.91,4.56,"ACLGATI,"
Snowman Logistics Ltd.,SNOWMAN,Logistics,1258.51,1,2024-03,95.95,1345,2024-06,514.83,11.12,2024-06,113.22,2.7,3,1,2023-03,0.25,3.18,8.18,"SNOWMAN,"
Lancer Container Lines Ltd.,539841,Logistics,1189.48,2,2024-03,111.6,1301.08,2024-06,641.59,56.27,2024-06,21.12,,2.45,2,2023-03,1.47,41.91,29.64,"539841,"
