Sector: Media & Entertainment,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Sun TV Network Ltd.,SUNTV,TV Broadcasting & Software Production,32265.68,2,2024-03,,31864.87,2024-06,4245.28,1881.82,2024-06,17.05,2.01,2.91,2,2023-03,0,19.59,26.25,"SUNTV,"
PVR Inox Ltd.,PVRINOX,"Film Production, Distribution & Entertainment",14262.63,2,2024-03,1717.7,15576.53,2024-06,5992.9,-129.7,2024-06,0,,2,2,2023-03,0.25,-7.76,6.04,"PVRINOX,"
Zee Entertainment Enterprises Ltd.,ZEEL,TV Broadcasting & Software Production,13029.45,2,2024-03,5.5,11841.76,2024-06,8783.91,320.72,2024-06,41.63,,1.18,2,2023-03,0,2.33,4.99,"ZEEL,"
Network 18 Media & Investments Ltd.,NETWORK18,TV Broadcasting & Software Production,9814.1,2,2024-03,7316.71,12298.04,2024-06,9199.43,-729.4,2024-06,0,0,1.52,2,2023-03,8.61,-2.2,4.1,"NETWORK18,"
Saregama India Ltd.,SAREGAMA,"Film Production, Distribution & Entertainment",9545.03,2,2024-03,1.65,9004.59,2024-06,844.94,191.33,2024-06,49.97,1.69,6.9,2,2024-03,0,15.35,21.15,"SAREGAMA,"
Tips Industries Ltd.,TIPSINDLTD,"Film Production, Distribution & Entertainment",9237.75,1,2024-03,0,9106.56,2024-06,262.87,143.63,2024-06,64.32,0.57,41.42,1,2024-03,0,80.57,108.26,"TIPSINDLTD,"
TV18 Broadcast Ltd.,TV18BRDCST,TV Broadcasting & Software Production,7822.63,2,2024-03,5379.34,8375.73,2024-06,8869.26,-434.86,2024-06,0,0,0.47,2,2023-03,0.88,2.7,3.41,"TV18BRDCST,"
D.B. Corp Ltd.,DBCORP,Printing And Publishing,5962.93,2,2024-03,22.52,5434.21,2024-06,2437.74,464.63,2024-06,12.83,1.39,2.55,2,2024-03,0.01,20.44,27.9,"DBCORP,"
Prime Focus Ltd.,PFOCUS,"Film Production, Distribution & Entertainment",4258.68,2,2024-03,3930.06,8047.21,2024-06,3553.69,-574.47,2024-06,0,0,11.9,2,2023-03,-14.65,0,20.51,"PFOCUS,"
MPS Ltd.,MPSLTD,Printing And Publishing,3631.65,2,2024-03,0,3516.28,2024-06,593.52,114.36,2024-06,31.76,3.4,7.48,2,2024-03,0,26.79,36.56,"MPSLTD,"
Navneet Education Ltd.,NAVNETEDUL,Printing And Publishing,3597.92,2,2024-03,245.11,3818.32,2024-06,1757.63,814.63,2024-06,4.72,1.27,1.76,2,2024-03,0.19,20.6,21.04,"NAVNETEDUL,"
Vertoz Ltd.,VERTOZ,Advertising & Media,2811.74,2,2024-03,14.33,2815.27,2024-06,198.72,20.07,2024-06,142.53,8.61,13.64,2,2024-03,0.09,13.66,12.42,"VERTOZ,"
Dish TV India Ltd.,DISHTV,TV Broadcasting & Software Production,2684.55,2,2024-03,0.08,2513.88,2024-03,1856.53,-1966.57,2024-03,0,0,-0.97,2,2023-03,-0.09,-2426.9,-608.06,"DISHTV,"
Den Networks Ltd.,DEN,TV Broadcasting & Software Production,2449.59,2,2024-03,,1162.59,2024-06,1055.1,215.08,2024-06,11.26,0.2,0.71,2,2023-03,0,7.67,4.7,"DEN,"
Jagran Prakashan Ltd.,JAGRAN,Printing And Publishing,1942.56,2,2024-03,179.1,1902.35,2024-06,1923.46,161.55,2024-06,10.78,,0.99,2,2023-03,0.21,10.13,12.88,"JAGRAN,"
Media Matrix Worldwide Ltd,512267,"Film Production, Distribution & Entertainment",1798.79,2,2024-03,,1793.71,2024-06,1345.33,7.63,2024-06,321.44,16.92,6.18,2,2023-03,0.77,1.34,4.37,"512267,"
GTPL Hathway Ltd.,GTPL,TV Broadcasting & Software Production,1778.6,2,2024-03,228.38,1858.19,2024-06,3281.43,91.95,2024-06,20.83,1.37,1.51,2,2023-03,0.13,11.69,14.95,"GTPL,"
TV Today Network Ltd.,TVTODAY,TV Broadcasting & Software Production,1561.83,2,2024-03,0,1312.13,2024-06,1041.13,98.98,2024-06,15.78,,1.7,2,2024-03,0,6.65,9.49,"TVTODAY,"
Panorama Studios International Ltd.,539469,"Film Production, Distribution & Entertainment",1345.52,2,2024-03,32.63,1358.79,2024-03,439.6,38.22,2024-03,35.28,,8.81,2,2023-03,0.7,83.16,56.7,"539469,"
Basilic Fly Studio Ltd.,BASILIC,"Film Production, Distribution & Entertainment",1340.02,1,2024-03,2.42,1342.44,2024-03,100.3,36.2,2024-03,37.02,,13.96,2,2023-03,0.13,156.7,173.94,"BASILIC,"
New Delhi Television Ltd.,NDTV,TV Broadcasting & Software Production,1305.22,2,2024-03,30.61,1308.16,2024-06,393.94,-60.82,2024-06,0,,6.19,2,2024-03,0.12,-7.96,-5.41,"NDTV,"
Signpost India Ltd.,SIGNPOST,Advertising & Media,1218.39,2,2024-03,151.46,1332.02,2024-03,387.44,44.06,2024-03,27.62,,6.07,2,2023-03,0.65,28.22,31.21,"SIGNPOST,"
Vashu Bhagnani Industries Ltd.,532011,"Film Production, Distribution & Entertainment",1181.39,2,2024-03,24.22,1205.61,2024-06,51.75,12.24,2024-06,96.39,,8.13,2,2023-03,0.29,7.04,7.03,"532011,"
The Sandesh Ltd.,SANDESH,Printing And Publishing,1176.25,2,2024-03,,1111.25,2024-03,322.08,188.58,2024-03,6.24,1.64,0.93,2,2023-03,0,10.11,13.33,"SANDESH,"
Sri Adhikari Brothers Television Network Ltd.,530943,"Film Production, Distribution & Entertainment",1148.77,2,2024-03,1.3,1150.07,2024-03,2.76,-21.35,2024-03,0,0,-8.8,2,2023-03,-1.82,0,-23.07,"530943,"
Entertainment Network (India) Ltd.,ENIL,TV Broadcasting & Software Production,984.16,2,2024-03,,903.67,2024-06,529.41,31.02,2024-06,32.08,,1.29,2,2023-03,0,-0.89,0.72,"ENIL,"
Repro India Ltd.,REPRO,Printing And Publishing,867.2,2,2024-03,29.05,888.55,2024-06,472.22,9.19,2024-06,94.36,,2.24,2,2024-03,0.08,3.68,6.22,"REPRO,"
Zee Media Corporation Ltd.,ZEEMEDIA,TV Broadcasting & Software Production,833.07,2,2024-03,135.23,958.6,2024-06,673.84,-83.82,2024-06,0,,2.99,2,2023-03,0.57,-18.08,-6.88,"ZEEMEDIA,"
S Chand And Company Ltd.,SCHAND,Printing And Publishing,764.92,2,2024-03,108.24,745.9,2024-06,662.15,47.07,2024-06,14.72,,0.82,2,2023-03,0.14,6.69,9.78,"SCHAND,"
Balaji Telefilms Ltd.,BALAJITELE,"Film Production, Distribution & Entertainment",716.39,2,2024-03,76.42,753.93,2024-06,622.16,6.56,2024-06,83.88,4.9,1.71,2,2024-03,0.18,4.74,8.64,"BALAJITELE,"
Hindustan Media Ventures Ltd.,HMVL,Printing And Publishing,676.3,2,2024-03,55.09,670.23,2024-06,697.71,3.58,2024-06,164.55,,0.46,2,2023-03,0.04,-2.64,-2.46,"HMVL,"
Bright Outdoor Media Ltd.,543831,Advertising & Media,661.53,1,2024-03,13.27,674.8,2024-03,106.68,16.04,2024-03,41.25,,4.52,1,2023-03,0.35,10.89,12.2,"543831,"
HT Media Ltd.,HTMEDIA,Printing And Publishing,579.78,2,2024-03,741.41,1194.83,2024-06,1679.81,-100.52,2024-06,0,,0.34,2,2023-03,0.39,-13.1,-4.4,"HTMEDIA,"
Music Broadcast Ltd.,RADIOCITY,TV Broadcasting & Software Production,517.49,1,2024-03,91.6,574.37,2024-06,235.11,8.49,2024-06,60.96,,0.97,1,2024-03,0.17,1.3,3.7,"RADIOCITY,"
Phantom Digital Effects Ltd.,PHANTOMFX,TV Broadcasting & Software Production,507.86,1,2024-03,20.41,528.28,2024-03,89.33,24.12,2024-03,21.06,,3.52,1,2023-03,0.16,65.48,75.12,"PHANTOMFX,"
UFO Moviez India Ltd.,UFO,"Film Production, Distribution & Entertainment",470.88,2,2024-03,52.17,422.92,2024-06,417.39,6.31,2024-06,48.3,,1.67,2,2024-03,0.18,5.93,10.28,"UFO,"
Cineline India Ltd.,CINELINE,"Film Production, Distribution & Entertainment",414.8,2,2024-03,229.43,631.85,2024-06,234.46,-6.63,2024-03,0,,2.78,2,2023-03,2.08,-19.64,1.46,"CINELINE,"
