Sector: Mining,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Coal India Ltd.,COALINDIA,Mining & Minerals,321263.03,2,2024-03,6289.02,297316.88,2024-06,142805.38,34955.94,2024-06,9.05,0.55,3.43,2,2024-03,0.08,52.06,64.47,"COALINDIA,"
NMDC Ltd.,NMDC,Mining & Minerals,65821.41,2,2024-03,3356.54,56814.3,2024-06,21327.38,5874.61,2024-06,11.17,3.14,2.38,2,2023-03,0.02,27.26,36.04,"NMDC,"
KIOCL Ltd.,KIOCL,Mining & Minerals,25574.17,1,2024-03,63.76,25180.97,2024-03,1854.35,-83.31,2024-03,0,,13.33,1,2023-03,0.21,-4.71,-4.77,"KIOCL,"
Gujarat Mineral Development Corporation Ltd.,GMDCLTD,Mining & Minerals,11525.91,2,2024-03,,11015.51,2024-06,2515.88,582.51,2024-06,19.78,0.69,1.83,2,2023-03,0,22.85,31.27,"GMDCLTD,"
MOIL Ltd.,MOIL,Mining & Minerals,8625.74,1,2024-03,,7835.63,2024-06,1562.55,359.12,2024-06,24.02,,3.31,1,2023-03,0,11.43,15.25,"MOIL,"
Sandur Manganese & Iron Ores Ltd.,SANDUMA,Mining & Minerals,8484.96,2,2024-03,130.85,8556.19,2024-06,1491.27,345.22,2024-06,24.65,0.41,3.68,2,2023-03,0.11,20.81,27.58,"SANDUMA,"
The Orissa Minerals Development Company Ltd.,ORISSAMINE,Mining & Minerals,4222.32,1,2023-03,173.6,4316.24,2023-12,55.26,-10.55,2023-12,0,0,-179.89,1,2023-03,-13.56,0,-1.12,"ORISSAMINE,"
Ashapura Minechem Ltd.,ASHAPURMIN,Mining & Minerals,3087.66,2,2024-03,981.62,3924.39,2024-03,2725.21,231.09,2024-03,10.76,0.25,3.35,2,2023-03,1.15,18.66,16.08,"ASHAPURMIN,"
Raghav Productivity Enhancers Ltd.,RPEL,Mining & Minerals,2459.26,2,2024-03,8.74,2463.02,2024-06,147.52,28.52,2024-06,86.23,,14.78,2,2024-03,0.06,17.83,22.89,"RPEL,"
Deccan Gold Mines Ltd.,512068,Mining & Minerals,2164.8,2,2024-03,99.51,2254.68,2024-03,4.23,-24.58,2024-03,0,0,10.13,2,2023-03,0.02,-2.86,-2.38,"512068,"
20 Microns Ltd.,20MICRONS,Mining & Minerals,1043.07,2,2024-03,115.62,1098.39,2024-06,817.48,58.94,2024-06,17.68,0.97,2.81,2,2024-03,0.33,17.37,21.63,"20MICRONS,"
RAW Edge Industrial Solutions Ltd.,541634,Mining & Minerals,37.78,1,2024-03,23.18,60.88,2024-06,44.01,-0.52,2024-06,0,,1.74,1,2024-03,1.06,-2.64,3.26,"541634,"
Rajdarshan Industries Ltd.,ARENTERP,Mining & Minerals,18.94,2,2024-03,0.5,17.79,2024-03,1.58,0.72,2024-03,26.34,,0.88,2,2023-03,0,1.4,1.5,"ARENTERP,"
Kachchh Minerals Ltd.,531778,Mining & Minerals,15.42,1,2024-03,0.28,15.7,2024-03,2.61,0.62,2024-03,24.98,2.11,7.67,1,2023-03,0.48,-7,-2.36,"531778,"
