Sector: Miscellaneous,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Awfis Space Solutions Ltd.,AWFIS,Miscellaneous,4664.66,2,2024-03,32.17,4691.95,2024-03,848.82,-17.57,2024-03,0,,5.06,2,2023-03,0.07,0,18.17,"AWFIS,"
Vaarad Ventures Ltd.,532320,Miscellaneous,352.86,2,2024-03,3.52,356.35,2024-03,0,-0.27,2024-03,0,,15.67,2,2023-03,0.15,-0.99,-0.86,"532320,"
PE Analytics Ltd.,PROPEQUITY,Miscellaneous,283.02,1,2024-03,,283.02,2024-03,22.01,9.07,2024-03,31.21,,4.41,2,2023-03,0,17.56,23.55,"PROPEQUITY,"
Indiabulls Enterprises Ltd.,IEL,Miscellaneous,217.77,2,2024-03,251.27,460.87,2024-06,55.38,-28.01,2024-06,0,,0.9,2,2023-03,0.21,0.83,2.32,"IEL,"
Shree OSFM E-Mobility Ltd.,SHREEOSFM,Miscellaneous,211.97,1,2024-03,10.99,222.96,2024-03,118.19,8.1,2024-03,26.16,,4.71,1,2023-03,0.45,16.35,19.56,"SHREEOSFM,"
Qualitek Labs Ltd.,544091,Miscellaneous,207.19,1,2024-03,12.25,217.66,2024-03,29.18,4.31,2024-03,48.1,,6.39,1,2023-03,2.38,50.49,17.79,"544091,"
Adtech Systems Ltd.,544185,Miscellaneous,144.28,1,2023-03,11.57,149,,,,2023-03,40.15,,3.18,1,2023-03,0.25,8.14,10.79,"544185,"
Kontor Space Ltd.,KONTOR,Miscellaneous,92.7,1,2024-03,4.65,97.35,2024-03,11.03,1.95,2024-03,47.56,,4.46,1,2023-03,1.19,69.59,48.43,"KONTOR,"
Graphisads Ltd.,GRAPHISAD,Miscellaneous,89.37,1,2024-03,8.2,97.58,2024-03,78.22,2.78,2024-03,32.13,,4.89,2,2023-03,0.69,13.58,14.65,"GRAPHISAD,"
Modipon Ltd.,503776,Miscellaneous,66.86,1,2024-03,44.81,111.61,2024-03,0,-0.59,2024-03,0,0,-0.73,1,2023-03,-0.49,0,0,"503776,"
Associated Coaters Ltd.,544183,Miscellaneous,27.99,1,2024-03,0.35,28.34,2024-03,5.38,1.01,2024-03,27.82,,4.17,1,2023-03,0.14,125.71,138.94,"544183,"
Square Four Projects India Ltd.,526532,Miscellaneous,17.56,2,2024-03,4.07,21.63,2024-03,0,-0.16,2024-03,0,,0.89,2,2023-03,0.19,-0.51,-0.4,"526532,"
Triliance Polymers Ltd.,509046,Miscellaneous,12.27,1,2024-03,0.14,12.41,2024-06,0,-0.09,2024-06,0,,2.65,1,2023-03,0.01,-8.11,-8.02,"509046,"
Manor Estates & Industries Ltd.,526115,Miscellaneous,6.3,1,2024-03,0.71,7.01,2024-03,0,-0.56,2024-03,0,,-2.23,1,2023-03,-0.31,0,0,"526115,"
Multipurpose Trading & Agencies Ltd.,504356,Miscellaneous,4.96,1,2023-09,0.13,5.09,2024-03,0.35,0.19,2024-03,25.72,2.57,1,1,2023-03,0.02,4.2,4.27,"504356,"
3rd Rock Multimedia Ltd.,3RDROCK,Miscellaneous,0,1,2024-03,1.5,0,2024-03,4.85,-0.03,-0,,,,1,2014-03,0,7.6,11.7,"3RDROCK,"
