Sector: Other,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Hindustan Aeronautics Ltd.,HAL,Defence,314217.25,2,2024-03,49.02,287834.66,2024-03,30381.08,7370.69,2024-03,41.23,1.54,10.78,2,2024-03,0,28.92,38.89,"HAL,"
Bharat Dynamics Ltd.,BDL,Defence,48980.08,1,2024-03,,44751.6,2024-06,2262.72,578.12,2024-06,84.72,,13.44,1,2023-03,0,11.35,15.69,"BDL,"
Data Patterns (India) Ltd.,DATAPATTNS,Defence,16758.52,1,2024-03,0,16365.83,2024-06,534.19,188.65,2024-06,88.83,0.54,12.35,1,2024-03,0,14.59,20.19,"DATAPATTNS,"
RattanIndia Enterprises Ltd.,RTNINDIA,Professional Services,11109.3,2,2024-03,1156.22,12100.99,2024-06,6836.07,1097.57,2024-06,10.11,1.07,6.57,2,2023-03,2.29,-51.62,-20.7,"RTNINDIA,"
Latent View Analytics Ltd.,LATENTVIEW,Business Support,9765.33,2,2024-03,0.24,9349.77,2024-06,671.89,164.71,2024-06,59.29,2.92,6.94,2,2024-03,0,12.34,15.51,"LATENTVIEW,"
VA Tech Wabag Ltd.,WABAG,Environmental Services,8086,2,2024-03,280.6,7856.9,2024-06,2930.1,257.5,2024-06,32.28,1.74,4.31,2,2024-03,0.15,14.76,20.64,"WABAG,"
Astra Microwave Products Ltd.,ASTRAMICRO,Defence,7778.37,2,2024-03,236.83,7884.29,2024-03,908.82,109.04,2024-03,64.25,0.98,8.05,2,2024-03,0.25,15.05,18.78,"ASTRAMICRO,"
SIS Ltd.,SIS,Professional Services,6026.36,2,2024-03,1508.6,6794.44,2024-06,12414.55,138.22,2024-06,36.58,,2.48,2,2024-03,0.64,8.13,10.8,"SIS,"
TeamLease Services Ltd.,TEAMLEASE,Professional Services,5263.42,2,2024-03,30.52,4872.53,2024-06,9729.78,106.27,2024-06,49.4,5.41,6.44,2,2023-03,0.02,14.94,15.6,"TEAMLEASE,"
Paras Defence And Space Technologies Ltd.,PARAS,Defence,4597.13,2,2024-03,64.61,4650.33,2024-06,288.75,38.32,2024-06,112.4,14.92,11.03,2,2023-03,0.04,10.16,14.49,"PARAS,"
