Sector: Paper,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Century Textiles & Industries Ltd.,CENTURYTEX,Paper & Paper Products,24547.92,2,2024-03,2481.54,26627.96,2024-06,5210.13,260.21,2024-06,380.76,,6.13,2,2024-03,0.63,7.76,8.53,"CENTURYTEX,"
JK Paper Ltd.,JKPAPER,Paper & Paper Products,8144.86,2,2024-03,2139.2,10210.58,2024-06,6788.52,961.43,2024-06,8.55,0.4,1.56,2,2024-03,0.42,24.9,21.91,"JKPAPER,"
West Coast Paper Mills Ltd.,WSTCSTPAPR,Paper & Paper Products,3810.36,2,2024-03,256.69,4023.58,2024-06,4269.4,629.25,2024-06,6.8,0.37,1.13,2,2024-03,0.08,27.03,34.27,"WSTCSTPAPR,"
Seshasayee Paper and Boards Ltd.,SESHAPAPER,Paper & Paper Products,2093.86,2,2024-03,21,1506.4,2024-06,1797.49,224.73,2024-06,8.87,1.25,1.07,2,2024-03,0.01,15.27,20.12,"SESHAPAPER,"
Andhra Paper Ltd.,ANDHRAPAP,Paper & Paper Products,2082.96,1,2024-03,108.06,2164.76,2024-06,1638.88,248.88,2024-06,8.37,0.79,1.08,1,2024-03,0.06,19.55,25.34,"ANDHRAPAP,"
Tamil Nadu Newsprint & Papers Ltd.,TNPL,Paper & Paper Products,1607.07,1,2024-03,1796.18,3355.23,2024-03,4692.82,208.15,2024-03,7.72,0.12,0.77,1,2023-03,0.96,21.96,20.6,"TNPL,"
Kuantum Papers Ltd.,KUANTUM,Paper & Paper Products,1287.57,1,2024-03,512.5,1722.15,2024-06,1179.24,156.88,2024-06,8.21,0.44,1.11,1,2024-03,0.46,17.59,18.69,"KUANTUM,"
Pakka Ltd.,PAKKA,Paper & Paper Products,1176.68,2,2024-03,183.63,1290.24,2024-06,395.77,37.62,2024-06,31.28,,4.52,2,2023-03,0.51,25.04,27.04,"PAKKA,"
Satia Industries Ltd.,SATIA,Paper & Paper Products,1156.5,1,2024-03,300.62,1436.97,2024-06,1638.98,178.1,2024-06,6.49,0.28,1.18,1,2023-03,0.57,30.07,20.58,"SATIA,"
Orient Paper & Industries Ltd.,ORIENTPPR,Paper & Paper Products,1020.19,1,2024-03,317.39,1334.8,2024-06,826.96,-32.38,2024-06,0,,0.63,1,2024-03,0.2,0.4,2.29,"ORIENTPPR,"
Pudumjee Paper Products Ltd.,PDMJEPAPER,Paper & Paper Products,1014.54,1,2024-03,16.97,1024.13,2024-06,806.84,114.47,2024-06,8.86,0.21,1.95,1,2024-03,0.03,22.07,28.59,"PDMJEPAPER,"
Emami Paper Mills Ltd.,EMAMIPAP,Paper & Paper Products,786.49,1,2024-03,606.29,1387.47,2024-06,1918.3,95.76,2024-06,8.21,0.59,1.45,1,2024-03,0.78,17.1,12.21,"EMAMIPAP,"
