Sector: Plastic Products,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Supreme Industries Ltd.,SUPREMEIND,Plastic Products,64631.91,2,2024-03,0,63444.62,2024-06,10402.03,1004.48,2024-06,57.32,2.5,12.09,2,2024-03,0,22.49,29.89,"SUPREMEIND,"
Astral Ltd.,ASTRAL,Plastic Products,51282.24,2,2024-03,96.4,50769.04,2024-06,5741.9,545.9,2024-06,93.8,4.12,15.52,2,2024-03,0.03,18.52,25.13,"ASTRAL,"
Finolex Industries Ltd.,FINPIPE,Plastic Products,17556.39,2,2024-03,381.95,17906.69,2024-06,4278.75,827.84,2024-06,20.44,,2.86,2,2023-03,0.11,5.68,7.23,"FINPIPE,"
Time Technoplast Ltd.,TIMETECHNO,Plastic Products,7844.94,2,2024-03,744.61,8436.08,2024-06,5143.23,339.28,2024-06,23.51,5.93,2.98,2,2023-03,0.36,10.34,13.73,"TIMETECHNO,"
Responsive Industries Ltd.,RESPONIND,Plastic Products,7557.02,2,2024-03,205.53,7741.2,2024-06,1143.71,179.64,2024-06,42.18,4.85,6.37,2,2023-03,0.26,2.48,4.62,"RESPONIND,"
Garware Hi-Tech Films Ltd.,GRWRHITECH,Plastic Products,7203.09,2,2024-03,,7090.42,2024-06,1771.78,247.95,2024-06,29.05,0.76,3.38,2,2023-03,0.08,9.32,12.07,"GRWRHITECH,"
EPL Ltd.,EPL,Plastic Products,6933.22,2,2024-03,804,7529.92,2024-03,3916.1,206.6,2024-03,32.52,4.26,3.37,2,2024-03,0.39,10.48,13.58,"EPL,"
Prince Pipes and Fittings Ltd.,PRINCEPIPE,Plastic Products,6503.76,1,2024-03,114.44,6540.48,2024-06,2619.67,187.59,2024-06,34.67,3.22,4.14,1,2023-03,0.04,9.24,12.4,"PRINCEPIPE,"
Jai Corp Ltd.,JAICORPLTD,Plastic Products,6227.88,2,2024-03,0,6218.91,2024-03,463.06,54.6,2024-03,118.61,31.48,4.19,2,2024-03,0,3.62,4.94,"JAICORPLTD,"
Jain Irrigation Systems Ltd.,JISLJALEQS,Plastic Products,4437.32,2,2024-03,3941.39,8270.86,2024-06,5924.12,64.79,2024-06,189.63,,0.82,2,2024-03,0.73,1.73,5.92,"JISLJALEQS,"
Shaily Engineering Plastics Ltd.,SHAILY,Plastic Products,4195.73,2,2024-03,208.35,4377.72,2024-06,665.95,62.09,2024-06,67.57,,8.8,2,2023-03,0.46,9.15,11.4,"SHAILY,"
Uflex Ltd.,UFLEX,Plastic Products,3931.19,2,2024-03,6719.64,9577.58,2024-06,13759.12,-363.19,2024-06,0,0,0.54,2,2023-03,0.73,6.78,9.32,"UFLEX,"
Polyplex Corporation Ltd.,POLYPLEX,Plastic Products,3564.61,2,2024-03,728.14,3586.54,2024-03,6306.87,86.38,2024-03,94.23,5.57,1.02,2,2023-03,0.23,18.11,17.5,"POLYPLEX,"
Ddev Plastiks Industries Ltd.,543547,Plastic Products,3535.28,1,2024-03,66.05,3601.33,2024-06,2418.58,186.31,2024-06,18.98,,5.03,1,2023-03,0.11,23.75,32.42,"543547,"
Kingfa Science & Technology (India) Ltd.,KINGFA,Plastic Products,3440.28,1,2024-03,29.64,3464.81,2024-06,1565.49,126.56,2024-06,27.18,1.01,5.48,1,2023-03,0.08,19.14,24.98,"KINGFA,"
Jindal Poly Films Ltd.,JINDALPOLY,Plastic Products,3372.21,2,2024-03,4430.14,7686.7,2024-03,3925.57,72.11,2024-03,47.16,1.3,0.79,2,2023-03,0.97,7.93,9.12,"JINDALPOLY,"
Huhtamaki India Ltd.,HUHTAMAKI,Plastic Products,3186.65,1,2024-06,208.78,3166.15,2024-06,2515.78,424.26,2024-06,7.51,2.66,2.71,1,2023-12,0.17,43.2,43,"HUHTAMAKI,"
Nilkamal Ltd.,NILKAMAL,Plastic Products,2703.59,2,2024-03,247.44,2866.49,2024-06,3155.94,99.73,2024-06,25.01,30.34,1.9,2,2024-03,0.18,8.99,12.71,"NILKAMAL,"
Tarsons Products Ltd.,TARSONS,Plastic Products,2590.35,2,2024-03,256.78,2824.52,2024-03,296.39,42.64,2024-03,60.75,,4.23,1,2023-03,0.19,15.24,19,"TARSONS,"
Mold-Tek Packaging Ltd.,MOLDTKPAC,Plastic Products,2582.05,1,2024-03,126.26,2706.7,2024-06,709.46,64.38,2024-06,40.11,1.96,4.23,1,2023-03,0.08,16.14,19.27,"MOLDTKPAC,"
Xpro India Ltd.,XPROINDIA,Plastic Products,2405.52,2,2024-03,36.73,2121.18,2024-06,473.05,46.6,2024-06,51.61,0.52,4.58,2,2024-03,0.07,12.29,15.04,"XPROINDIA,"
Apollo Pipes Ltd.,APOLLOPIPE,Plastic Products,2328.39,2,2024-03,63.21,2335.6,2024-03,986.95,42.82,2024-03,54.37,33.48,3.34,1,2023-03,0.1,5.57,8.93,"APOLLOPIPE,"
Cosmo First Ltd.,COSMOFIRST,Plastic Products,2327.3,2,2024-03,977.82,3269.8,2024-06,2619.35,79.24,2024-06,29.37,83.68,1.71,2,2024-03,0.74,4.75,7.17,"COSMOFIRST,"
Ester Industries Ltd.,ESTER,Plastic Products,1234.09,2,2024-03,772.52,1889.73,2024-06,1092.01,-115.08,2024-06,0,0,1.72,2,2023-03,1.1,1.71,4.28,"ESTER,"
Prakash Pipes Ltd.,PPL,Plastic Products,1166.14,1,2024-03,40.18,989.88,2024-03,669.35,89.64,2024-03,13.01,,3.19,1,2023-03,0.03,27.74,35.07,"PPL,"
Kriti Industries (India) Ltd.,KRITI,Plastic Products,1132.94,2,2024-03,125.96,1238.25,2024-06,844.24,27.8,2024-06,40.6,1.37,6.85,2,2024-03,0.83,15.52,19.38,"KRITI,"
Wim Plast Ltd.,526586,Plastic Products,856.5,2,2024-03,0,847.49,2024-06,355.24,58.28,2024-06,14.7,2.02,1.7,2,2024-03,0,11.93,15.77,"526586,"
Shri Jagdamba Polymers Ltd.,512453,Plastic Products,834.42,1,2024-03,23.84,858.26,2024-03,361.94,32.27,2024-03,25.85,2.02,3.41,1,2023-03,0.09,15.15,19.74,"512453,"
