Sector: Realty,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
DLF Ltd.,DLF,Construction - Real Estate,201366.61,2,2024-03,4598.71,201580.97,2024-06,6366.12,1697.66,2024-06,70.76,3.93,5.06,2,2024-03,0.12,4.23,5.91,"DLF,"
Macrotech Developers Ltd.,LODHA,Construction - Real Estate,130266.56,2,2024-03,7679.9,135311.66,2024-06,11545.2,1862.7,2024-06,70.57,382.89,7.5,2,2024-03,0.45,10.72,10.91,"LODHA,"
Godrej Properties Ltd.,GODREJPROP,Construction - Real Estate,80685.18,2,2024-03,10513.12,88277.93,2024-06,2838.53,1215.06,2024-06,72.02,3.07,7.64,2,2024-03,1.05,7.77,6.38,"GODREJPROP,"
Prestige Estates Projects Ltd.,PRESTIGE,Construction - Real Estate,71303.27,2,2024-03,11462.3,80207.37,2024-06,8058.3,1615.1,2024-06,53.22,4.71,6.14,2,2023-03,0.81,11.19,13.18,"PRESTIGE,"
Oberoi Realty Ltd.,OBEROIRLTY,Construction - Real Estate,63292.24,2,2024-03,2495.22,65020.29,2024-06,4990.98,2180.09,2024-06,28.91,1.54,4.39,2,2024-03,0.18,14.79,16.58,"OBEROIRLTY,"
The Phoenix Mills Ltd.,PHOENIXLTD,Construction - Real Estate,61188.42,2,2024-03,4611.92,65090.7,2024-06,4071.2,1350.05,2024-06,56.07,2.27,6.26,2,2023-03,0.51,19.74,17.35,"PHOENIXLTD,"
NBCC (India) Ltd.,NBCC,Construction - Real Estate,31230,2,2024-03,,26039.06,2024-06,10634.53,443.99,2024-03,77.77,26.93,14.03,2,2023-03,0,14.98,30.34,"NBCC,"
Brigade Enterprises Ltd.,BRIGADE,Construction - Real Estate,25907.29,2,2024-03,5336.62,29506.64,2024-06,5320.44,459.68,2024-06,52.15,3.88,6.99,2,2024-03,1.47,11.7,12.64,"BRIGADE,"
Signatureglobal (India) Ltd.,SIGNATURE,Construction - Real Estate,20824.39,2,2024-03,1917.9,22006.18,2024-06,1475.31,30.3,2024-06,690.23,,32.87,2,2023-03,35.97,0,1.28,"SIGNATURE,"
Sobha Ltd.,SOBHA,Construction - Real Estate,18154.88,2,2024-03,1913.51,19395.09,2024-06,2829.43,43.12,2024-06,421.1,,4.02,2,2024-03,0.76,1.96,7.16,"SOBHA,"
Anant Raj Ltd.,ANANTRAJ,Construction - Real Estate,17330.44,2,2024-03,626.74,17635.95,2024-06,1638.97,305.83,2024-06,57.53,1.28,4.63,2,2024-03,0.17,8.16,8.63,"ANANTRAJ,"
Puravankara Ltd.,PURVA,Construction - Real Estate,11010.86,2,2024-03,3285.59,13365.32,2024-06,2520.33,80.63,2024-06,146.3,,5.8,2,2023-03,1.47,3.3,8.68,"PURVA,"
Valor Estate Ltd.,DBREALTY,Construction - Real Estate,10863.54,2,2024-03,2024.99,12082.3,2024-03,357.47,1323.23,2024-03,8.23,,2.17,2,2023-03,1.42,-5.3,-0.12,"DBREALTY,"
