Sector: Retailing,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Avenue Supermarts Ltd.,DMART,Retailing,320492.54,2,2024-03,0,319854.36,2024-06,52992.53,2650.58,2024-06,120.88,5.27,16.49,2,2024-03,0,14.62,20.24,"DMART,"
Trent Ltd.,TRENT,Retailing,226728.13,2,2024-03,498.56,226929.13,2024-06,13851.18,1549.42,2024-06,132.91,2.35,51.49,2,2024-03,0.12,44.35,59.75,"TRENT,"
Metro Brands Ltd.,METROBRAND,Footwear,34543.56,2,2024-03,,34431.3,2024-06,2350.26,411.63,2024-06,83.96,3.99,17.66,2,2023-03,0,25.97,39.24,"METROBRAND,"
Aditya Birla Fashion and Retail Ltd.,ABFRL,Retailing,31740.07,2,2024-03,4205.18,35482.86,2024-06,14227.62,-801.28,2024-06,0,,8.31,2,2023-03,0.82,-2.16,9.4,"ABFRL,"
Relaxo Footwears Ltd.,RELAXO,Footwear,19785.64,1,2024-03,18.54,19706.48,2024-06,2923.43,188.52,2024-06,104.95,38.82,9.7,1,2024-03,0.01,10.42,14.98,"RELAXO,"
Bata India Ltd.,BATAINDIA,Footwear,18034.34,2,2024-03,0,17626.38,2024-06,3465.1,329.68,2024-06,54.7,,10.6,2,2024-03,0,17.71,32.16,"BATAINDIA,"
Redtape Ltd.,REDTAPE,Retailing,9485.49,2,2024-03,160.56,9646.05,2024-03,1842.93,176.16,2024-03,53.82,,14.63,2,2023-03,0.17,29.82,37.05,"REDTAPE,"
Electronics Mart India Ltd.,EMIL,Retailing,8791.51,2,2024-03,712.81,9418.84,2024-06,6601.09,196.18,2024-06,44.81,2.36,6.1,2,2024-03,0.52,14.4,17.72,"EMIL,"
Campus Activewear Ltd.,CAMPUS,Footwear,8716.46,1,2024-03,24.3,8715.95,2024-06,1433.69,83.34,2024-06,104.59,,12.87,1,2023-03,0.33,24.11,27.76,"CAMPUS,"
Shoppers Stop Ltd.,SHOPERSTOP,Retailing,8449.07,2,2024-03,174.04,8606.37,2024-06,4392.29,40.04,2024-06,211.02,40.53,31.61,2,2024-03,0.6,31.99,87.64,"SHOPERSTOP,"
