Sector: Telecom,
Date: 13-Aug-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),Symbol with Comma for External Upload
Bharti Airtel Ltd.,BHARTIARTL,Telecommunication - Service  Provider,888237.07,2,2024-03,151916.5,1023813.67,2024-06,151048.8,8724.1,2024-06,88.7,1.72,10.13,2,2024-03,1.86,10.75,14.81,"BHARTIARTL,"
Indus Towers Ltd.,INDUSTOWER,Telecommunication - Service  Provider,109320.12,2,2024-03,4311.8,113568.82,2024-06,28907.7,6614.2,2024-06,16.53,0.85,3.78,2,2024-03,0.16,25.09,34.93,"INDUSTOWER,"
Vodafone Idea Ltd.,IDEA,Telecommunication - Service  Provider,105967.11,2,2024-03,207629.8,313060.71,2024-06,42504.5,-29825.7,2024-06,0,,-1.18,2,2024-03,-1.99,0,-4.03,"IDEA,"
Bharti Hexacom Ltd.,BHARTIHEXA,Telecommunication - Service  Provider,56142.5,1,2024-03,4834.6,60902.8,2024-03,7088.8,504.4,2024-03,111.31,4.57,5.98,1,2024-03,1.04,11.4,15.71,"BHARTIHEXA,"
Tata Communications Ltd.,TATACOMM,Telecommunication - Service  Provider,52619.55,2,2024-03,10117.76,61894.86,2024-06,21830.83,906.25,2024-06,57.23,0.77,24.92,2,2024-03,5.68,57.55,17.25,"TATACOMM,"
ITI Ltd.,ITI,Telecommunication - Equipment,27510.19,2,2024-03,1795.46,28473.23,2024-06,1626.57,-557.51,2024-06,0,,16.25,2,2023-03,0.83,-14.98,-3.55,"ITI,"
Tejas Networks Ltd.,TEJASNET,Telecommunication - Equipment,20638.99,2,2024-03,1744.09,22081.18,2024-06,3845.56,166.75,2024-06,123.77,,6.68,2,2024-03,0.58,2.13,3.77,"TEJASNET,"
HFCL Ltd.,HFCL,Telecom-Infrastructure,19692.48,2,2024-03,977.26,20333.39,2024-06,4628.1,371.99,2024-06,52.79,3.95,4.77,2,2023-03,0.3,10.82,15.38,"HFCL,"
Tata Teleservices (Maharashtra) Ltd.,TTML,Telecommunication - Service  Provider,17670.59,1,2024-03,19954.42,37592.52,2024-06,1229.64,-1250.66,2024-06,0,,-0.9,1,2024-03,-1.04,0,53.41,"TTML,"
Railtel Corporation Of India Ltd.,RAILTEL,Telecommunication - Service  Provider,15175.57,1,2024-03,,14690.42,2024-06,2658.32,256.49,2024-06,59.17,14.12,8.09,2,2023-03,0,11.91,16.81,"RAILTEL,"
Black Box Ltd.,BBOX,Telecommunication - Equipment,8897.9,2,2024-03,397.3,9072.55,2024-03,6281.58,136,2024-03,64.63,0.45,18.5,2,2023-03,1.19,8.75,23.8,"BBOX,"
Bondada Engineering Ltd.,543971,Telecom-Infrastructure,6931.34,1,2024-03,62.51,6943.5,2024-03,741.42,40.61,2024-03,170.68,,44.13,2,2024-03,0.39,38.48,36.41,"543971,"
