Confirmed list of securities to be auctioned in A 2024155 to be held on Aug 20 2024.

Sr No,Symbol,Series,Total Qty
1,ABAN,EQ,17117
2,ABCAPITAL,EQ,41
3,ABDL,EQ,50
4,ABSLAMC,EQ,10
5,ACC,EQ,13
6,ADVANIHOTR,EQ,886
7,AKSHAR,EQ,150000
8,AKUMS,EQ,2095
9,ALKYLAMINE,EQ,5
10,ALLCARGO,EQ,35
11,AMBICAAGAR,EQ,30
12,AMNPLST,EQ,20
13,AMRUTANJAN,EQ,100
14,APOLLOHOSP,EQ,72
15,ASHOKA,EQ,150
16,ASHOKAMET,EQ,1
17,ASIANPAINT,EQ,50
18,ASTRAL,EQ,8
19,ASTRAMICRO,EQ,1
20,AUBANK,EQ,1
21,AURIONPRO,EQ,11
22,AUROPHARMA,EQ,39
23,AURUM,EQ,3951
24,AURUMPP1,E1,2
25,AXISBANK,EQ,329
26,BALMLAWRIE,EQ,100
27,BANDHANBNK,EQ,1
28,BBTC,EQ,6
29,BDL,EQ,130
30,BECTORFOOD,EQ,34
31,BEL,EQ,250
32,BHARATWIRE,EQ,9
33,BIKAJI,EQ,85
34,BPCL,EQ,20
35,CAMLINFINE,EQ,2
36,CAMS,EQ,40
37,CAPLIPOINT,EQ,20
38,CASTROLIND,EQ,1250
39,CDSL,EQ,5
40,CENTEXT,EQ,980
41,CESC,EQ,1000
42,CHAVDA,SM,1000
43,CHEMFAB,EQ,3
44,COCHINSHIP,EQ,1423
45,DALMIASUG,EQ,5
46,DCBBANK,EQ,2
47,DCW,EQ,150
48,DENORA,EQ,15
49,DHUNINV,EQ,60
50,DIXON,EQ,30
51,DUCON,EQ,2844
52,DWARKESH,EQ,2800
53,EASEMYTRIP,EQ,100
54,EMBDL,EQ,100
55,EMCURE,EQ,60
56,EPL,EQ,800
57,FEDERALBNK,EQ,3150
58,FIEMIND,EQ,120
59,FIRSTCRY,EQ,1
60,FOODSIN,EQ,23
61,FSL,EQ,2505
62,GANECOS,EQ,1
63,GEEKAYWIRE,EQ,600
64,GENUSPOWER,EQ,9261
65,GIPCL,EQ,100
66,GLAND,EQ,2
67,GLENMARK,EQ,19
68,GLOBAL,EQ,1
69,GMRP&UI,EQ,10864
70,GODFRYPHLP,EQ,1007
71,GOPAL,EQ,20
72,GPPL,EQ,35
73,GRAVITA,EQ,20
74,GRMOVER,EQ,2100
75,GTLINFRA,EQ,3286
76,GVPTECH,EQ,131
77,HCLTECH,EQ,9
78,HEROMOTOCO,EQ,30
79,HINDCON,EQ,540
80,HINDCOPPER,EQ,5
81,HINDOILEXP,EQ,500
82,HINDUNILVR,EQ,350
83,HINDZINC,EQ,2400
84,HIRECT,EQ,135
85,HLVLTD,EQ,16516
86,IEL,EQ,552
87,IEX,EQ,1225
88,IIFL,EQ,5
89,IIFLSEC,EQ,5
90,IMAGICAA,EQ,1000
91,INDUSTOWER,EQ,754
92,INSECTICID,EQ,25
93,INTELLECT,EQ,1
94,INTLCONV,EQ,2
95,IOC,EQ,15
96,IRCTC,EQ,876
97,JAGSNPHARM,EQ,1
98,JHS,EQ,268
99,JINDWORLD,EQ,100
100,JIOFIN,EQ,11
101,JISLJALEQS,EQ,100
102,JUBLPHARMA,EQ,135
103,JYOTISTRUC,EQ,1000
104,KARURVYSYA,EQ,200
105,KCPSUGIND,EQ,1501
106,KELLTONTEC,EQ,200
107,KERNEX,EQ,486
108,KEYFINSERV,EQ,82
109,KIRIINDUS,EQ,300
110,KITEX,EQ,10
111,KOTAKBANK,EQ,1605
112,KPRMILL,EQ,1082
113,KRITI,EQ,3
114,LICHSGFIN,EQ,247
115,LINCOLN,EQ,3
116,LIQUIDIETF,EQ,5
117,LTFOODS,EQ,50
118,MADRASFERT,EQ,300
119,MAGADSUGAR,EQ,2
120,MANCREDIT,EQ,1
121,MAPMYINDIA,EQ,5
122,MARKSANS,EQ,101
123,MAZDOCK,EQ,25
124,METROPOLIS,EQ,64
125,MITTAL,EQ,1653
126,MOM100,EQ,1
127,MOMOMENTUM,EQ,1040
128,MOREPENLAB,EQ,2000
129,MOTHERSON,EQ,50
130,MSPL,EQ,9309
131,MUTHOOTFIN,EQ,1
132,NAHARINDUS,EQ,25
133,NAM-INDIA,EQ,3
134,NATIONALUM,EQ,374
135,NCC,EQ,993
136,NHPC,EQ,250
137,NITCO,EQ,3
138,NMDC,EQ,2000
139,NORBTEAEXP,EQ,233
140,NUVAMA,EQ,143
141,OIL,EQ,1
142,OLAELEC,EQ,648730
143,ORIANA,SM,150
144,ORIENTPPR,EQ,200
145,OSWALAGRO,EQ,1
146,OSWALGREEN,EQ,8
147,PCJEWELLER,EQ,4323
148,PENIND,EQ,2
149,PETRONET,EQ,1
150,PIDILITIND,EQ,61
151,PNBHOUSING,EQ,2413
152,PODDARMENT,EQ,10
153,POLYCAB,EQ,75
154,PONNIERODE,EQ,203
155,PRAJIND,EQ,80
156,PRITIKAUTO,EQ,116
157,PROPEQUITY,SM,600
158,PTC,EQ,245
159,PVRINOX,EQ,100
160,PVSL,EQ,97
161,RADHIKAJWE,EQ,185701
162,RAMCOSYS,EQ,11
163,REDINGTON,EQ,1
164,REDTAPE,EQ,50
165,RELIANCE,EQ,10
166,RELTD,EQ,308
167,ROHLTD,EQ,1580
168,ROTO,EQ,1
169,RPOWER,EQ,88616
170,RPSGVENT,EQ,100
171,SALASAR,EQ,4654
172,SAMHI,EQ,150
173,SAMMAANCAP,EQ,1105
174,SANGAMIND,EQ,2
175,SANSTAR,EQ,1
176,SARDAEN,EQ,1
177,SARVESHWAR,EQ,1
178,SDBL,EQ,1000
179,SENSEXADD,EQ,3
180,SHK,EQ,100
181,SILVERADD,EQ,30
182,SJS,EQ,1
183,SJVN,EQ,300
184,SMSPHARMA,EQ,3
185,SOBHA,EQ,557
186,SOMANYCERA,EQ,35
187,SOTL,EQ,4
188,SPAL,EQ,1
189,STEELXIND,EQ,435
190,STERTOOLS,EQ,48485
191,STYRENIX,EQ,20
192,SUBROS,EQ,5
193,SUPERHOUSE,EQ,67
194,SURANASOL,EQ,1032
195,SURYODAY,EQ,1
196,SUVEN,EQ,48
197,SYMPHONY,EQ,30
198,TASTYBITE,EQ,9
199,TATAMOTORS,EQ,1
200,TATASTEEL,EQ,85
201,TATSILV,EQ,1
202,TCS,EQ,96
203,TEXRAIL,EQ,200
204,THOMASCOOK,EQ,2148
205,TREJHARA,EQ,16
206,TRIVENI,EQ,250
207,TRU,EQ,2162
208,TV18BRDCST,EQ,7
209,UCOBANK,EQ,12
210,UNIECOM,EQ,27814
211,UPL,EQ,28
212,URJA,EQ,125557
213,VARDMNPOLY,EQ,10644
214,VEDL,EQ,650
215,VENUSREM,EQ,1
216,VINNY,EQ,144852
217,VISHNU,EQ,2
218,VOLTAMP,EQ,2
219,VOLTAS,EQ,5
220,WABAG,EQ,25
221,WALCHANNAG,EQ,2954
222,WANBURY,EQ,256
223,WSTCSTPAPR,EQ,120
224,ZENSARTECH,EQ,50
225,ZENTEC,EQ,1
226,ZOTA,EQ,99
227,ZTECH,SM,1200
228,ZYDUSLIFE,EQ,63
