ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF209K01165,BSL201G,GR,OMF,9,905.61
INF209K01157,BSL201D,DP,OMF,9,150.74
INF209K01VG0,B201DZ,DP,OMF,9,230
INF209K01VH8,B201GZ,GR,OMF,9,1000.01
INF209K01587,BSL301QD,DP,OMF,9,13.34
INF209K01579,BSL301G,GR,OMF,9,117.71
INF209K01WY1,B301GZ,GR,OMF,9,126.46
INF209K01ME4,B501G,GR,GMF,10,643.24
INF209K01RU9,B153G,GR,GMF,10,396.38
INF209K01VA3,B153GZ,GR,GMF,10,400.71
INF209K01UZ2,B153DZ,DP,GMF,10,100.2
INF209K01VC9,B153WZ,DP,GMF,10,100.28
INF209K01VD7,B153Z,DP,GMF,10,202.34
INF084M01AU8,59A,DP,OMF,9,24.33
INF209K01AC3,BSL402AG,DP,GMF,10,76.75
INF209K01XP7,B402AZ,GR,GMF,10,82
INF209KA1LC4,B403DZ,DP,GMF,10,12.09
INF209K01314,BSL221D,DP,OMF,9,239.8
INF209K01322,BSL221G,GR,OMF,9,1388.45
INF209K01VT3,B221GZ,GR,OMF,9,1535.52
INF209K01Q06,B221DZ,DP,OMF,9,491.02
INF740K01565,DSPBRBDF,DP,OMF,9,11.58
INF740K01557,DSPBRBF,GR,OMF,9,75.9
INF740K01MZ3,DSPBDDGR,GR,OMF,9,80.34
INF740K01011,DSPBREF,DP,OMF,9,67.92
INF740K01037,DSPBREF,GR,OMF,9,101.19
INF740K01PI2,DSPEQDGR,GR,OMF,9,111.44
INF740K01PJ0,DSPEQDDP,DP,OMF,9,97.03
INF740K01NY4,DSPBLDGR,GR,OMF,9,374.5
INF740K01NZ1,DSPBLDDP,DP,OMF,9,71.06
INF740K01318,DSPBRBALF,GR,OMF,9,336.27
INF740K01326,DSPBRBALF,DP,OMF,9,30.37
INF740K01615,DSPBRGSF,GR,GMF,10,90.25
INF740K01607,DSPBRGSDF,DP,GMF,10,12.67
INF740K01NF3,DSPGSCDGR,GR,GMF,10,95.66
