1,AARTIPHARM,INE0LRU01027,655.35,20
2,DEEPAKNTR,INE288B01029,2869.65,20
3,TVSSCS,INE395N01027,195.34,20
4,NFL,INE870D01012,141.36,23.54
5,MARUTI,INE585B01010,12496.9,9
6,RAJESHEXPO,INE343B01030,295.45,20
7,BLUESTARCO,INE472A01039,1726.8,20
8,SGBJAN29IX,IN0020200377,7575,10
9,ITI,INE248A01017,302,22.85
10,BECTORFOOD,INE495P01012,1566.6,20
11,SGBMAR25,IN0020160126,7503.4,10
12,INDIAGLYCO,INE560A01015,1309.1,20
13,PGEL,INE457L01029,505.2,21.56
14,SGBSEP27,IN0020190115,7550,10
15,SGBNOV25VI,IN0020170083,7449.99,10
16,RECLTD,INE020B01018,617.35,21.19
17,SGBAUG27,IN0020190107,7600.7,10
18,SGBMAY26,IN0020180033,7490,10
19,FLUOROCHEM,INE09N301011,3269.85,20
20,PAGEIND,INE761H01022,41528.35,20
21,EICHERMOT,INE066A01021,4868.85,9.89
22,GUJALKALI,INE186A01019,791.8,20
23,NMDC,INE584A01023,229.65,20
24,KIRLOSENG,INE146L01010,1310.15,20
25,MOIL,INE490G01020,407.2,21.2
26,ANANTRAJ,INE242C01024,607.15,20
27,TIINDIA,INE974X01010,4158.65,20
28,CHAMBLFERT,INE085A01013,515.75,20
29,SGBNOV25,IN0020170091,7400,10
30,RCF,INE027A01015,203.21,22.55
31,NCC,INE868B01028,327.05,20.81
32,STOVEKRAFT,INE00IN01015,817.45,20
33,VENUSPIPES,INE0JA001018,2347.35,20
34,TITAN,INE280A01028,3551.25,9.24
35,BASF,INE373A01013,7019.35,20
36,NIFTYIETF,INF109K012R6,277.4,6
37,HDFCBANK,INE040A01034,1637.75,9
38,HINDALCO,INE038A01020,703.5,12.99
39,LIQUIDBEES,INF732E01037,1000,5
40,POWERINDIA,INE07Y701011,12176.15,20
41,TATACONSUM,INE192A01025,1209.6,9.02
42,SUBEXLTD,INE754A01055,30.45,21.59
43,SGBMAR30X,IN0020210319,7651.86,10
44,TANLA,INE483C01032,977.65,20
45,TORNTPHARM,INE685A01028,3362,20
46,YESBANK,INE528G01035,24.02,20
47,COLPAL,INE259A01022,3540.4,20
48,NRBBEARING,INE349A01021,323.1,20
49,ROSSARI,INE02A801020,921.95,20
50,SGBJUN30,IN0020220045,7768.8,10
51,SHRIRAMPPS,INE217L01019,129.86,20.65
52,SGBOCT25IV,IN0020170067,7398.79,10
