Confirmed list of securities to be auctioned in A 2024161 to be held on Aug 28 2024.

Sr No,Symbol,Series,Total Qty
1,AARTIDRUGS,EQ,8
2,AARTIIND,EQ,3
3,ABAN,EQ,1050
4,ABDL,EQ,500
5,ADANIENT,EQ,156
6,AFFLE,EQ,5
7,AGIIL,EQ,4
8,AHLEAST,EQ,3
9,AIAENG,EQ,1
10,AJOONI,EQ,5224
11,ALOKINDS,EQ,100
12,AMRUTANJAN,EQ,15
13,ANANDRATHI,EQ,1
14,ANUP,EQ,12
15,APARINDS,EQ,5
16,APOLLOTYRE,EQ,4
17,APTECHT,EQ,5
18,ARVIND,EQ,20
19,ARVSMART,EQ,40
20,ASHAPURMIN,EQ,1
21,ASHOKA,EQ,68
22,ASHOKLEY,EQ,60
23,ASIANENE,EQ,4
24,ASIANPAINT,EQ,316
25,ASTRAL,EQ,840
26,AUBANK,EQ,1
27,AVANTEL,EQ,246
28,AXISBANK,EQ,6
29,AXISBPSETF,EQ,836
30,BAGFILMS,EQ,75
31,BAJAJFINSV,EQ,598
32,BAJAJHIND,EQ,100
33,BAJFINANCE,EQ,212
34,BALKRISHNA,EQ,30
35,BALPHARMA,EQ,2
36,BALUFORGE,EQ,1
37,BANDHANBNK,EQ,1
38,BANSALWIRE,EQ,13
39,BECTORFOOD,EQ,151
40,BEML,EQ,300
41,BHARTIARTL,EQ,1
42,BLS,EQ,278
43,BOMDYEING,EQ,2535
44,BOROSCI,EQ,50
45,BPCL,EQ,16
46,BRITANNIA,EQ,144
47,BVCL,EQ,61
48,CENTRALBK,EQ,100
49,CENTURYTEX,EQ,1
50,CESC,EQ,1460
51,CHAMBLFERT,EQ,70
52,CHOLAFIN,EQ,1356
53,CONCOR,EQ,900
54,CONSOFINVT,EQ,203
55,CUB,EQ,50
56,CYBERMEDIA,EQ,104
57,DALBHARAT,EQ,126
58,DATAMATICS,EQ,69637
59,DAVANGERE,EQ,1000
60,DCAL,EQ,100
61,DCMSHRIRAM,EQ,50
62,DCW,EQ,125
63,DEEPAKNTR,EQ,1
64,DELTACORP,EQ,2000
65,DEVYANI,EQ,1
66,DLF,EQ,1836
67,DMART,EQ,10
68,DUCON,EQ,150576
69,DWARKESH,EQ,500
70,ECLERX,EQ,1
71,EDELWEISS,EQ,30
72,EICHERMOT,EQ,100
73,EIMCOELECO,EQ,40
74,ELECTCAST,EQ,10
75,EMBDL,EQ,710
76,EMMBI,EQ,2
77,ESSENTIA,EQ,8016
78,ETHOSLTD,EQ,2
79,FCSSOFT,EQ,15
80,FIRSTCRY,EQ,1
81,FMNL,EQ,50
82,GENUSPOWER,EQ,11
83,GESHIP,EQ,300
84,GICHSGFIN,EQ,1
85,GIPCL,EQ,540
86,GMRP&UI,EQ,2412
87,GNFC,EQ,10
88,GOLDIAM,EQ,26162
89,GREENPOWER,EQ,250
90,GSLSU,EQ,8
91,GSPL,EQ,35
92,GUFICBIO,EQ,1000
93,GUJGASLTD,EQ,126
94,HAL,EQ,100
95,HAVELLS,EQ,1109
96,HCLTECH,EQ,2
97,HDFCAMC,EQ,5
98,HDFCBANK,EQ,1
99,HDFCLIFE,EQ,2
100,HEXATRADEX,EQ,566
101,HFCL,EQ,100
102,HIL,EQ,200
103,HIMATSEIDE,EQ,5
104,HONASA,EQ,65
105,ICICIBANK,EQ,4
106,ICICIPRULI,EQ,1
107,IEL,EQ,220
108,IEX,EQ,1196
109,IMFA,EQ,1
110,INDIANHUME,EQ,1
111,INDIGO,EQ,3
112,INDUSINDBK,EQ,228
113,INDUSTOWER,EQ,1644
114,INFY,EQ,1799
115,INTERARCH,EQ,1000
116,IOB,EQ,1
117,IRFC,EQ,50
118,ISFT,EQ,158
119,ITI,EQ,50
120,JAYSREETEA,EQ,400
121,JETFREIGHT,EQ,926
122,JHS,EQ,11987
123,JMFINANCIL,EQ,249
124,JUBLPHARMA,EQ,50
125,JYOTICNC,EQ,10
126,KABRAEXTRU,EQ,3
127,KAMOPAINTS,EQ,25
128,KANANIIND,EQ,2
129,KIRIINDUS,EQ,10
130,KOKUYOCMLN,EQ,1000
131,KOPRAN,EQ,2
132,KOTAKBANK,EQ,557
133,KOTHARIPET,EQ,100
