2.5%GOLDBONDS2028SR-III       ,SGBJUN28  ,GB,N,0007529.99,0007505.00,0007569.85,0007482.01,0007530.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007530.00
2.5%GOLDBONDS2028SR-VIII      ,SGBN28VIII,GB,N,0007610.21,0007610.00,0007610.21,0007546.00,0007575.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007575.00
2.5%GOLDBONDS2029SR-I         ,SGBMAY29I ,GB,N,0007534.89,0007491.01,0007580.00,0007450.00,0007574.16,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007578.00
2.5%GOLDBONDS2029SR-II        ,SGBJUN29II,GB,N,0007520.93,0007520.00,0007580.00,0007520.00,0007579.65,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007580.00
2.5%GOLDBONDS2029SR-III       ,SGBJU29III,GB,N,0007534.97,0007460.00,0007599.00,0007460.00,0007547.54,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007559.00
2.5%GOLDBONDS2029SR-VI        ,SGBSEP29VI,GB,N,0007546.79,0007551.80,0007600.00,0007540.00,0007555.37,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007596.00
2.5%GOLDBONDS2029SR-VII       ,SGBNV29VII,GB,N,0007566.35,0007550.00,0007600.00,0007550.00,0007572.01,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007572.01
2.50% GOLDBONDS2024 TR-VI     ,SGBNOV24  ,GB,N,0007289.99,0007289.91,0007299.95,0007260.00,0007287.99,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007287.99
2.50% GOLDBONDS2025SR-III     ,SGBOCT25  ,GB,N,0007500.00,0007500.00,0007601.00,0007400.00,0007400.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007400.00
2.50% GOLDBONDS2025SR-IV      ,SGBOCT25IV,GB,N,0007398.79,0007398.79,0007500.00,0007398.00,0007500.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007500.00
2.50%GOLDBONDS 2025 SR-XI     ,SGBDEC25XI,GB,N,0007355.62,0007355.25,0007430.00,0007355.25,0007430.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007430.00
2.50%GOLDBONDS 2025TR-VII     ,SGBMAR25  ,GB,N,0007503.40,0007550.00,0007550.00,0007420.28,0007486.71,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007420.28
2.50%GOLDBONDS2025SR-XIII     ,SGBDEC2513,GB,N,0007500.00,0007495.00,0007495.00,0007495.00,0007495.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007495.00
2.50%GOLDBONDS2026SR-I        ,SGBMAY26  ,GB,N,0007490.00,0007455.00,0007729.99,0007455.00,0007729.99,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007729.99
2.50%GOLDBONDS2026SR-II       ,SGBOCT26  ,GB,N,0007405.00,0007405.00,0007405.00,0007405.00,0007405.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007405.00
2.50%GOLDBONDS2026SR-IV       ,SGBDEC26  ,GB,N,0007410.00,0007478.00,0007499.90,0007478.00,0007498.80,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007499.00
2.50%GOLDBONDS2026SR-XIV      ,SGBJAN26  ,GB,N,0007550.00,0007540.00,0007540.00,0007540.00,0007540.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007540.00
2.50%GOLDBONDS2027SR-I        ,SGBJUN27  ,GB,N,0007549.00,0007540.00,0007540.00,0007511.00,0007511.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007511.00
2.50%GOLDBONDS2027SR-II       ,SGBJUL27  ,GB,N,0007460.00,0007460.00,0007460.00,0007400.00,0007400.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007400.00
2.50%GOLDBONDS2027SR-III      ,SGBAUG27  ,GB,N,0007600.70,0007600.00,0007750.00,0007600.00,0007699.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007699.00
2.50%GOLDBONDS2027SR-V        ,SGBJAN27  ,GB,N,0007600.00,0007600.00,0007600.00,0007600.00,0007600.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007600.00
2.50%GOLDBONDS2027SR-V        ,SGBOCT27  ,GB,N,0007520.00,0007515.00,0007600.00,0007515.00,0007550.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007600.00
2.50%GOLDBONDS2027SR-VI       ,SGBFEB27  ,GB,N,0008109.09,0008110.00,0008110.00,0008110.00,0008110.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0008110.00
2.50%GOLDBONDS2027SR-VI       ,SGBOCT27VI,GB,N,0007510.15,0007600.00,0007600.00,0007600.00,0007600.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007600.00
2.50%GOLDBONDS2027SR-VII      ,SGBDC27VII,GB,N,0007690.00,0007670.00,0007974.99,0007670.00,0007974.99,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007974.99
2.50%GOLDBONDS2028SR-I        ,SGBAPR28I ,GB,N,0007592.99,0007639.00,0007639.00,0007528.80,0007617.68,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007618.00
2.50%GOLDBONDS2028SR-II       ,SGBMAY28  ,GB,N,0007515.21,0007515.21,0007528.00,0007490.00,0007519.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007519.00
2.50%GOLDBONDS2028SR-IV       ,SGBJUL28IV,GB,N,0007534.69,0007533.99,0007539.99,0007510.00,0007538.99,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007538.99
2.50%GOLDBONDS2028SR-IX       ,SGBFEB28IX,GB,N,0007579.00,0007510.00,0007550.00,0007510.00,0007550.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007550.00
2.50%GOLDBONDS2028SR-V        ,SGBAUG28V ,GB,N,0007629.14,0007629.13,0007629.13,0007601.11,0007613.46,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007610.00
2.50%GOLDBONDS2028SR-VI       ,SGBSEP28VI,GB,N,0007567.30,0007567.30,0007690.00,0007567.30,0007675.55,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007690.00
2.50%GOLDBONDS2028SR-VII      ,SGBOC28VII,GB,N,0007529.38,0007500.51,0007570.00,0007500.51,0007530.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007530.00
