Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28082024,1865492645,0002491
Trade Date <28-AUG-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,205,205,100.00
20,2,1003IIFL29,NC,179,152,84.92
20,3,1003ISFL28,N4,128,128,100.00
20,4,1015ECL29,NR,100,100,100.00
20,5,1015SCFL29,YY,103,103,100.00
20,6,1015SCL28A,AL,1,1,100.00
20,7,1015SCL28B,AZ,110,110,100.00
20,8,1018GS2026,GS,1405,1405,100.00
20,9,1025NFL25,N5,30,30,100.00
20,10,1025SCL34,Z8,60,60,100.00
20,11,1025SCL34A,ZT,1,1,100.00
20,12,1030ICC26,NJ,100,100,100.00
20,13,1030ICCL28,NM,1,1,100.00
20,14,1035UCL24,N6,145,145,100.00
20,15,1035UCL26,NA,474,421,88.82
20,16,1040UCL25,N4,136,136,100.00
20,17,1049DLS25A,Y5,447,374,83.67
20,18,1050IIFL29,ND,70,70,100.00
20,19,1050NFL26,N7,104,104,100.00
20,20,1050UCL25,N7,236,226,95.76
20,21,105IIFL29,N7,55,55,100.00
20,22,105UCL2026,NB,2,2,100.00
20,23,1060ECL29,NS,190,190,100.00
20,24,1065NFL27,NC,543,543,100.00
20,25,10CAGL27,N5,145,101,69.66
20,26,10IIFL28,N4,200,200,100.00
20,27,10IIFL28A,NE,679,415,61.12
20,28,10ISFL26,N3,30,15,50.00
20,29,10NIDO26,N6,110,110,100.00
20,30,11DLSL25,NV,10,10,100.00
20,31,182D031024,TB,400,400,100.00
20,32,182D050924,TB,16500,14400,87.27
20,33,182D120924,TB,100,100,100.00
20,34,182D191224,TB,500,500,100.00
20,35,182D221124,TB,100,100,100.00
20,36,20MICRONS,EQ,113578,64552,56.83
20,37,360ONE,EQ,785486,502861,64.02
20,38,364D020125,TB,2300,2300,100.00
20,39,364D071124,TB,100,100,100.00
20,40,364D100725,TB,100,100,100.00
20,41,364D120924,TB,3200,3200,100.00
20,42,364D150825,TB,300,300,100.00
20,43,364D211124,TB,100,100,100.00
20,44,364D230525,TB,100,100,100.00
20,45,3IINFOLTD,EQ,4120684,1213126,29.44
20,46,3MINDIA,EQ,3858,1717,44.50
20,47,574GS2026,GS,91,50,54.95
20,48,5PAISA,EQ,326495,58680,17.97
20,49,610GS2031,GS,2401,2401,100.00
20,50,63MOONS,EQ,56205,33211,59.09
20,51,654GS2032,GS,147301,147301,100.00
20,52,667GS2050,GS,2010,2005,99.75
20,53,695GS2061,GS,1511,1511,100.00
20,54,699GS2051,GS,3006,3003,99.90
20,55,702GS2027,GS,10585,10585,100.00
20,56,704GS2029,GS,7880,7800,98.98
20,57,704IRFC28,N6,2111,2000,94.74
20,58,704REC28,N4,5000,3000,60.00
20,59,706GS2028,GS,56750,56197,99.03
20,60,710GS2029,GS,10157,10157,100.00
20,61,717GS2030,GS,66918,56918,85.06
20,62,718GS2033,GS,180519,180519,100.00
20,63,718GS2037,GS,16785,16785,100.00
20,64,71GS2034,GS,5200,5200,100.00
20,65,723GS2039,GS,400,200,50.00
20,66,725GS2063,GS,59013,58513,99.15
20,67,726GS2029,GS,1,1,100.00
20,68,726GS2032,GS,85112,85112,100.00
20,69,726GS2033,GS,35000,35000,100.00
20,70,729IRFC26,NN,105,105,100.00
20,71,729NHAI26,NC,884,884,100.00
20,72,732GS2030,GS,550,400,72.73
20,73,732IRFC25,NI,32,32,100.00
20,74,734GS2064,GS,505,500,99.01
20,75,734IRFC28,N4,540,500,92.59
20,76,736GS2052,GS,206,206,100.00
20,77,736NTPC25D,NB,8,8,100.00
20,78,736PFCL28,N2,4,4,100.00
20,79,737GS2028,GS,38491,38491,100.00
20,80,737NTPC35C,NA,2,2,100.00
20,81,738GS2027,GS,58699,45950,78.28
20,82,739ML26,SG,11200,11200,100.00
20,83,739NHAI26,N8,1,1,100.00
20,84,73GS2053,GS,2900,2800,96.55
20,85,741GS2036,GS,7496,7496,100.00
20,86,743REC35,NH,50,50,100.00
20,87,746GS2073,GS,175105,175105,100.00
20,88,74GS2062,GS,19463,19463,100.00
20,89,753IRFC30,NJ,4,4,100.00
20,90,754GS2036,GS,377122,341305,90.50
20,91,764HUDCO31,N8,469,469,100.00
20,92,764IRFC31,NO,130,130,100.00
20,93,764NABAR31,N2,50,50,100.00
20,94,769HUDCO31,N9,100,100,100.00
20,95,769NHAI31,NE,405,405,100.00
20,96,76NHAI31,NA,2504,2204,88.02
20,97,774IREDA31,N7,200,200,100.00
20,98,77AP38,SG,100,100,100.00
20,99,794TN32,SG,4000,4000,100.00
20,100,797IGT31,NL,150,150,100.00
20,101,79NHIT35,N1,300,300,100.00
20,102,79NHIT40,N2,491,491,100.00
20,103,79NHIT47,N3,501,500,99.80
20,104,810IRFC27,N2,14818,14809,99.94
20,105,812REC27,NI,52,52,100.00
20,106,81TCHF28,N8,26,26,100.00
20,107,824GS2027,GS,2976,2976,100.00
20,108,825IIFL25,N7,14,14,100.00
20,109,829LTF24,NL,3,3,100.00
20,110,82HUDCO27,N2,1315,1315,100.00
20,111,82IGT31,NJ,2767,2510,90.71
20,112,82SCL24,NO,68,68,100.00
20,113,830NHAI27,N2,11227,11197,99.73
20,114,830PFCL27,N5,130,130,100.00
20,115,835IFL25,NV,67,67,100.00
20,116,835SCL23,NN,3,3,100.00
20,117,840CIFCL28,N4,166,166,100.00
20,118,842IIFL26,NL,1388,1332,95.97
20,119,846REC28,N6,485,485,100.00
20,120,849NTPC25,N7,42363,40896,96.54
20,121,850IIFL27,NA,5,5,100.00
20,122,85IIFL24,NJ,80,80,100.00
20,123,865IFL28,NZ,39,39,100.00
20,124,865IIFL28,NS,330,330,100.00
20,125,865IRFC29,NA,1414,1075,76.03
20,126,865TCAPS27,N8,528,478,90.53
20,127,866NTPC33,N3,10,10,100.00
20,128,86LTF24,NJ,50,50,100.00
20,129,871REC28,N9,4427,4427,100.00
20,130,872MMFSL26,N1,150,150,100.00
20,131,875IIFL26A,NQ,119,119,100.00
20,132,875NHAI29,N6,1008,1008,100.00
20,133,876HUDCO28,ND,25,25,100.00
20,134,880IREDA29,N5,17,17,100.00
20,135,885MOFSL26,N0,600,600,100.00
20,136,888ERFL28,N5,110,110,100.00
20,137,888IHFL25F,NC,10,10,100.00
20,138,888IRFC29,NE,650,650,100.00
20,139,888SCL25E,N4,10,10,100.00
20,140,889SCFL27,YC,9,9,100.00
20,141,88SCFL25,YZ,1,1,100.00
20,142,890ICCL23A,NZ,50,50,100.00
20,143,891IIFCL34,N4,142,142,100.00
20,144,891NTPC33,N6,99,99,100.00
20,145,892NHPC33,N6,2554,2437,95.42
20,146,892PFCL33,N8,940,740,78.72
20,147,894SCL24,ZR,10,10,100.00
20,148,894SCL27,ZY,90,90,100.00
