MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AL,1015SCL28A,SEC RE NCD 10.15% SR.VII,       900.00,       918.00,       918.00,       918.00,       918.00,                      918.00,1, ,1,      1188.00,       850.00
N,AX,948SCL26I,SEC RE NCD 9.48% SR V,       840.00,       840.00,       840.00,       840.00,       840.00,                    18480.00,22, ,4,      1095.00,       670.10
N,AZ,1015SCL28B,SEC RE NCD 10.15% SR VII,       900.00,       920.00,       920.00,       920.00,       920.00,                   101200.00,110, ,1,      1135.00,       804.00
N,BC,971SCL28I,SEC RE NCD 9.71% SR VIII,       864.00,       945.00,       945.00,       860.00,       872.72,                    55357.80,63, ,33,      1020.00,       820.00
N,N0,885MOFSL26,SEC RE NCD 8.85% SR I,       999.50,       999.00,      1009.00,       999.00,      1009.00,                   600400.00,600, ,9,      1010.00,       950.00
N,N0,8ABFL26,SEC RE NCD 8% SR I,      1036.60,      1085.00,      1100.00,      1085.00,      1090.00,                   147125.00,135, ,4,      1184.40,       901.00
N,N0,975NFL25,SEC RE NCD 9.75% SR. I,       998.00,       995.00,       998.00,       994.01,       998.00,                   298850.50,300, ,6,      1010.00,       960.49
N,N0,9PEL25,SEC RE NCD 9.00% SR I,      1083.33,      1098.99,      1098.99,      1098.99,      1098.99,                     1098.99,1, ,1,      1099.00,       985.00
N,N0,IMC1,SEC RE NCGB 8.25% STRPP A,       249.20,       250.30,       250.50,       249.30,       249.50,                    53771.41,215, ,6,       260.00,       241.00
N,N1,0MOFSL26,SEC RE NCD SR II,      1000.00,      1000.00,      1010.00,      1000.00,      1010.00,                   205050.00,205, ,12,      1011.00,       860.00
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       308.07,       308.31,       308.31,       308.25,       308.25,                    92476.74,300, ,2,       318.00,       295.00
N,N1,872MMFSL26,8.72% UNSECURED NCD,      1015.00,      1015.00,      1015.00,      1012.00,      1012.00,                   152100.00,150, ,3,      1145.00,       972.00
N,N1,ABFL26,SEC RE NCD SR II,      1031.00,      1031.01,      1031.01,      1025.00,      1025.00,                    41186.02,40, ,4,      1215.00,       852.40
N,N1,IMC1,SEC RE NCGB 8.25% STRPP B,       248.15,       248.90,       250.30,       248.90,       250.30,                    60909.30,244, ,6,       263.74,       240.00
N,N2,736PFCL28,7.36% TAX FREE NCD,      1109.90,      1110.00,      1110.00,      1110.00,      1110.00,                     4440.00,4, ,2,      1179.95,      1010.60
N,N2,764NABAR31,7.64% TAX FREE TRI SRIIB,      1135.40,      1137.00,      1137.00,      1135.45,      1136.84,                    56842.25,50, ,3,      1333.20,      1062.30
N,N2,79NHIT40,SEC RE NCD 7.90% STRPP B,       308.00,       307.82,       310.00,       307.71,       310.00,                   151277.84,491, ,8,       319.87,       298.45
N,N2,810IRFC27,BOND 8.10% PA TAX FREE S2,      1127.01,      1149.90,      1149.90,      1127.01,      1136.90,                 16743922.53,14818, ,9,      1170.00,      1065.00
N,N2,82HUDCO27,8.20 NCD05MAR27 FV 1000,      1099.19,      1099.19,      1100.00,      1099.19,      1099.99,                  1446329.75,1315, ,4,      1209.99,      1060.00
N,N2,830NHAI27,BOND 8.30% PA TAX FREE S2,      1147.96,      1136.00,      1145.00,      1136.00,      1144.51,                 12800451.30,11227, ,13,      1174.00,      1062.20
N,N2,91MOFSL27,SEC RE NCD 9.10% SR III,      1021.00,      1020.00,      1020.00,      1020.00,      1020.00,                    13260.00,13, ,1,      1024.00,       855.20
N,N2,957ISFL26,SEC RE NCD 9.57% SR 3,       966.00,       968.00,       970.00,       968.00,       970.00,                   218050.00,225, ,3,      1009.00,       927.00
N,N2,9MMFSML,9.00% UNSECURED NCD,      1025.00,      1026.00,      1026.00,      1026.00,      1026.00,                   461700.00,450, ,1,      1131.00,       996.00
N,N2,IMC1,SEC RE NCGB 8.25% STRPP C,       250.00,       250.10,       250.10,       250.10,       250.10,                     4501.80,18, ,2,       262.00,       240.00
N,N3,10ISFL26,SEC RE NCD 10% SR 4,       995.00,       995.00,      1004.66,       995.00,      1004.66,                    29994.90,30, ,2,      1028.00,       973.19
N,N3,79NHIT47,SEC RE NCD 7.90% STRPP C,       414.27,       411.01,       412.00,       411.01,       412.00,                   205935.00,501, ,3,       439.00,       392.00
N,N3,866NTPC33,8.66%S-R-NCD SERIES 3A,      1208.20,      1260.00,      1260.00,      1260.00,      1260.00,                    12600.00,10, ,1,      1450.00,      1120.10
N,N3,IMC1,SEC RE NCGB 8.25% STRPP D,       250.30,       250.30,       250.30,       248.11,       250.30,                    15257.35,61, ,3,       266.50,       240.00
N,N4,1003ISFL28,SEC RE NCD 10.03% SR 5,       985.00,       975.00,       985.00,       975.00,       978.61,                   125354.00,128, ,16,      1018.99,       933.00
N,N4,1040UCL25,SEC RED NCD 10.40% SR.III,       995.95,       988.00,       988.00,       985.00,       985.66,                   134050.00,136, ,4,      1009.80,       967.50
N,N4,10IIFL28,UNSEC RE NCD 10% SR.I,       934.00,       934.00,       934.00,       934.00,       934.00,                   186800.00,200, ,1,      1040.00,       902.00
N,N4,704REC28,BOND 7.04% PA TAX FREE S2,      1079.00,      1070.00,      1095.00,      1070.00,      1095.00,                  5429865.00,5000, ,6,      1295.00,      1006.10
N,N4,734IRFC28,7.34 NCD 19FEB28 TR1 SR2,      1105.60,      1102.42,      1102.42,      1100.01,      1100.01,                   595021.80,540, ,3,      1167.00,      1050.50
N,N4,840CIFCL28,SEC RE NCD 8.40% SR.V,      1014.20,      1018.00,      1018.00,      1018.00,      1018.00,                   168988.00,166, ,3,      1080.00,       930.00
N,N4,888SCL25E,SEC RE NCD 10.25% SR XII,      1000.00,       912.00,       912.00,       912.00,       912.00,                     9120.00,10, ,1,      1010.00,       900.00
N,N4,891IIFCL34,8.91% TAX FREE NCD,      1294.00,      1293.00,      1293.00,      1293.00,      1293.00,                   183606.00,142, ,6,      1359.90,      1241.02
