Sr. No,Symbol,Series,Security Name,From,To
1,LYPSAGEMS,BE,LYPSA GEMS & JEWELLERY LIMITED,10,5
2,MRO-TEK,EQ,MRO-TEK REALTY LIMITED,10,5
3,ORIENTALTL,BE,ORIENTAL TRIMEX LIMITED,10,5
4,PRUDMOULI,EQ,PRUDENTIAL SUGAR CORPORATION LIMITED,10,5
5,SAKUMA,EQ,SAKUMA EXPORTS LIMITED,10,5
6,BROOKS,BE,BROOKS LABORATORIES LIMITED,20,5
7,CMNL,SM,CHAMAN METALLICS LIMITED,20,10
8,GOLDIAM,EQ,GOLDIAM INTERNATIONAL LIMITED,20,10
9,NAGREEKEXP,BE,NAGREEKA EXPORTS LIMITED,20,5
10,NIITLTD,EQ,NIIT LIMITED,20,10
11,PRECAM,EQ,PRECISION CAMSHAFTS LIMITED,20,10
12,SAIFL,SM,SAMEERA AGRO AND INFRA LIMITED,20,10
13,SSEGL,SM,SATHLOKHAR SYNERGYS E&C GLOBAL LIMITED,20,10
14,AARVEEDEN,BE,AARVEE DENIMS & EXPORTS LIMITED,5,2
15,AMJUMBO,SM,A AND M JUMBO BAGS LIMITED,5,20
16,BGRENERGY,BE,BGR ENERGY SYSTEMS LIMITED,5,2
17,DHRUV,BE,DHRUV CONSULTANCY SERVICES LIMITED,5,2
18,ICDSLTD,BE,ICDS LIMITED,5,2
19,IL&FSTRANS,BZ,IL&FS TRANSPORTATION NETWORKS LIMITED,5,2
20,PANACHE,BE,PANACHE DIGILIFE LIMITED,5,2
21,SABEVENTS,BE,SAB EVENTS & GOVERNANCE NOW MEDIA LIMITED,5,2
22,SETCO,BE,SETCO AUTOMOTIVE LIMITED,5,2
