"Security Name","Symbol Name","Trade Date","Quantity"
"TATA CONSULTANCY SERV LT","TCS","29-Aug-2024","4375"
"ULTRATECH CEMENT LIMITED","ULTRACEMCO","29-Aug-2024","400"
"UPL LIMITED","UPL","29-Aug-2024","23444"
"ASTRAL POLY TECHNIK LIMITED","ASTRAL","29-Aug-2024","734"
"POWER FIN CORP LTD.","PFC","29-Aug-2024","19734"
"NATIONAL ALUMINIUM CO LTD","NATIONALUM","29-Aug-2024","7500"
"MPHASIS LIMITED","MPHASIS","29-Aug-2024","7975"
"THE RAMCO CEMENTS LIMITED","RAMCOCEM","29-Aug-2024","9350"
"BATA INDIA LTD","BATAINDIA","29-Aug-2024","1875"
"TITAN INDUSTRIES LTD","TITAN","29-Aug-2024","676"
"BHARTI AIRTEL LIMITED","BHARTIARTL","29-Aug-2024","5225"
"TATA MOTORS LIMITED","TATAMOTORS","29-Aug-2024","309006"
"INDIAN ENERGY EXCHANGE LIMITED","IEX","29-Aug-2024","41250"
"JSW STEEL LIMITED","JSWSTEEL","29-Aug-2024","4855"
"ADANI ENTERPRISES LIMITED","ADANIENT","29-Aug-2024","1200"
"BANDHAN BANK LIMITED","BANDHANBNK","29-Aug-2024","3100"
"NMDC LTD.","NMDC","29-Aug-2024","4500"
"ADITYA BIRLA FASHION & RT","ABFRL","29-Aug-2024","2600"
"TECH MAHINDRA LIMITED","TECHM","29-Aug-2024","4030"
"ICICI PRU LIFE INS CO LTD ","ICICIPRULI","29-Aug-2024","4500"
"ABBOTT INDIA LIMITED","ABBOTINDIA","29-Aug-2024","460"
"OBEROI REALTY LIMITED","OBEROIRLTY","29-Aug-2024","24"
"INDUS","INDUSTOWER","29-Aug-2024","6800"
"ASIAN PAINTS LIMITED","ASIANPAINT","29-Aug-2024","897"
"LAURUS LABS LIMITED","LAURUSLABS","29-Aug-2024","3400"
"HAVELLS INDIA LIMITED","HAVELLS","29-Aug-2024","1500"
"INDRAPRASTHA GAS LTD","IGL","29-Aug-2024","1375"
"COLGATE PALMOLIVE LTD.","COLPAL","29-Aug-2024","1750"
"CROMPT GREA CON ELEC LTD  ","CROMPTON","29-Aug-2024","1800"
"DALMIA BHARAT LIMITED","DALBHARAT","29-Aug-2024","550"
"LARSEN & TOUBRO LTD.","LT","29-Aug-2024","290"
"EXIDE INDUSTRIES LTD","EXIDEIND","29-Aug-2024","21600"
"GRASIM INDUSTRIES LTD","GRASIM","29-Aug-2024","2000"
"L&T FINANCE LIMITED","LTF","29-Aug-2024","40158"
"TVS MOTOR COMPANY  LTD","TVSMOTOR","29-Aug-2024","3850"
"HINDUSTAN COPPER LIMITED","HINDCOPPER","29-Aug-2024","550"
"SRF LTD","SRF","29-Aug-2024","1875"
"OIL AND NATURAL GAS CORP.","ONGC","29-Aug-2024","44275"
"FEDERAL BANK LTD","FEDERALBNK","29-Aug-2024","5000"
"ASHOK LEYLAND LTD","ASHOKLEY","29-Aug-2024","75000"
"AXIS BANK LIMITED","AXISBANK","29-Aug-2024","2500"
"INDIAN OIL CORP LTD","IOC","29-Aug-2024","19500"
"PIDILITE INDUSTRIES LIMITED","PIDILITIND","29-Aug-2024","250"
"SIEMENS LTD","SIEMENS","29-Aug-2024","300"
"ZYDUS LIFESCIENCES","ZYDUSLIFE","29-Aug-2024","1800"
"BHARAT PETROLEUM CORP  LT","BPCL","29-Aug-2024","26897"
"ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED","ICICIGI","29-Aug-2024","8000"
"JUBILANT FOODWORKS LTD","JUBLFOOD","29-Aug-2024","18350"
"POLYCAB INDIA LIMITED","POLYCAB","29-Aug-2024","125"
"IPCA LABORATORIES LIMITED","IPCALAB","29-Aug-2024","1950"
"MARUTI SUZUKI INDIA LTD.","MARUTI","29-Aug-2024","2300"
"DR. LAL PATH LABS LTD.","LALPATHLAB","29-Aug-2024","590"
"HDFC AMC LIMITED","HDFCAMC","29-Aug-2024","334"
"BHARAT FORGE LTD","BHARATFORG","29-Aug-2024","16"
"TRENT LIMITED","TRENT","29-Aug-2024","2306"
"POWER GRID CORP. LTD.","POWERGRID","29-Aug-2024","10800"
"KOTAK MAHINDRA BANK LTD","KOTAKBANK","29-Aug-2024","780"
"RELIANCE INDUSTRIES LTD","RELIANCE","29-Aug-2024","5975"
"HINDALCO  INDUSTRIES  LTD","HINDALCO","29-Aug-2024","1400"
"DIXON TECHNO (INDIA) LTD","DIXON","29-Aug-2024","1200"
"EIH LIMITED","EIHOTEL","29-Aug-2024","80"
"TORRENT PHARMACEUTICALS L","TORNTPHARM","29-Aug-2024","3000"
"LIC HOUSING FINANCE LTD","LICHSGFIN","29-Aug-2024","1000"
"ALKEM LABORATORIES LTD.","ALKEM","29-Aug-2024","812"
"PI INDUSTRIES LTD        ","PIIND","29-Aug-2024","250"
"ADITYA BIRLA CAPITAL LIMITED","ABCAPITAL","29-Aug-2024","5400"
"ADANI PORT & SEZ LTD","ADANIPORTS","29-Aug-2024","1600"
"PAGE INDUSTRIES LTD","PAGEIND","29-Aug-2024","30"
"AUROBINDO PHARMA LTD","AUROPHARMA","29-Aug-2024","2200"
