Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,04092024,1667967481,0002449
Trade Date <04-SEP-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0SCL26,YR,1,1,100.00
20,2,1003IIFL29,NC,10,10,100.00
20,3,1003ISFL28,N4,167,167,100.00
20,4,1015ECL29,NR,431,429,99.54
20,5,1018GS2026,GS,754,754,100.00
20,6,1025ICCL26,NT,100,100,100.00
20,7,1025NFL25,N5,11,11,100.00
20,8,1025SCL34,Z8,10,10,100.00
20,9,1025SCL34A,ZT,2,2,100.00
20,10,1030ICCL28,NM,3,3,100.00
20,11,1040UCL25,N4,40,40,100.00
20,12,1050NFL26,N7,443,443,100.00
20,13,105IIFL29,N7,45,45,100.00
20,14,1065NFL27,NC,1330,1170,87.97
20,15,10IIFL28,N4,490,300,61.22
20,16,10IIFL29,N6,5,5,100.00
20,17,10NIDO26,N6,478,478,100.00
20,18,10SCL30A,BV,6,6,100.00
20,19,1119NFL27,ND,5,5,100.00
20,20,182D031024,TB,100,100,100.00
20,21,182D051224,TB,4000,3000,75.00
20,22,182D230125,TB,100,100,100.00
20,23,182D281124,TB,200,200,100.00
20,24,182D300125,TB,100,100,100.00
20,25,20MICRONS,EQ,755362,249664,33.05
20,26,360ONE,EQ,557096,370742,66.55
20,27,364D020125,TB,14100,14100,100.00
20,28,364D030725,TB,1000,1000,100.00
20,29,364D051224,TB,4000,4000,100.00
20,30,364D141124,TB,9000,9000,100.00
20,31,364D240725,TB,100,100,100.00
20,32,364D260625,TB,3000,3000,100.00
20,33,364D280825,TB,9900,9900,100.00
20,34,364D311024,TB,100,100,100.00
20,35,3IINFOLTD,EQ,782061,430832,55.09
20,36,3MINDIA,EQ,13516,7931,58.68
20,37,574GS2026,GS,8,7,87.50
20,38,585GS2030,GS,190,100,52.63
20,39,5PAISA,EQ,44253,21883,49.45
20,40,63MOONS,EQ,471549,307223,65.15
20,41,654GS2032,GS,1,1,100.00
20,42,667GS2035,GS,50,50,100.00
20,43,667GS2050,GS,309,309,100.00
20,44,676GS2061,GS,5647,5647,100.00
20,45,68GS2060,GS,1999,1999,100.00
20,46,695GS2061,GS,300,300,100.00
20,47,699GS2026,GS,3677,3677,100.00
20,48,699GS2051,GS,10032,10016,99.84
20,49,702GS2027,GS,1001,1001,100.00
20,50,702GS2031,GS,3273,3271,99.94
20,51,704GS2029,GS,100,100,100.00
20,52,706GS2028,GS,709,709,100.00
20,53,710GS2029,GS,7501,7501,100.00
20,54,714NHAI26,N7,2,2,100.00
20,55,716GS2050,GS,2200,2200,100.00
20,56,717GS2030,GS,1,1,100.00
20,57,718GS2033,GS,6000,5550,92.50
20,58,718GS2037,GS,136048,126350,92.87
20,59,719HUDCO28,N7,15,15,100.00
20,60,71GS2034,GS,200,100,50.00
20,61,723GS2039,GS,2300,2000,86.96
20,62,725GJ26,SG,200,200,100.00
20,63,725GS2063,GS,23900,23900,100.00
20,64,726GS2032,GS,86301,86301,100.00
20,65,726GS2033,GS,42700,42700,100.00
