Confirmed list of securities to be auctioned in A 2024167 to be held on Sep 05 2024.

Sr No,Symbol,Series,Total Qty
1,63MOONS,EQ,682
2,734IRFC28,N4,264
3,ADANIENT,EQ,287
4,ADANIGREEN,EQ,1550
5,AJOONI,EQ,15501
6,AKUMS,EQ,22421
7,AMBUJACEM,EQ,230
8,AMIORG,EQ,95
9,ARIHANTCAP,EQ,500
10,ASTRON,EQ,10
11,ATUL,EQ,50
12,AUBANK,EQ,1
13,AXISBANK,EQ,111
14,AXISGOLD,EQ,27
15,BAGFILMS,EQ,313
16,BESTAGRO,EQ,20
17,BFINVEST,EQ,76
18,BHARTIARTL,EQ,21
19,CALSOFT,EQ,137
20,CDSL,EQ,10
21,CERA,EQ,2
22,CHAMBLFERT,EQ,69
23,CHETANA,SM,1600
24,CINEVISTA,EQ,400
25,CLSEL,EQ,1000
26,COALINDIA,EQ,1
27,COASTCORP,EQ,60
28,COCHINSHIP,EQ,5
29,COFORGE,EQ,148
30,CORALFINAC,EQ,139
31,CREATIVE,EQ,5
32,DALMIASUG,EQ,100
33,DBL,EQ,500
34,DBSTOCKBRO,EQ,58
35,DEEPENR,EQ,2024
36,DEEPINDS,EQ,359
37,DISHTV,EQ,14
38,DRREDDY,EQ,15
39,DUCON,EQ,3622
40,DYCL,EQ,36
41,ECOSMOBLTY,EQ,142
42,EKC,EQ,1
43,FIRSTCRY,EQ,32
44,FOODSIN,EQ,2
45,GANGAFORGE,EQ,9893
46,GENUSPAPER,EQ,500
47,GMMPFAUDLR,EQ,4
48,GOKULAGRO,EQ,200
49,GOLDIAM,EQ,100
50,GRAVITA,EQ,3
51,GRSE,EQ,12
52,GSEC10IETF,EQ,42
53,GSEC5IETF,EQ,5
54,HAL,EQ,40
55,HAPPSTMNDS,EQ,30
56,HEROMOTOCO,EQ,5
57,HIKAL,EQ,170
58,HINDPETRO,EQ,20
59,HINDUNILVR,EQ,8
60,HINDZINC,EQ,400
61,IDFCFIRSTB,EQ,96
62,IEL,EQ,14368
63,IFCI,EQ,500
64,INDIACEM,EQ,5000
65,INDIAGLYCO,EQ,5
66,INDOCO,EQ,2
67,INDOTHAI,EQ,1581
68,INFIBEAM,EQ,10
69,IRCTC,EQ,823
70,ISFT,EQ,100
71,ITC,EQ,1000
72,JAYSREETEA,EQ,450
73,JINDALSTEL,EQ,115
74,JINDWORLD,EQ,1
75,JIOFIN,EQ,56
76,JKPAPER,EQ,30
77,JTLIND,EQ,2000
78,JUBLINGREA,EQ,52
79,KALYANKJIL,EQ,9
80,KANANIIND,EQ,2781
81,KERNEX,EQ,402
82,LAL,EQ,7040
83,LAXMIMACH,EQ,4
84,LIQUID1,EQ,4
85,LT,EQ,4
86,LTIM,EQ,17
87,LTTS,EQ,4
88,LYKALABS,EQ,3
89,MADRASFERT,EQ,4
90,MANYAVAR,EQ,8389
91,MARATHON,EQ,1
92,MARICO,EQ,10
93,MARKSANS,EQ,200
94,MASTEK,EQ,1001
95,MAZDOCK,EQ,61
96,MEDANTA,EQ,5
97,MEDIASSIST,EQ,41
98,MEDPLUS,EQ,340
99,MMTC,EQ,250
100,MOL,EQ,500
101,MOREPENLAB,EQ,500
102,MOTHERSON,EQ,25
103,NECLIFE,EQ,1
104,NMDC,EQ,4319
105,NORBTEAEXP,EQ,504
106,NSLNISP,EQ,21750
107,NYKAA,EQ,500
108,OBEROIRLTY,EQ,1
109,OFSS,EQ,8
110,ONWARDTEC,EQ,1
111,ORICONENT,EQ,2
112,ORIENTCEM,EQ,100
113,OSWALGREEN,EQ,2862
114,PARAGMILK,EQ,200
115,PAVNAIND,EQ,1
116,PAYTM,EQ,355
117,PCJEWELLER,EQ,6280
118,PETRONET,EQ,15
119,PFC,EQ,25
120,PGEL,EQ,1025
121,PIDILITIND,EQ,15
122,PLATIND,EQ,47
123,PNB,EQ,100
124,PNBHOUSING,EQ,390
125,POCL,EQ,702
126,POLYPLEX,EQ,170
127,PPLPHARMA,EQ,120
128,PRAKASH,EQ,5
129,PREMIERENE,EQ,500
130,PRESTIGE,EQ,25
131,PRITIKAUTO,EQ,975
132,RAMCOCEM,EQ,10
133,RANASUG,EQ,470
134,RCF,EQ,5
135,RELIGARE,EQ,5
136,RELTD,EQ,1
